SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,CHANDAPUR(UCHHAL),CWC,24,Gujarat,459,Surat,VYARA,-,-,Tapi,Tapi,Nisu,-,-,Nisu,21.47722222,74.19555556,2021-01-11 08:00:00,1.18,,,
2,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-01-01 08:00:00,1.77,,,
3,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-01-06 08:00:00,2.36,,,
4,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-07-22 08:00:00,1.54,,,
5,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-02-08 08:00:00,1.54,,,
6,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-11-08 08:00:00,2.76,,,
7,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-08-21 08:00:00,1.93,,,
8,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-01-09 08:00:00,2.45,,,
9,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-09-13 08:00:00,1.97,,,
10,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-09-21 08:00:00,1.54,,,
11,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-01-10 08:00:00,2.17,,,
12,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-11-10 08:00:00,1.54,,,
13,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2021-10-21 08:00:00,1.57,,,
14,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-11-07 08:00:00,2.03,,,
15,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-07-21 08:00:00,1.48,,,
16,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-01-08 08:00:00,1.64,,,
17,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-11-08 08:00:00,2.23,,,
18,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-12-09 08:00:00,1.14,,,
19,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-09-21 08:00:00,1.08,,,
20,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-11-10 08:00:00,1.04,,,
21,CHANWADA,CWC,24,Gujarat,461,Vadodara,DABHOI,-,-,Narmada,Narmada,Orsang,-,-,Orsang,22.05,73.46527778,2022-10-21 08:00:00,1.24,,,
22,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2021-01-01 08:30:00,0.63,,920.0,1400.0
23,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2021-01-02 08:30:00,0.65,,920.0,2100.0
24,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2021-01-03 08:30:00,0.42,,330.0,4900.0
25,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2021-09-21 08:30:00,0.4,,680.0,2200.0
26,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2021-04-10 08:30:00,0.6,,220.0,790.0
27,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-01-08 08:30:00,0.2,,,
28,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-11-08 08:30:00,0.41,,,
29,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-08-22 08:30:00,0.61,,,
30,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-01-09 09:00:00,0.84,,,
31,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-12-09 09:00:00,0.22,,,
32,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-09-21 09:00:00,1.23,,,
33,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-03-10 09:00:00,1.3,,,
34,Chitrasani -Duplicate,CWC,24,Gujarat,459,Surat,PALANPUR,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,Balaram,-,-,Balaram,24.28888889,72.49833333,2022-11-10 09:00:00,0.63,,,
