SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-07-23 08:30:00,12.33,,20000.0,490000.0
2,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-12-08 08:30:00,5.17,,11000.0,110000.0
3,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-08-21 08:30:00,12.1,,14000.0,70000.0
4,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-01-09 08:30:00,3.51,,11000.0,240000.0
5,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-09-13 08:30:00,7.91,,170000.0,14000.0
6,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-09-21 08:30:00,5.29,,7800.0,110000.0
7,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-01-10 08:30:00,26.01,,110000.0,790000.0
8,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-11-10 08:30:00,21.4,,78000.0,1100000.0
9,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2021-10-21 08:30:00,20.87,,68000.0,790000.0
10,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-11-07 08:30:00,14.39,,110000.0,1300000.0
11,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-07-21 08:30:00,25.37,,78000.0,790000.0
12,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-01-08 08:30:00,37.15,,78000.0,1100000.0
13,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-11-08 08:30:00,17.61,,93000.0,790000.0
14,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-08-22 08:30:00,25.95,,45000.0,490000.0
15,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-01-09 08:30:00,16.89,,110000.0,1400000.0
16,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-12-09 08:30:00,15.05,,78000.0,1100000.0
17,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-09-21 08:30:00,23.66,,93000.0,790000.0
18,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-01-10 08:30:00,25.5,,2300000.0,2400000.0
19,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-11-10 08:30:00,23.61,,270000.0,1700000.0
20,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2022-10-21 08:30:00,23.44,,220000.0,1300000.0
21,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2024-03-10 09:30:00,17.1,,14000.0,110000.0
22,Dadri,CWC,6,Haryana,64,JHAJJAR,JHAJJAR,-,-,Ganga,Ganga,Yamuna,Sahibi,-,Sahibi,28.50472222,76.79027778,2024-10-15 10:20:00,15.7,,17000.0,79000.0
23,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-01-03 08:30:00,0.0,,,
24,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-06-21 08:30:00,0.0,,,
25,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-08-23 08:30:00,0.0,,,
26,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-10-21 08:30:00,0.0,,,
27,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-11-11 08:30:00,0.0,,,
28,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-12-13 08:30:00,0.86,,17000.0,920000.0
29,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2021-12-21 08:30:00,1.14,,13000.0,540000.0
30,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-03-01 08:30:00,1.92,,11000.0,35000.0
31,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-01 08:30:00,1.66,,7800.0,170000.0
32,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-21 08:30:00,1.65,,9200.0,130000.0
33,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-02 08:30:00,3.54,,45000.0,130000.0
34,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-02 08:30:00,1.06,,61000.0,140000.0
35,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-02-21 08:30:00,,,40000.0,110000.0
36,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-02-03 08:30:00,0.73,,45000.0,170000.0
37,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-03 08:30:00,0.82,,40000.0,130000.0
38,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-03-21 08:30:00,1.2,,20000.0,110000.0
39,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-04 08:30:00,1.58,,68000.0,330000.0
40,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-04 08:30:00,14.28,,45000.0,230000.0
41,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-04-21 08:30:00,16.11,,45000.0,270000.0
42,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-04-05 11:46:00,13.04,,93000.0,490000.0
43,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-05 08:30:00,12.72,,68000.0,330000.0
44,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-05-21 08:30:00,12.41,,45000.0,230000.0
45,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-06 08:30:00,12.29,,4500.0,22000.0
46,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-06-13 08:30:00,26.07,,6100.0,13000.0
47,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-06-21 08:30:00,14.73,,4000.0,14000.0
48,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-07 08:30:00,13.86,,7800.0,27000.0
49,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-07 08:30:00,16.21,,6800.0,17000.0
50,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-07-21 07:58:00,26.17,,4000.0,13000.0
51,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-08 08:30:00,15.17,,11000.0,33000.0
52,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-11-08 08:30:00,1.74,,7800.0,26000.0
53,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-08-22 08:30:00,1.75,,6800.0,21000.0
54,Karnal,CWC,6,Haryana,67,KARNAL,KARNAL,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,29.76218333,77.13166667,2022-01-09 08:30:00,2.16,,7800.0,34000.0
