SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-06 09:14:00,1.9,,,
2,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-06-14 09:00:00,1.8,,,
3,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-06-21 09:00:00,2.2,,,
4,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-07 08:30:00,0.8,,,
5,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-12-07 08:00:00,1.1,,,
6,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-07-22 09:00:00,1.0,,1700.0,2400.0
7,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-02-08 09:00:00,0.4,,1300.0,2400.0
8,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-11-08 07:30:00,0.4,,,
9,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-08-23 08:00:00,0.3,,,
10,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-09 09:30:00,0.5,,800.0,2400.0
11,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-09-13 08:30:00,0.4,,,
12,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-09-21 09:00:00,0.3,,,
13,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-10 09:00:00,0.6,,300.0,1700.0
14,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-11-10 09:00:00,0.6,,,
15,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-10-21 09:30:00,0.7,,,
16,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-11 09:30:00,0.6,,220.0,800.0
17,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-11-11 09:00:00,0.3,,,
18,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-11-22 09:00:00,0.3,,,
19,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-01-12 09:00:00,0.7,,,
20,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2021-12-21 09:30:00,0.4,,,
21,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-11-01 09:00:00,0.5,,,
22,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-01-21 09:00:00,0.4,,,
23,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-01-02 09:00:00,0.2,,,
24,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-02-14 08:30:00,0.8,,,
25,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-02-21 08:30:00,0.5,,,
26,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-02-03 08:00:00,1.8,,,
27,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-11-04 12:40:00,0.8,,,
28,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-04-21 09:00:00,1.2,,,
29,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-02-05 08:30:00,0.4,,,
30,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-11-05 08:30:00,0.5,,,
31,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-05-21 08:30:00,0.6,,,
32,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-01-06 08:00:00,0.8,,,
33,ARANGALI,CWC,32,Kerala,566,THRISSUR,KODUNGALLUR,-,-,Periyar,West flowing rivers from Tadri to Kanyakumari,Chalakudy,-,-,Chalakudy,10.28611111,76.32222222,2022-06-13 07:00:00,0.7,,,
34,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-06 09:30:00,0.8,,,
35,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-07 08:31:00,0.9,,,
36,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-12-07 08:00:00,0.9,,,
37,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-07-22 09:00:00,0.5,,1700.0,1700.0
38,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-02-08 08:00:00,0.2,,800.0,1700.0
39,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-11-08 08:30:00,0.3,,,
40,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-08-23 08:00:00,0.2,,,
41,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-09 08:30:00,0.4,,270.0,1300.0
42,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-09-13 09:00:00,0.4,,,
43,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-09-21 09:30:00,0.6,,,
44,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-10 09:30:00,0.6,,800.0,2400.0
45,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-11-10 09:00:00,0.5,,,
46,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-10-21 09:30:00,0.6,,,
47,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-11 09:30:00,0.6,,300.0,1700.0
48,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-11-11 08:30:00,0.5,,,
49,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-11-22 09:00:00,0.4,,,
50,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-01-12 09:30:00,0.3,,,
51,AYILAM,CWC,32,Kerala,565,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,-,-,Vamanapuram,West flowing rivers from Tadri to Kanyakumari,-,-,-,Vamanapuram,8.71527778,76.85416667,2021-12-13 09:00:00,0.4,,,
