SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-01-07 08:00:00,2.4,,80.0,220.0
2,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-11-07 08:00:00,2.6,,270.0,800.0
3,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-07-21 08:00:00,2.6,,220.0,500.0
4,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-01-08 08:00:00,2.4,,500.0,800.0
5,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-08-23 08:00:00,1.4,,500.0,1100.0
6,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-01-09 08:00:00,1.6,,1300.0,2400.0
7,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-12-09 08:00:00,3.4,,1700.0,2800.0
8,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-09-21 08:00:00,2.8,,500.0,2200.0
9,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-03-10 08:00:00,1.4,,230.0,300.0
10,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-11-10 08:00:00,1.6,,220.0,500.0
11,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-10-21 08:00:00,1.6,,1700.0,3000.0
12,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-01-11 08:00:00,0.8,,40.0,130.0
13,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-11-14 08:00:00,1.0,,20.0,20.0
14,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-11-22 08:00:00,0.8,,3000.0,16000.0
15,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-01-12 08:00:00,0.8,,20.0,20.0
16,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-12-12 08:00:00,3.0,,9000.0,16000.0
17,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2022-12-21 08:00:00,3.2,,170.0,16000.0
18,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-02-01 08:00:00,1.6,,170.0,300.0
19,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-11-01 08:00:00,1.2,,40.0,80.0
20,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-01-23 08:00:00,4.0,,80.0,230.0
21,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-01-02 08:00:00,2.2,,260.0,500.0
22,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-02-13 08:00:00,2.8,,170.0,270.0
23,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-02-21 08:00:00,2.4,,3000.0,5000.0
24,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-01-03 08:00:00,2.6,,210.0,230.0
25,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-03-13 08:00:00,1.6,,270.0,800.0
26,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-03-21 08:00:00,1.4,,1100.0,3000.0
27,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-03-04 08:00:00,1.2,,230.0,230.0
28,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-11-04 08:00:00,1.4,,20.0,40.0
29,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-04-21 08:00:00,2.4,,40.0,80.0
30,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-11-05 08:00:00,1.2,,80.0,60.0
31,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-05-22 08:00:00,1.2,,20.0,20.0
32,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-01-06 08:00:00,1.4,,230.0,300.0
33,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-12-06 08:00:00,1.0,,300.0,500.0
34,Aheri (Gudem Bridge),CWC,27,Maharashtra,475,Gadchiroli,SIRONCHA,SIRONCHA,Sironcha,Godavari,Godavari,Pranhita,-,-,Pranhita,19.41666667,79.97222222,2023-06-21 08:00:00,2.2,,230.0,300.0
