SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2021-12-13 08:00:00,0.6,,,
2,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2023-03-10 08:00:00,1.1,,,
3,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2023-01-11 08:00:00,0.9,,,
4,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-02-01 08:00:00,1.2,,,
5,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-01-02 08:00:00,1.7,,,
6,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-01-03 08:00:00,0.5,,,
7,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-01-04 08:00:00,0.1,,,
8,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-02-05 08:00:00,0.2,,,
9,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-03-06 08:00:00,0.8,,,
10,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-01-11 08:00:00,1.6,,,
11,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2024-02-12 08:00:00,0.1,,,
12,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2025-01-01 08:00:00,1.1,,,
13,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2025-01-02 08:00:00,1.1,,,
14,Baghmara,CWC,17,Meghalaya,277,South Garo Hills,BAGHMARA,-,-,Simsang,Barak and Others,-,-,-,Simsang,25.19916667,90.64388889,2025-03-03 08:00:00,0.9,,,
15,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,2021-12-13 08:00:00,0.0,,,
16,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2021-12-13 08:00:00,1.1,,,
17,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2023-03-10 08:00:00,1.5,,,
18,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2023-01-11 08:00:00,1.2,,,
19,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2023-01-12 08:00:00,0.5,,,
20,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-02-01 08:00:00,0.2,,,
21,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-02 08:00:00,1.1,,,
22,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-03 08:00:00,0.7,,,
23,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-04 08:00:00,1.9,,,
24,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-05 08:00:00,1.3,,,
25,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-06 08:00:00,1.8,,,
26,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-07 08:03:00,1.1,,,
27,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-01-11 08:00:00,1.8,,,
28,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2024-02-12 08:00:00,1.6,,,
29,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2025-01-01 08:00:00,1.2,,,
30,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2025-01-02 08:00:00,0.4,,,
31,Byrnihat,CWC,17,Meghalaya,276,RI BHOI,Umling,-,-,KOPILI RIVER,Brahmaputra,UMTRU,-,-,UMTRU,26.04027778,91.86583333,2025-01-03 08:00:00,0.6,,,
32,Dawki,CWC,17,Meghalaya,275,West Jaintia Hills,Amlarem,-,-,Umngot,Barak and Others,-,-,-,Umngot,25.18972222,92.01861111,2021-12-13 08:00:00,0.6,,,
