SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-02-08 08:30:00,5.18,,270000.0,340000.0
2,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-11-08 08:30:00,1.08,,170000.0,330000.0
3,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-08-23 08:30:00,12.38,,130000.0,270000.0
4,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-01-09 08:30:00,11.27,,170000.0,1300000.0
5,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-09-13 08:30:00,10.68,,130000.0,1700000.0
6,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-09-21 08:30:00,11.55,,11000.0,33000.0
7,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-04-10 08:30:00,5.05,,34000.0,130000.0
8,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-11-10 08:30:00,14.17,,22000.0,110000.0
9,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-10-21 08:30:00,14.14,,13000.0,70000.0
10,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2021-01-11 08:30:00,1.22,,23000.0,170000.0
11,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-01-07 08:30:00,17.52,,17000.0,130000.0
12,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-11-07 08:30:00,13.94,,13000.0,130000.0
13,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-07-21 08:30:00,13.49,,14000.0,110000.0
14,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-01-08 08:30:00,12.96,,22000.0,220000.0
15,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-11-08 08:30:00,15.23,,17000.0,170000.0
16,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-08-22 08:30:00,11.99,,13000.0,130000.0
17,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-01-09 20:30:00,11.69,,17000.0,170000.0
18,A.B.Road X-ing,CWC,23,Madhya Pradesh,406,GUNA,RAGHOGARH,-,-,Ganga,Ganga,Yamuna,Chambal,Parwati,Parwati,24.34611111,77.10777778,2022-12-09 08:30:00,17.05,,13000.0,79000.0
