SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-01 08:00:00,1.82,,780.0,3300.0
2,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-02 08:00:00,0.46,,2200.0,2700.0
3,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-03 08:00:00,2.98,,790.0,1300.0
4,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-04 08:00:00,1.99,,7000.0,14000.0
5,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-03-05 08:00:00,1.22,,170.0,1100.0
6,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-05-21 08:00:00,2.79,,200.0,1400.0
7,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-12-07 08:00:00,5.14,,4900.0,1100.0
8,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-07-22 08:00:00,4.33,,400.0,5400.0
9,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-02-08 08:00:00,0.8,,1300.0,3500.0
10,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-11-08 10:55:00,2.8,,470.0,5400.0
11,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-08-23 08:30:00,2.6,,340.0,2400.0
12,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-02-09 08:00:00,2.8,,490.0,1700.0
13,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-09-13 08:00:00,1.8,,210.0,2800.0
14,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-09-21 08:00:00,1.6,,3500.0,5400.0
15,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-04-10 08:00:00,1.4,,140.0,3400.0
16,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-11-10 20:00:00,2.0,,170.0,3300.0
17,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-10-21 20:00:00,0.4,,790.0,1700.0
18,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-11 08:00:00,1.4,,330.0,1400.0
19,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-11-11 08:00:00,0.6,,200.0,1400.0
20,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-11-22 08:00:00,0.6,,700.0,2200.0
21,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-01-12 08:00:00,1.2,,220.0,1700.0
22,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-12-13 08:00:00,2.8,,1700.0,9400.0
23,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2021-12-21 08:00:00,1.9,,230.0,2400.0
24,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-03-01 08:00:00,2.3,,2100.0,14000.0
25,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-11-01 08:00:00,0.8,,1400.0,17000.0
26,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-01-21 08:00:00,1.1,,1400.0,17000.0
27,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-07-21 08:00:00,2.9,,2400.0,16000.0
28,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-01-08 08:00:00,0.82,,,
29,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-11-08 08:00:00,0.2,,,
30,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-08-22 08:00:00,1.02,,,
31,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-01-09 08:00:00,0.23,,,
32,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-12-09 08:00:00,3.04,,,
33,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-09-21 08:00:00,0.43,,,
34,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-03-10 08:00:00,2.05,,,
35,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-11-10 08:00:00,1.43,,,
36,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-10-21 08:00:00,1.03,,,
37,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-01-11 08:00:00,0.81,,,
38,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-11-14 08:00:00,0.39,,,
39,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-11-21 08:00:00,0.6,,,
40,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2022-01-12 08:00:00,0.2,,,
41,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-06-21 08:30:00,1.42,,2100.0,9400.0
42,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-03-07 08:00:00,1.44,,4600.0,7000.0
43,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-07 08:00:00,1.19,,3300.0,11000.0
44,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-07-21 08:00:00,0.57,,7900.0,17000.0
45,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-01-08 08:00:00,1.52,,2800.0,5400.0
46,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-10-08 08:00:00,1.24,,3800.0,35000.0
47,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-08-21 08:00:00,2.28,,3900.0,35000.0
48,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-01-09 08:00:00,0.77,,7000.0,14000.0
49,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-09 08:00:00,5.54,,2700.0,17000.0
50,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-09-21 08:00:00,0.55,,12000.0,21000.0
51,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-03-10 08:00:00,2.83,,11000.0,14000.0
52,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-10 08:00:00,1.98,,3300.0,35000.0
53,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-10-20 08:00:00,0.22,,17000.0,21000.0
54,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-01-11 08:00:00,1.13,,14000.0,28000.0
55,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-13 08:00:00,6.85,,4600.0,13000.0
56,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-21 08:30:00,0.96,,2600.0,14000.0
57,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-01-12 08:00:00,1.8,,2700.0,22000.0
58,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2023-11-12 08:00:00,11.98,,2600.0,14000.0
59,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-12-08 08:00:00,2.71,,2700.0,7000.0
60,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-08-21 08:00:00,2.62,,2600.0,7000.0
61,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-02-09 08:00:00,1.78,,3200.0,11000.0
62,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-11-09 08:00:00,1.37,,3300.0,7000.0
63,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-09-23 08:00:00,2.26,,3400.0,13000.0
64,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-03-10 08:00:00,0.6,,3900.0,4900.0
65,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-10-14 08:00:00,1.3,,3900.0,7000.0
66,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-10-21 08:00:00,1.65,,3900.0,7000.0
67,Abu Road -Duplicate,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79055556,2024-01-11 08:00:00,1.1,,4700.0,9400.0
