SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-01 08:45:00,0.6,,2100.0,35000.0
2,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-02 08:45:00,1.4,,1400.0,35000.0
3,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-03 08:45:00,0.72,,3300.0,54000.0
4,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-06-15 08:45:00,1.37,,1100.0,160000.0
5,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-06-21 08:45:00,0.39,,1100.0,4900.0
6,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-07 08:45:00,0.78,,3400.0,160000.0
7,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-12-07 08:45:00,0.98,,1300.0,4900.0
8,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-07-22 08:45:00,1.0,,3300.0,92000.0
9,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-02-08 08:45:00,0.4,,1300.0,3300.0
10,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-11-08 08:45:00,0.4,,7900.0,35000.0
11,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-09 08:45:00,0.4,,780.0,24000.0
12,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-09-13 08:45:00,0.4,,780.0,24000.0
13,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-09-21 08:45:00,0.8,,450.0,17000.0
14,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-10 08:45:00,1.2,,1300.0,3300.0
15,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-11-10 08:45:00,0.6,,680.0,92000.0
16,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-10-21 08:45:00,0.6,,680.0,92000.0
17,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-11 08:45:00,0.6,,450.0,17000.0
18,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-11-11 08:45:00,0.6,,450.0,17000.0
19,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-11-22 08:45:00,0.4,,450.0,13000.0
20,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-01-12 08:45:00,0.4,,450.0,7000.0
21,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-12-13 08:45:00,0.8,,450.0,7900.0
22,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2021-12-21 08:45:00,0.8,,680.0,13000.0
23,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-01-01 08:45:00,1.0,,680.0,54000.0
24,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-11-01 08:45:00,1.2,,1400.0,7000.0
25,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-01-21 08:45:00,0.8,,780.0,7900.0
26,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-01-02 08:45:00,1.4,,680.0,54000.0
27,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-06-07 08:45:00,0.4,,1100.0,54000.0
28,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-11-07 08:45:00,0.2,,780.0,92000.0
29,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2022-07-21 08:45:00,0.6,,780.0,28000.0
30,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2023-02-05 09:00:00,4.3,,1100.0,4900.0
31,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2023-07-21 08:45:00,0.6,,2300.0,17000.0
32,Alandurai,CWC,33,Tamil Nadu,569,Coimbatore,COIMBATORE SOUTH,-,-,Cauvery,Cauvery,Noyyal,-,-,Noyyal,10.95194444,76.78527778,2023-03-10 08:45:00,1.22,,2700.0,35000.0
33,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,2021-01-01 08:30:00,0.8,,1300.0,7900.0
34,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,2021-01-02 08:30:00,0.8,,3300.0,54000.0
35,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,2021-01-03 08:30:00,0.52,,1300.0,3500.0
36,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,2021-01-04 08:30:00,0.54,,780.0,4900.0
37,AMBARAMPALAYAM,CWC,33,Tamil Nadu,569,Coimbatore,POLLACHI,ANAIMALAI,Ambarampalayam,Bharathapuzha,West flowing rivers from Tadri to Kanyakumari,Aliyar,-,-,Aliyar,10.63138889,76.94611111,2021-04-06 08:20:00,0.78,,780.0,17000.0
