SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2023-01-12 06:00:00,1.7,,,
2,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2024-01-03 06:00:00,0.9,,,
3,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.2175,2023-01-12 08:08:00,1.8,,,
4,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.2175,2024-01-03 06:17:00,0.8,,,
5,Kadamtala,CWC,16,Tripura,270,NORTH TRIPURA,Kadamtala,-,-,Meghna,Barak and Others,Juri,-,-,Juri,24.50305556,92.2175,2024-01-03 08:00:00,0.8,,,
6,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2021-01-02 07:00:00,9.6,,,
7,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2023-01-12 08:08:00,1.3,,,
8,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2024-01-03 06:00:00,0.6,,,
9,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2024-01-03 08:00:00,0.6,,,
10,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2023-01-12 08:08:00,1.6,,,
11,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2024-01-03 06:09:00,1.3,,,
12,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2024-01-03 08:00:00,1.3,,,
13,Sonamura,CWC,16,Tripura,653,Sepahijala,Boxanagar,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.47222222,91.26277778,2023-01-12 06:00:00,1.7,,,
14,Sonamura,CWC,16,Tripura,653,Sepahijala,Boxanagar,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.47222222,91.26277778,2024-01-03 06:00:00,0.2,,,
