SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-01-01 09:40:00,16.0,,110000.0,140000.0
2,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-01-02 09:00:00,20.0,,540000.0,920000.0
3,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-01-03 08:30:00,38.0,,540000.0,920000.0
4,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-03-22 08:00:00,26.0,,540000.0,350000.0
5,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-05-04 08:15:00,26.0,,350000.0,540000.0
6,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-12-04 08:15:00,24.0,,350000.0,540000.0
7,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-04-21 09:15:00,44.0,,350000.0,540000.0
8,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-05-21 08:20:00,10.8,,280000.0,350000.0
9,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-01-06 08:00:00,10.0,,170000.0,220000.0
10,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-11-06 08:15:00,29.0,,240000.0,350000.0
11,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-06-21 08:15:00,13.4,,170000.0,220000.0
12,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-01-07 08:15:00,23.0,,350000.0,540000.0
13,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-12-07 08:15:00,10.9,,240000.0,350000.0
14,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-07-22 10:30:00,19.6,,280000.0,350000.0
15,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-02-08 13:45:00,29.2,,350000.0,540000.0
16,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-11-08 11:15:00,37.2,,350000.0,540000.0
17,AGRA (J.B.),CWC,9,Uttar Pradesh,118,AGRA,AGRA,-,-,Ganga,Ganga,Yamuna,-,-,Yamuna,27.20388889,78.035,2021-08-23 11:30:00,20.6,,240000.0,350000.0
