SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2005-01-10 08:00:00,3.9,,,
2,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2005-02-11 08:00:00,2.71,,,
3,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2005-01-12 10:00:00,1.97,,,
4,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2006-02-01 09:30:00,2.93,,,
5,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2006-01-02 09:30:00,2.93,,,
6,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2006-01-04 09:30:00,1.82,,,
7,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2006-01-05 09:30:00,1.09,,,
8,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-06 09:30:00,1.546,,,
9,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-02-07 09:00:00,1.906,,,
10,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-08 09:00:00,1.71,,,
11,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-09 09:00:00,2.51,,,
12,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-10 09:00:00,1.3,,,
13,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-11 10:00:00,1.22,,,
14,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2007-01-12 08:00:00,1.09,,,
15,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-01 09:00:00,2.04,,,
16,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-02 09:30:00,1.9,,,
17,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-03 10:00:00,0.64,,,
18,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-04 10:00:00,2.14,,,
19,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-05 09:00:00,0.58,,,
20,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-02-06 08:00:00,1.48,,,
21,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-07-23 08:30:00,1.47,,,
22,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-08 09:00:00,0.34,,,
23,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-09 09:00:00,0.82,,,
24,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-03-10 10:15:00,2.06,,,
25,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-11 09:30:00,0.31,,,
26,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2008-01-12 08:00:00,0.96,,,
27,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-01-01 09:30:00,0.69,,,
28,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-02-02 08:00:00,0.63,,,
29,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-02-03 09:10:00,1.84,,,
30,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-01-04 09:30:00,0.265,,,
31,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-05-21 09:30:00,0.706,,,
32,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-01-06 09:30:00,0.882,,,
33,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-01-07 09:30:00,1.348,,,
34,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-08-20 09:45:00,3.334,,,
35,Alladupalli,CWC,28,Andhra Pradesh,504,CUDDAPAH,CHAPADU,-,-,Pennar,Pennar,Kunderu,-,-,Kunderu,14.71722222,78.66861111,2009-01-09 08:30:00,1.019,,,
