SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2019-01-09 08:30:00,,,,
2,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2019-03-10 08:30:00,,,,
3,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2019-01-11 08:30:00,,,,
4,Amarpur,CWC,16,Tripura,654,Gomati,Amarpur,-,-,Meghna,Barak and Others,Gumti,Gumti,-,Gumti,23.52833333,91.65277778,2019-02-12 08:30:00,,,,
5,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2017-01-07 08:30:00,,,,
6,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2018-01-01 08:30:00,,,,
7,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2018-01-04 08:30:00,,,,
8,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2018-01-07 08:30:00,,,,
9,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2018-01-10 08:30:00,,,,
10,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2019-01-01 08:30:00,,,,
11,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2019-01-04 08:00:00,,,,
12,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2019-01-07 08:00:00,0.3,,,
13,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2019-01-10 08:00:00,,,,
14,KAILASHAHAR GDSQ SITE,CWC,16,Tripura,655,Unakoti,Unakoti,-,-,Meghna,Barak and Others,Manu,-,-,Manu,24.3175,91.99388889,2020-01-01 08:00:00,0.6,,,
15,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2019-01-09 08:30:00,,,,
16,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2019-03-10 08:30:00,,,,
17,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2019-01-11 08:30:00,,,,
18,Manughat,CWC,16,Tripura,655,Unakoti,Gournagar,-,-,Meghna,Barak and Others,Manu,-,-,Manu,23.99611111,91.98944444,2019-02-12 08:30:00,,,,
