SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AMRAVATI RIVER D/S OF DONDAICHA DHULE DHULE,CPCB,27,Maharashtra,474,Dhule,SHINDKHEDE,-,-,-,-,-,-,-,-,21.326479,74.555815,04-03-2018 08:30,,,,,,
2,AMRAVATI RIVER D/S OF DONDAICHA DHULE DHULE,CPCB,27,Maharashtra,474,Dhule,SHINDKHEDE,-,-,-,-,-,-,-,-,21.326479,74.555815,01-04-2019 08:30,,,,,,
3,AMRAVATI RIVER D/S OF DONDAICHA DHULE DHULE,CPCB,27,Maharashtra,474,Dhule,SHINDKHEDE,-,-,-,-,-,-,-,-,21.326479,74.555815,03-10-2019 08:30,,,,,,
4,AMRAVATI RIVER D/S OF DONDAICHA DHULE DHULE,CPCB,27,Maharashtra,474,Dhule,SHINDKHEDE,-,-,-,-,-,-,-,-,21.326479,74.555815,04-11-2019 08:30,,,,,,
5,ANJANGAONAKOT AKOLA,CPCB,27,Maharashtra,467,Akola,Akot,-,-,-,-,-,-,-,-,21.09795,77.052686,02-04-2018 08:30,686.0,,,,,
6,ANJANGAONAKOT AKOLA,CPCB,27,Maharashtra,467,Akola,Akot,-,-,-,-,-,-,-,-,21.09795,77.052686,04-10-2018 08:30,865.0,,,,,
7,ANJANGAONAKOT AKOLA,CPCB,27,Maharashtra,467,Akola,Akot,-,-,-,-,-,-,-,-,21.09795,77.052686,04-04-2019 08:30,223.0,,,,,
8,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,04-01-2018 08:30,,Clear,,,,
9,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,02-02-2018 08:30,,Light Brown,Pungent,,,
10,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,03-03-2018 08:30,,Light Brown,Pungent,,,
11,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,04-04-2018 08:30,,Light Brown,Pungent,,,
12,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,03-05-2018 08:30,,Light Brown,Pungent,,,
13,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,05-06-2018 08:30,,Light Brown,Pungent,,,
14,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,03-07-2018 08:30,,Light Brown,Pungent,,,
15,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,03-08-2018 08:30,,Brown,,,,
16,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,05-09-2018 08:30,,Light Brown,,,,
17,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,03-10-2018 08:30,,Light Brown,Pungent,,,
18,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,02-11-2018 08:30,,Light Brown,,,,
19,ARNALA SEA ARNALA VASAI THANE,CPCB,27,Maharashtra,665,Palghar,VASAI,-,-,-,-,-,-,-,-,19.452095,72.747609,01-12-2018 08:30,,Light Brown,Pungent,,,
