SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BARAK AT PANCHAGRAM  ASSAM,CPCB,18,Assam,289,HAILAKANDI,ALGAPUR,-,-,-,-,-,-,-,-,24.8674,92.600817,2021-01-27 08:30:00,,,,,,
2,BARAK AT PANCHAGRAM  ASSAM,CPCB,18,Assam,289,HAILAKANDI,ALGAPUR,-,-,-,-,-,-,-,-,24.8674,92.600817,2021-02-22 08:30:00,,,,,,
3,BARAK AT PANCHAGRAM  ASSAM,CPCB,18,Assam,289,HAILAKANDI,ALGAPUR,-,-,-,-,-,-,-,-,24.8674,92.600817,2021-03-17 08:30:00,,,,,,
4,BARAK RIVER AT D/S OF SILCHAR ASSAM,CPCB,18,Assam,282,CACHAR,SILCHAR,-,-,-,-,-,-,-,-,24.786736,92.813553,2021-06-01 08:30:00,,,,,,
5,BARAK RIVER AT D/S OF SILCHAR ASSAM,CPCB,18,Assam,282,CACHAR,SILCHAR,-,-,-,-,-,-,-,-,24.786736,92.813553,2021-09-02 08:30:00,,,,,,
6,BARAK RIVER AT D/S OF SILCHAR ASSAM,CPCB,18,Assam,282,CACHAR,SILCHAR,-,-,-,-,-,-,-,-,24.786736,92.813553,2021-09-03 08:30:00,,,,,,
7,BARALIA RIVER (NEAR CHATPUJA GHAT) RANGIA KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,RANGIA,-,-,-,-,-,-,-,-,26.437483,91.624267,2021-05-01 08:30:00,,,,,,
8,BARALIA RIVER (NEAR CHATPUJA GHAT) RANGIA KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,RANGIA,-,-,-,-,-,-,-,-,26.437483,91.624267,2021-04-02 08:30:00,,,,,,
9,BARALIA RIVER (NEAR CHATPUJA GHAT) RANGIA KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,RANGIA,-,-,-,-,-,-,-,-,26.437483,91.624267,2021-04-03 08:30:00,,,,,,
10,BARNADI RIVER NEAR BRIDGE NH-52 DUMUNICHOWKI KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,KAMALPUR(PT.),-,-,-,-,-,-,-,-,26.348056,91.816389,2021-04-01 08:30:00,,,,,,
11,BARNADI RIVER NEAR BRIDGE NH-52 DUMUNICHOWKI KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,KAMALPUR(PT.),-,-,-,-,-,-,-,-,26.348056,91.816389,2021-04-02 08:30:00,,,,,,
12,BARNADI RIVER NEAR BRIDGE NH-52 DUMUNICHOWKI KAMRUP (R ),CPCB,18,Assam,291,KAMRUP,KAMALPUR(PT.),-,-,-,-,-,-,-,-,26.348056,91.816389,2021-03-03 08:30:00,,,,,,
13,BAROI RIVER NEAR BRIDGE AT NH-52 BISWANATH DISTRICT,CPCB,18,Assam,301,SONITPUR,BISWANATH,-,-,-,-,-,-,-,-,26.672611,93.165882,2021-06-01 08:30:00,,,,,,
14,BAROI RIVER NEAR BRIDGE AT NH-52 BISWANATH DISTRICT,CPCB,18,Assam,301,SONITPUR,BISWANATH,-,-,-,-,-,-,-,-,26.672611,93.165882,2021-08-02 08:30:00,,,,,,
15,BAROI RIVER NEAR BRIDGE AT NH-52 BISWANATH DISTRICT,CPCB,18,Assam,301,SONITPUR,BISWANATH,-,-,-,-,-,-,-,-,26.672611,93.165882,2021-02-03 08:30:00,,,,,,
16,BASKANDI POND INSIDE THE BASKANDI MADRASA BASKANDI ASSAM,CPCB,18,Assam,282,CACHAR,SONAI,-,-,-,-,-,-,-,-,24.808267,92.916244,2021-06-01 08:30:00,120.0,,,,,
