SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BAGMATI RIVER AT DARBANGA SAMASTIPUR ROAD BRIDGE DARBHANGA,CPCB,10,Bihar,195,DARBHANGA,HAYAGHAT,-,-,-,-,-,-,-,-,26.038984,85.891341,07-01-2021 08:30,,,,,,
2,BAGMATI RIVER AT DARBANGA SAMASTIPUR ROAD BRIDGE DARBHANGA,CPCB,10,Bihar,195,DARBHANGA,HAYAGHAT,-,-,-,-,-,-,-,-,26.038984,85.891341,24-02-2021 08:30,,,,,,
3,BAGMATI RIVER AT MUZAFFARPUR- SITAMARHI ROAD BRIDGE SITAMARHI,CPCB,10,Bihar,208,MUZAFFARPUR,AURAI,-,-,-,-,-,-,-,-,26.341991,85.481683,04-01-2021 08:30,,,,,,
4,BAGMATI RIVER AT MUZAFFARPUR- SITAMARHI ROAD BRIDGE SITAMARHI,CPCB,10,Bihar,208,MUZAFFARPUR,AURAI,-,-,-,-,-,-,-,-,26.341991,85.481683,15-02-2021 08:30,,,,,,
5,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,15-01-2021 08:30,,,,,,
6,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,29-01-2021 08:30,,,,,,
7,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,08-02-2021 08:30,,,,,,
8,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,24-02-2021 08:30,,,,,,
9,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,10-03-2021 08:30,,,,,,
10,BAKHTIYARPUR-TAJPUR BRIDGE ON GANGA ATHMALGOLA PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.655635,85.096308,25-03-2021 08:30,,,,,,
11,BORE WELL WATER AT BHUT NATH ROAD WATER TANK SEC-3 KANKARBAGHPATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.593237,85.174164,01-04-2021 08:30,430.0,Clear,,8.0,,
12,BORE WELL WATER AT BHUT NATH ROAD WATER TANK SEC-3 KANKARBAGHPATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.593237,85.174164,30-10-2021 08:30,491.0,Clear,,1.9,,
13,BORE WELL WATER AT KATRA BAZAR WATER TANK MALSALAMI PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.579122,85.253317,02-04-2021 08:30,435.0,Clear,,13.0,,
14,BORE WELL WATER AT KATRA BAZAR WATER TANK MALSALAMI PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.579122,85.253317,30-10-2021 08:30,453.0,Clear,,2.5,,
15,BORE WELL WATER FROM IGIMS CAMPUS PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.611612,85.09125,01-04-2021 08:30,509.0,Clear,,7.0,,
16,BORE WELL WATER FROM IGIMS CAMPUS PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.611612,85.09125,30-10-2021 08:30,410.0,Clear,,1.4,,
17,BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE NEAR HIGH COURT PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.609619,85.136893,01-04-2021 08:30,528.0,Clear,,8.0,,
18,BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE NEAR HIGH COURT PATNA,CPCB,10,Bihar,212,PATNA,PATNA RURAL (A),-,-,-,-,-,-,-,-,25.609619,85.136893,30-10-2021 08:30,448.0,Clear,,2.3,,
19,BORE WELL WATER MMC PUMP HOUSE BRAHMPURA NAKA MUZAFFARPUR,CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.123515,85.378269,28-10-2021 08:30,641.0,Clear,,2.8,,
20,BORE WELL WATER NEAR COMMISSIONARY OFFICE CHAPRA,CPCB,10,Bihar,218,SARAN,CHAPRA,-,-,-,-,-,-,-,-,25.783556,84.75325,25-10-2021 08:30,1160.0,Clear,,2.3,,
21,BORE WELL WATER (PHED PUMP HOUSE) SADAR HOSPITAL CAMPUS MUZAFFARPUR,CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.122167,85.382451,28-10-2021 08:30,927.0,Clear,,3.4,,
22,BURHI GANDAK AT AKHARAGHAT MUZAFFARPUR,CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.138571,85.388808,25-01-2021 08:30,,,,,,
23,BURHI GANDAK AT AKHARAGHAT MUZAFFARPUR,CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.138571,85.388808,27-02-2021 08:30,,,,,,
24,BURHI GANDAK AT AKHARAGHAT MUZAFFARPUR,CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.138571,85.388808,31-03-2021 08:30,,,,,,
25,BURHI GANDAK AT BARACHAKIA EAST CHAMPARAN,CPCB,10,Bihar,213,PURBA CHAMPARAN,CHAKIA (PIPRA),-,-,-,-,-,-,-,-,26.415383,85.066452,20-01-2021 08:30,,,,,,
26,BURHI GANDAK AT BARACHAKIA EAST CHAMPARAN,CPCB,10,Bihar,213,PURBA CHAMPARAN,CHAKIA (PIPRA),-,-,-,-,-,-,-,-,26.415383,85.066452,18-02-2021 08:30,,,,,,
27,BURHI GANDAK AT BARACHAKIA EAST CHAMPARAN,CPCB,10,Bihar,213,PURBA CHAMPARAN,CHAKIA (PIPRA),-,-,-,-,-,-,-,-,26.415383,85.066452,15-03-2021 08:30,,,,,,
28,BURHI GANDAK AT Z ROAD BRIDGE SAMASTIPUR,CPCB,10,Bihar,217,SAMASTIPUR,WARISNAGAR,-,-,-,-,-,-,-,-,25.867123,85.784927,07-01-2021 08:30,,,,,,
29,BURHI GANDAK AT Z ROAD BRIDGE SAMASTIPUR,CPCB,10,Bihar,217,SAMASTIPUR,WARISNAGAR,-,-,-,-,-,-,-,-,25.867123,85.784927,22-02-2021 08:30,,,,,,
30,BURHI GANDAK AT Z ROAD BRIDGE SAMASTIPUR,CPCB,10,Bihar,217,SAMASTIPUR,WARISNAGAR,-,-,-,-,-,-,-,-,25.867123,85.784927,05-03-2021 08:30,,,,,,
31,BURHI GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),CPCB,10,Bihar,208,MUZAFFARPUR,MUSAHRI,-,-,-,-,-,-,-,-,26.136076,85.381196,25-01-2021 08:30,,,,,,
