SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.759546,76.735991,07-01-2021 08:30,,,,,,
2,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.759546,76.735991,03-02-2021 08:30,,,,,,
3,GHAGGAR AT D/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.759546,76.735991,04-03-2021 08:30,,,,,,
4,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.764802,76.7246,07-01-2021 08:30,,,,,,
5,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.764802,76.7246,03-02-2021 08:30,,,,,,
6,GHAGGAR AT U/S DHAKANSU NALLAH PUNJAB,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.764802,76.7246,04-03-2021 08:30,,,,,,
7,GROUND WATER FROM DADU MAJRA CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75385,76.740867,20-04-2021 08:30,804.0,Clear,,,,
8,GROUND WATER FROM DADU MAJRA CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.75385,76.740867,05-10-2021 08:30,714.0,Clear,,,,
9,GROUND WATER FROM DHANAS VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.776019,76.74926,20-04-2021 08:30,566.0,Clear,,11.0,,
10,GROUND WATER FROM DHANAS VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.776019,76.74926,05-10-2021 08:30,1042.0,Clear,,5.7,,
11,GROUND WATER FROM PALSORA VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.731825,76.725717,20-04-2021 08:30,896.0,Clear,,,,
12,GROUND WATER FROM PALSORA VILLAGE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.731825,76.725717,05-10-2021 08:30,909.0,Clear,,2.3,,
13,GROUND WATER FROM SECTOR 15 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.751489,76.772606,20-04-2021 08:30,505.0,Clear,,26.0,,
14,GROUND WATER FROM SECTOR 15 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.751489,76.772606,05-10-2021 08:30,550.0,Clear,,2.1,,
15,GROUND WATER FROM SECTOR 22 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.73405,76.773239,20-04-2021 08:30,694.0,Clear,,24.0,,
16,GROUND WATER FROM SECTOR 22 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.73405,76.773239,05-10-2021 08:30,731.0,Clear,,1.2,,
17,GROUND WATER FROM SECTOR 34 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.719562,76.76397,20-04-2021 08:30,835.0,Clear,,6.0,,
18,GROUND WATER FROM SECTOR 34 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.719562,76.76397,05-10-2021 08:30,857.0,Clear,,6.3,,
19,GROUND WATER FROM SECTOR 47 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.694747,76.769719,20-04-2021 08:30,606.0,Clear,,2.0,,
20,GROUND WATER FROM SECTOR 47 CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.694747,76.769719,05-10-2021 08:30,637.0,Clear,,1.4,,
21,N-CHOE (ATTAWA CHOE) CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.742291,76.767246,08-01-2021 08:30,,,,,,
22,N-CHOE (ATTAWA CHOE) CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.742291,76.767246,01-02-2021 08:30,,,,,,
23,N-CHOE (ATTAWA CHOE) CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.742291,76.767246,12-03-2021 08:30,,,,,,
24,PATIALA KI RAO CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.767109,76.760883,15-01-2021 08:30,,,,,,
25,PATIALA KI RAO CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.767109,76.760883,08-02-2021 08:30,,,,,,
26,PATIALA KI RAO CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.767109,76.760883,08-03-2021 08:30,,,,,,
27,SUKHNA CHOE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.706008,76.815213,05-01-2021 08:30,,,,,,
28,SUKHNA CHOE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.706008,76.815213,02-02-2021 08:30,,,,,,
29,SUKHNA CHOE CHANDIGARH,CPCB,4,Chandigarh,44,CHANDIGARH,CHANDIGARH,-,-,-,-,-,-,-,-,30.706008,76.815213,05-03-2021 08:30,,,,,,
