SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BAHELA AT BADLI VILLAGE,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.731344,77.148188,2021-01-02 08:30:00,,,,,,
2,BHALSWA LAKE DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.741669,77.171997,2021-06-17 08:30:00,6560.0,,,,,
3,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-05-01 08:30:00,1120.0,,,,,
4,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-03-02 08:30:00,1310.0,,,,,
5,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-08-03 08:30:00,1320.0,,,,,
6,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-08-04 08:30:00,1720.0,,,,,
7,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-04-05 08:30:00,1470.0,,,,,
8,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-07-06 08:30:00,1430.0,,,,,
9,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-06-07 08:30:00,940.0,,,,,
10,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-08-17 08:30:00,1260.0,,,,,
11,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-07-09 08:30:00,1030.0,,,,,
12,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-12-10 08:30:00,930.0,,,,,
13,GURGAON CANAL GC-1 (NEAR BADARPUR BORDER),CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.506624,77.314305,2021-11-12 08:30:00,1240.0,,,,,
14,LAKE NEAR IIT FLYOVER DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.51595,77.171442,2021-06-23 08:30:00,940.0,,,,,
15,SANJAY LAKE DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.615194,77.292867,2021-06-23 08:30:00,1194.0,,,,,
16,WELL AT ALIPUR DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.797075,77.133117,2021-11-26 08:30:00,,Clear,,,,
17,WELL AT AURBINDO MARG DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.556339,77.206494,2021-11-30 08:30:00,,Clear,,,,
18,WELL AT BAWANA DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805331,77.046247,2021-11-26 08:30:00,,Clear,,,,
19,WELL AT BURARI DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.755,77.199,2021-11-26 08:30:00,,Clear,,,,
20,WELL AT DEFENCE COLONY DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.572486,77.232919,2021-12-12 08:30:00,,Clear,,,,
21,WELL AT DILSHAD GARDEN DELHI,CPCB,7,Delhi,81,NORTH EAST,SEELAM PUR,-,-,-,-,-,-,-,-,28.684654,77.314976,2021-11-23 08:30:00,,Clear,,,,
22,WELL AT DWARKA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.573669,77.055899,2021-12-20 08:30:00,,Clear,,,,
23,WELL AT FATEH PUR BERI DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.457589,77.178719,2021-11-30 08:30:00,,Clear,,,,
24,WELL AT GAJIPUR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.629953,77.320258,2021-11-23 08:30:00,,Clear,,,,
25,WELL AT GANDHI NAGAR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.666309,77.273879,2021-11-23 08:30:00,,Clear,,,,
26,WELL AT HAIDERPUR DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.722494,77.144697,2021-11-29 08:30:00,,Clear,,,,
27,WELL AT ISBT DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.668728,77.230422,2021-11-26 08:30:00,,Clear,,,,
28,WELL AT KALKA JI DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.54985,77.260786,2021-12-17 08:30:00,,Clear,,,,
29,WELL AT KAMLA NAGAR DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.680544,77.203628,2021-11-29 08:30:00,,Clear,,,,
30,WELL AT KAROL BAGH DELHI,CPCB,7,Delhi,77,CENTRAL,KAROL BAGH,-,-,-,-,-,-,-,-,28.653008,77.192353,2021-11-25 08:30:00,,Clear,,,,
31,WELL AT MATIALA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.611486,77.049103,2021-12-20 08:30:00,,Clear,,,,
32,WELL AT MAYA PURI DELHI,CPCB,7,Delhi,85,WEST,RAJOURI GARDEN,-,-,-,-,-,-,-,-,28.627219,77.12405,2021-11-25 08:30:00,,Clear,,,,
33,WELL AT MAYUR VIHAR DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.614625,77.312158,2021-11-23 08:30:00,,Clear,,,,
34,WELL AT NAJAFGARH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.605978,76.991206,2021-12-20 08:30:00,,Clear,,,,
35,WELL AT NARAINA INDL AREA DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.632142,77.138853,2021-11-25 08:30:00,,Clear,,,,
36,WELL AT OKHLA DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.567406,77.292078,2021-12-17 08:30:00,,Clear,,,,
37,WELL AT PARIVESH BHAWAN DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.655714,77.295122,2021-04-13 08:30:00,2562.0,Clear,,,,
38,WELL AT PARIVESH BHAWAN DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.655714,77.295122,2021-11-22 08:30:00,2312.0,Clear,,,,
39,WELL AT PASCHIM VIHAR DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.665694,77.093931,2021-11-25 08:30:00,,Clear,,,,
40,WELL AT PATEL NAGAR DELHI,CPCB,7,Delhi,85,WEST,PATEL NAGAR,-,-,-,-,-,-,-,-,28.650511,77.169181,2021-11-25 08:30:00,,Clear,,,,
41,WELL AT PATPAR GANJ DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.61225,77.285689,2021-11-23 08:30:00,,Clear,,,,
42,WELL AT PATPARGANJ INDL AREA DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.639439,77.310961,2021-11-23 08:30:00,,Clear,,,,
43,WELL AT PEERAGARHI DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.679675,77.092711,2021-11-25 08:30:00,,Clear,,,,
44,WELL AT PILANJI DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.579181,77.201353,2021-11-30 08:30:00,,Clear,,,,
45,WELL AT PRIYA ENCLAVE DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.652997,77.299056,2021-11-23 08:30:00,,Clear,,,,
46,WELL AT QUTAB GARH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.571769,77.165053,2021-12-17 08:30:00,,Clear,,,,
47,WELL AT RAJENDER NAGAR DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.639864,77.180092,2021-11-25 08:30:00,,Clear,,,,
48,WELL AT RAJPURA ROAD DELHI,CPCB,7,Delhi,80,NORTH,MODEL TOWN,-,-,-,-,-,-,-,-,28.677442,77.217708,2021-11-29 08:30:00,,Clear,,,,
49,WELL AT RASHTRAPATI BHAWAN DELHI,CPCB,7,Delhi,77,CENTRAL,CIVIL LINES,-,-,-,-,-,-,-,-,28.614361,77.199622,2021-11-25 08:30:00,,Clear,,,,
50,WELL AT ROHINI DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.736069,77.091128,2021-11-26 08:30:00,,Clear,,,,
51,WELL AT SAKET DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.524594,77.206678,2021-11-30 08:30:00,,Clear,,,,
52,WELL AT SHAHDARA DELHI,CPCB,7,Delhi,81,NORTH EAST,SEELAM PUR,-,-,-,-,-,-,-,-,28.681614,77.270975,2021-11-23 08:30:00,,Clear,,,,
53,WELL AT SINGHU BORDER DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.843719,77.089375,2021-12-20 08:30:00,,Clear,,,,
54,WELL AT SINGOLA DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.843025,77.12602,2021-11-29 08:30:00,,Clear,,,,
55,WELL AT SULTANPURI DELHI,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.698114,77.070828,2021-12-17 08:30:00,,Clear,,,,
56,WELL AT TIKRI KALAN  DELHI,CPCB,7,Delhi,85,WEST,PUNJABI BAGH,-,-,-,-,-,-,-,-,28.682331,76.967181,2021-12-20 08:30:00,,Clear,,,,
57,WELL AT TILAK NAGAR DELHI,CPCB,7,Delhi,85,WEST,RAJOURI GARDEN,-,-,-,-,-,-,-,-,28.638739,77.094114,2021-11-29 08:30:00,,Clear,,,,
58,WELL AT TRILOKPURI DELHI,CPCB,7,Delhi,78,EAST,PREET VIHAR,-,-,-,-,-,-,-,-,28.604678,77.306886,2021-11-23 08:30:00,,Clear,,,,
59,WELL AT UJWAH DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.567089,76.910736,2021-12-17 08:30:00,,Clear,,,,
60,WELL AT VASANT KUNJ DELHI,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.527303,77.151553,2021-11-30 08:30:00,,Clear,,,,
61,WELL AT VASANT VIHAR,CPCB,7,Delhi,84,SOUTH WEST,NAJAFGARH,-,-,-,-,-,-,-,-,28.560258,77.156006,2021-11-30 08:30:00,,Clear,,,,
62,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805764,77.046769,2021-10-08 08:30:00,228.0,,,,,
63,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805764,77.046769,2021-07-09 08:30:00,224.0,,,,,
64,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805764,77.046769,2021-05-10 08:30:00,238.0,,,,,
65,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805764,77.046769,2021-10-11 08:30:00,261.0,,,,,
66,WESTERN YAMUNA CANAL C-4 BEFORE ENTER INTO DELHI BRANCH R.D.282628,CPCB,7,Delhi,82,NORTH WEST,SARASWATI VIHAR,-,-,-,-,-,-,-,-,28.805764,77.046769,2021-09-12 08:30:00,284.0,,,,,
67,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.598582,77.263308,2021-06-01 08:30:00,,,,,,
68,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.598582,77.263308,2021-01-02 08:30:00,,,,,,
69,YAMUNA AT NIZAMUDDIN DELHI,CPCB,7,Delhi,83,SOUTH,HAUZ KHAS,-,-,-,-,-,-,-,-,28.598582,77.263308,2021-03-03 08:30:00,,,,,,
