SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.410861,72.834194,29-01-2021 08:30,,,,,,
2,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.410861,72.834194,23-02-2021 08:30,,,,,,
3,AT DAMAN JETTY MOTI DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.410861,72.834194,25-03-2021 08:30,,,,,,
4,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.272097,72.985656,29-01-2021 08:30,,,,,,
5,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.272097,72.985656,23-02-2021 08:30,,,,,,
6,AT NAROLI BRIDGE SILVASSA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.272097,72.985656,25-03-2021 08:30,,,,,,
7,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.376011,72.877035,29-01-2021 08:30,,,,,,
8,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.376011,72.877035,23-02-2021 08:30,,,,,,
9,AT ZARI CAUSE WAY BRIDGE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.376011,72.877035,25-03-2021 08:30,,,,,,
10,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.371433,72.881108,01-01-2021 08:30,,,,,,
11,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.371433,72.881108,05-02-2021 08:30,,,,,,
12,DAMANGANGA AT KACHIGAON D\S (DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.371433,72.881108,04-03-2021 08:30,,,,,,
13,DAMANGANGA AT ZERI CAUSEWAY (UT OF DAMAN),CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.374452,72.87907,25-02-2021 08:30,,,,,,
14,GROUND WATER FROM VILLAGE BHIMPORE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.447361,72.857456,28-09-2021 08:30,443.0,Clear,,,,
15,WELL AT SOMNATH INDUSTRIAL ESTATE DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.407256,72.876327,28-09-2021 08:30,835.0,Clear,,,,
16,WELL AT VILLAGE ATHAL DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.271932,72.998411,28-09-2021 08:30,603.0,Clear,,,,
17,WELL AT VILLAGE DABHEL DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.40115,72.892161,28-09-2021 08:30,1324.0,Clear,,,,
18,WELL AT VILLAGE GALONDA DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.293589,73.068986,28-09-2021 08:30,409.0,Clear,,,,
19,WELL AT VILLAGE KHANVEL DADRA,CPCB,38,Dadra And Nagar Haveli,465,Dadra And Nagar Haveli,Dadra And Nagar Haveli,-,-,-,-,-,-,-,-,20.126292,73.062664,28-09-2021 08:30,483.0,Clear,,1.9,,
20,WELL AT VILLAGE RINGANWADA DAMAN,CPCB,38,Daman & Diu,463,Daman,Daman,-,-,-,-,-,-,-,-,20.400458,72.878133,28-09-2021 08:30,1990.0,Clear,,,,
