SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-04-01 08:30:00,51.0,,,,,
2,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-02 08:30:00,56.0,,,,,
3,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-03 08:30:00,56.0,,,,,
4,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-05-04 08:30:00,50.0,,,,,
5,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-03-05 08:30:00,140.0,,,,,
6,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-06 08:30:00,43.0,,,,,
7,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-02-07 08:30:00,41.0,,,,,
8,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-02-08 08:30:00,70.0,,,,,
9,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-09 08:30:00,51.0,,,,,
10,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-10 08:30:00,39.0,,,,,
11,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-11 08:30:00,43.0,,,,,
12,ANJUNEM LAKE,CPCB,30,Goa,551,NORTH GOA,SATARI,-,-,-,-,-,-,-,-,15.616728,74.088381,2021-01-12 08:30:00,40.0,,,,,
13,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-12-01 08:30:00,,Clear,,,,
14,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-09-02 08:30:00,,Clear,,,,
15,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-09-03 08:30:00,,Clear,,,,
16,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-04-19 08:30:00,,Clear,,,,
17,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-12-05 08:30:00,,Clear,,,,
18,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-09-06 08:30:00,,Clear,,,,
19,BAINA BEACH,CPCB,30,Goa,552,SOUTH GOA,Mormugao,-,-,-,-,-,-,-,-,15.39155,73.806607,2021-07-13 08:30:00,,Clear,,,,
