SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557,72.583329,02-01-2021 08:30,,,,,,
2,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557,72.583329,03-02-2021 08:30,,,,,,
3,AHMEDABAD-1 BENRAMPURA,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,23.00557,72.583329,02-03-2021 08:30,,,,,,
4,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.990861,72.533077,02-01-2021 08:30,,,,,,
5,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.990861,72.533077,03-02-2021 08:30,,,,,,
6,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.990861,72.533077,02-03-2021 08:30,,,,,,
7,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,05-01-2021 08:30,432.0,,,,,
8,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,04-02-2021 08:30,448.0,,,,,
9,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,04-03-2021 08:30,409.0,,,,,
10,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,05-04-2021 08:30,365.0,,,,,
11,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,06-05-2021 08:30,450.0,,,,,
12,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.401206,73.388603,04-06-2021 08:30,470.0,,,,,
