SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ASHWANI AT U/S YASHWANT NAGAR,CPCB,2,Himachal Pradesh,24,SIRMAUR,RAJGARH(T),-,-,-,-,-,-,-,-,30.892361,77.210569,2021-05-01 08:30:00,,,,,,
2,ASHWANI AT U/S YASHWANT NAGAR,CPCB,2,Himachal Pradesh,24,SIRMAUR,RAJGARH(T),-,-,-,-,-,-,-,-,30.892361,77.210569,2021-06-02 08:30:00,,,,,,
3,ASHWANI AT U/S YASHWANT NAGAR,CPCB,2,Himachal Pradesh,24,SIRMAUR,RAJGARH(T),-,-,-,-,-,-,-,-,30.892361,77.210569,2021-05-03 08:30:00,,,,,,
4,ASHWANI RIVER   SADHUPUL (U/S OF BRIDGE TOWARDS CHAIL.),CPCB,2,Himachal Pradesh,25,SOLAN,KANDAGHAT(T),-,-,-,-,-,-,-,-,30.993685,77.160996,2021-05-01 08:30:00,,,,,,
5,ASHWANI RIVER   SADHUPUL (U/S OF BRIDGE TOWARDS CHAIL.),CPCB,2,Himachal Pradesh,25,SOLAN,KANDAGHAT(T),-,-,-,-,-,-,-,-,30.993685,77.160996,2021-03-02 08:30:00,,,,,,
6,ASHWANI RIVER   SADHUPUL (U/S OF BRIDGE TOWARDS CHAIL.),CPCB,2,Himachal Pradesh,25,SOLAN,KANDAGHAT(T),-,-,-,-,-,-,-,-,30.993685,77.160996,2021-08-03 08:30:00,,,,,,
7,BANER KHAD D/S CHAMUNDA TEMPLE,CPCB,2,Himachal Pradesh,18,KANGRA,DERA GOPIPUR(T),-,-,-,-,-,-,-,-,32.005553,76.156208,2021-02-02 08:30:00,,,,,,
8,BANER KHAD D/S CHAMUNDA TEMPLE,CPCB,2,Himachal Pradesh,18,KANGRA,DERA GOPIPUR(T),-,-,-,-,-,-,-,-,32.005553,76.156208,2021-05-03 08:30:00,,,,,,
9,BANER KHAD U/S CHAMUNDA TEMPLE,CPCB,2,Himachal Pradesh,18,KANGRA,KANGRA(T),-,-,-,-,-,-,-,-,32.022035,76.228191,2021-01-01 08:30:00,,,,,,
10,BANER KHAD U/S CHAMUNDA TEMPLE,CPCB,2,Himachal Pradesh,18,KANGRA,KANGRA(T),-,-,-,-,-,-,-,-,32.022035,76.228191,2021-02-02 08:30:00,,,,,,
11,BANER KHAD U/S CHAMUNDA TEMPLE,CPCB,2,Himachal Pradesh,18,KANGRA,KANGRA(T),-,-,-,-,-,-,-,-,32.022035,76.228191,2021-05-03 08:30:00,,,,,,
12,BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,CPCB,2,Himachal Pradesh,20,KULLU,MANALI(T),-,-,-,-,-,-,-,-,32.138571,77.153347,2021-04-01 08:30:00,,,,,,
13,BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,CPCB,2,Himachal Pradesh,20,KULLU,MANALI(T),-,-,-,-,-,-,-,-,32.138571,77.153347,2021-05-02 08:30:00,,,,,,
14,BARAGRAM NALLAH BEFORE CONFLUENCE TO RIVER BEAS,CPCB,2,Himachal Pradesh,20,KULLU,MANALI(T),-,-,-,-,-,-,-,-,32.138571,77.153347,2021-04-03 08:30:00,,,,,,
15,BASPA AT U/S RESERVOIR BASPA PROJECT,CPCB,2,Himachal Pradesh,19,KINNAUR,SANGLA(T),-,-,-,-,-,-,-,-,31.389297,78.353714,2021-05-01 08:30:00,,,,,,
16,BASPA AT U/S RESERVOIR BASPA PROJECT,CPCB,2,Himachal Pradesh,19,KINNAUR,SANGLA(T),-,-,-,-,-,-,-,-,31.389297,78.353714,2021-10-02 08:30:00,,,,,,
17,BASPA AT U/S RESERVOIR BASPA PROJECT,CPCB,2,Himachal Pradesh,19,KINNAUR,SANGLA(T),-,-,-,-,-,-,-,-,31.389297,78.353714,2021-05-03 08:30:00,,,,,,
18,BATTA AT U/S PAONTA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.455225,77.584234,2021-04-01 08:30:00,,,,,,
19,BATTA AT U/S PAONTA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.455225,77.584234,2021-06-02 08:30:00,,,,,,
20,BATTA AT U/S PAONTA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.455225,77.584234,2021-04-03 08:30:00,,,,,,
21,BATTA BEFORE CONFLUENCE TO YAMUNA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.429819,77.578623,2021-04-01 08:30:00,,,,,,
22,BATTA BEFORE CONFLUENCE TO YAMUNA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.429819,77.578623,2021-06-02 08:30:00,,,,,,
23,BATTA BEFORE CONFLUENCE TO YAMUNA,CPCB,2,Himachal Pradesh,24,SIRMAUR,PAONTA SAHIB(T),-,-,-,-,-,-,-,-,30.429819,77.578623,2021-04-03 08:30:00,,,,,,
24,BEAS AT D/S AUT,CPCB,2,Himachal Pradesh,22,MANDI,AUT(T),-,-,-,-,-,-,-,-,31.740194,77.207533,2021-11-01 08:30:00,,,,,,
25,BEAS AT D/S AUT,CPCB,2,Himachal Pradesh,22,MANDI,AUT(T),-,-,-,-,-,-,-,-,31.740194,77.207533,2021-06-02 08:30:00,,,,,,
