SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-01-25 08:30:00,1560.0,,,,,
2,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-03-31 08:30:00,1980.0,,,,,
3,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-04-14 08:30:00,2380.0,,,,,
4,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-12-05 08:30:00,1810.0,,,,,
5,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-07-27 08:30:00,1230.0,,,,,
6,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-08-18 08:30:00,1280.0,,,,,
7,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-09-17 08:30:00,1120.0,,,,,
8,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-10-26 08:30:00,1240.0,,,,,
9,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-11-18 08:30:00,1530.0,,,,,
10,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,CPCB,6,Haryana,60,FARIDABAD,Hathin,-,-,-,-,-,-,-,-,28.147824,77.180272,2021-12-27 08:30:00,1470.0,,,,,
11,BOREWELL IN THE PREMISES OF CETP MURTHAL SONEPAT,CPCB,6,Haryana,75,SONIPAT,SONIPAT,-,-,-,-,-,-,-,-,29.021944,77.068611,2021-09-10 08:30:00,4330.0,Clear,,,,
12,BOREWELL IN THE PREMISES OF CETP MURTHAL SONEPAT,CPCB,6,Haryana,75,SONIPAT,SONIPAT,-,-,-,-,-,-,-,-,29.021944,77.068611,2021-12-29 08:30:00,810.0,Clear,,1.1,,
13,BOREWELL IN THE PREMISES OF DCRUST MURTHAL SONEPAT,CPCB,6,Haryana,75,SONIPAT,SONIPAT,-,-,-,-,-,-,-,-,29.026667,77.058889,2021-09-10 08:30:00,973.0,Clear,,,,
14,BOREWELL NEAR POSCO COMPANY SECTOR - 14 PHASE - II VILLAGE PATHUHERA HSIIDC IMT BAWAL,CPCB,6,Haryana,72,REWARI,BAWAL,-,-,-,-,-,-,-,-,28.096661,76.579356,2021-06-30 08:30:00,1590.0,Clear,,,,
15,BORE WELL OF ITI COLLAGE OPP M/S PALIWAL MILK AT MOTA SONELA MODASA ROAD TAL LUNAVADA DIST. MAHISAG,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,23.16095,73.59988,2021-05-04 08:30:00,894.0,Clear,,,,
16,BORE WELL OF ITI COLLAGE OPP M/S PALIWAL MILK AT MOTA SONELA MODASA ROAD TAL LUNAVADA DIST. MAHISAG,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,23.16095,73.59988,2021-01-10 08:30:00,940.0,Clear,,1.6,,
17,BRAHMSAROVAR LAKE AT KURUKSHETRA,CPCB,6,Haryana,68,KURUKSHETRA,Thanesar,-,-,-,-,-,-,-,-,29.963278,76.827372,2021-01-18 08:30:00,812.0,,,,,
18,BRAHMSAROVAR LAKE AT KURUKSHETRA,CPCB,6,Haryana,68,KURUKSHETRA,Thanesar,-,-,-,-,-,-,-,-,29.963278,76.827372,2021-08-13 08:30:00,342.0,,,,,
19,BRAHMSAROVAR LAKE AT KURUKSHETRA,CPCB,6,Haryana,68,KURUKSHETRA,Thanesar,-,-,-,-,-,-,-,-,29.963278,76.827372,2021-09-15 08:30:00,416.0,,,,,
20,BRAHMSAROVAR LAKE AT KURUKSHETRA,CPCB,6,Haryana,68,KURUKSHETRA,Thanesar,-,-,-,-,-,-,-,-,29.963278,76.827372,2021-10-13 08:30:00,289.0,,,,,
21,BRAHMSAROVAR LAKE AT KURUKSHETRA,CPCB,6,Haryana,68,KURUKSHETRA,Thanesar,-,-,-,-,-,-,-,-,29.963278,76.827372,2021-11-17 08:30:00,368.0,,,,,
22,CONFLUENCE OF SOUTHERN GHAGGAR CANAL SHERANWALI PARALLEL GHAGGAR CANAL AND HISAR GHAGGAR DRAIN,CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.432845,74.904711,2021-04-09 08:30:00,1950.0,,,,,
23,CONFLUENCE OF SOUTHERN GHAGGAR CANAL SHERANWALI PARALLEL GHAGGAR CANAL AND HISAR GHAGGAR DRAIN,CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.432845,74.904711,2021-08-10 08:30:00,1980.0,,,,,
24,CONFLUENCE OF SOUTHERN GHAGGAR CANAL SHERANWALI PARALLEL GHAGGAR CANAL AND HISAR GHAGGAR DRAIN,CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.432845,74.904711,2021-10-11 08:30:00,1960.0,,,,,
25,CONFLUENCE OF SOUTHERN GHAGGAR CANAL SHERANWALI PARALLEL GHAGGAR CANAL AND HISAR GHAGGAR DRAIN,CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.432845,74.904711,2021-06-12 08:30:00,2160.0,,,,,
26,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-01-01 08:30:00,429.0,,,,,
27,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-04-02 08:30:00,419.0,,,,,
28,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-03 08:30:00,466.0,,,,,
29,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-04-04 08:30:00,520.0,,,,,
30,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-03-05 08:30:00,564.0,,,,,
31,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-06 08:30:00,551.0,,,,,
32,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-07 08:30:00,457.0,,,,,
33,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-08 08:30:00,424.0,,,,,
34,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-09 08:30:00,459.0,,,,,
35,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-10 08:30:00,437.0,,,,,
36,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-02-11 08:30:00,369.0,,,,,
37,DHUDHIA TALAV AT NAVSARI DIST. NAVSARI.,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.463603,73.517011,2021-06-12 08:30:00,411.0,,,,,
38,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-01 08:30:00,460.0,,,,,
39,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-02 08:30:00,291.0,,,,,
40,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-03-03 08:30:00,307.0,,,,,
41,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-05-04 08:30:00,347.0,,,,,
42,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-04-05 08:30:00,412.0,,,,,
43,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-06 08:30:00,488.0,,,,,
44,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-02-07 08:30:00,563.0,,,,,
45,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-03-08 08:30:00,393.0,,,,,
46,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-09 08:30:00,472.0,,,,,
47,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-10 08:30:00,391.0,,,,,
48,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-01-11 08:30:00,307.0,,,,,
49,FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL GODHRA DIST P,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.803282,73.42819,2021-03-12 08:30:00,357.0,,,,,
50,GEPIL VILLAGE PALI MOHABATABAD CRUSHER ZONE FARIDABAD,CPCB,6,Haryana,60,FARIDABAD,Faridabad,-,-,-,-,-,-,-,-,28.399434,77.222378,2021-01-01 08:30:00,654.0,Other,,,,
51,GEPIL VILLAGE PALI MOHABATABAD CRUSHER ZONE FARIDABAD,CPCB,6,Haryana,60,FARIDABAD,Faridabad,-,-,-,-,-,-,-,-,28.399434,77.222378,2021-07-26 08:30:00,760.0,Clear,,,,
52,GEPIL VILLAGE PALI MOHABATABAD CRUSHER ZONE FARIDABAD,CPCB,6,Haryana,60,FARIDABAD,Faridabad,-,-,-,-,-,-,-,-,28.399434,77.222378,2021-11-30 08:30:00,1140.0,Clear,,,,
53,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA) PUNJAB,CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.76562,75.743852,2021-11-01 08:30:00,,,,,,
54,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA) PUNJAB,CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.76562,75.743852,2021-08-02 08:30:00,,,,,,
55,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA) PUNJAB,CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.76562,75.743852,2021-08-03 08:30:00,,,,,,
56,GHAGGAR AT CHANDRAPUR SIPHON (HARYANA),CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.766164,75.743274,2021-01-03 08:30:00,,,,,,
57,GHAGGAR AT KALA AMB D/S MARKANDA,CPCB,6,Haryana,66,KAITHAL,GULHA,-,-,-,-,-,-,-,-,29.892141,76.235744,2021-07-01 08:30:00,,,,,,
58,GHAGGAR AT PARWANOO D/SAMRAVATI HARYANA,CPCB,6,Haryana,70,PANCHKULA,KALKA,-,-,-,-,-,-,-,-,30.740724,76.91012,2021-02-16 08:30:00,,,,,,
59,GHAGGAR AT RATANHERI D/S OF PATIALA NADI (AFTER CONFL.) PUNJAB,CPCB,6,Haryana,66,KAITHAL,GULHA,-,-,-,-,-,-,-,-,30.079758,76.263251,2021-11-01 08:30:00,,,,,,
60,GHAGGAR AT RATANHERI D/S OF PATIALA NADI (AFTER CONFL.) PUNJAB,CPCB,6,Haryana,66,KAITHAL,GULHA,-,-,-,-,-,-,-,-,30.079758,76.263251,2021-08-02 08:30:00,,,,,,
61,GHAGGAR AT RATANHERI D/S OF PATIALA NADI (AFTER CONFL.) PUNJAB,CPCB,6,Haryana,66,KAITHAL,GULHA,-,-,-,-,-,-,-,-,30.079758,76.263251,2021-08-03 08:30:00,,,,,,
62,GHAGGAR AT SIRSA DABWALI ROAD (HARYANA),CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.596324,75.01743,2021-01-03 08:30:00,,,,,,
63,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER),CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.546972,74.943111,2021-01-19 08:30:00,,,,,,
64,GHAGGAR GH-1 AT ROAD BRDG. SIRSA DEBWALI ROAD,CPCB,6,Haryana,74,SIRSA,SIRSA,-,-,-,-,-,-,-,-,29.598033,75.020611,2021-01-19 08:30:00,,,,,,
65,GHAGGAR GH-2 AT CHANDARPUR SYPHEN,CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.766164,75.743274,2021-05-01 08:30:00,,,,,,
66,GHAGGAR GH-2 AT CHANDARPUR SYPHEN,CPCB,6,Haryana,61,FATEHABAD,TOHANA,-,-,-,-,-,-,-,-,29.766164,75.743274,2021-03-14 08:30:00,,,,,,
67,GIDC HALOL PANCHMAHAL,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.541932,73.459228,2021-05-04 08:30:00,3100.0,Clear,,1.1,,
68,GIDC HALOL PANCHMAHAL,CPCB,6,Haryana,70,PANCHKULA,PANCHKULA,-,-,-,-,-,-,-,-,22.541932,73.459228,2021-01-10 08:30:00,2399.0,Clear,,1.9,,
