SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,19-06-2021 08:30,338.0,,,,,
2,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,10-07-2021 08:30,225.0,,,,,
3,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,12-08-2021 08:30,309.0,,,,,
4,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,10-09-2021 08:30,348.0,,,,,
5,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,28-10-2021 08:30,362.0,,,,,
6,ANCHAR AT CENTRAL SITE,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.148469,74.788259,10-11-2021 08:30,479.0,,,,,
7,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,19-06-2021 08:30,530.0,,,,,
8,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,10-07-2021 08:30,300.0,,,,,
9,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,12-08-2021 08:30,307.0,,,,,
10,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,10-09-2021 08:30,500.0,,,,,
11,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,28-10-2021 08:30,533.0,,,,,
12,ANCHAR AT JENAB SAHAB SOURA,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.143255,74.791976,10-11-2021 08:30,725.0,,,,,
13,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,19-06-2021 08:30,448.0,,,,,
14,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,10-07-2021 08:30,274.0,,,,,
15,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,12-08-2021 08:30,281.0,,,,,
16,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,10-09-2021 08:30,419.0,,,,,
17,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,28-10-2021 08:30,435.0,,,,,
18,ANCHAR AT SANGAM,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.128455,74.780865,10-11-2021 08:30,552.0,,,,,
19,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,19-06-2021 08:30,318.0,,,,,
20,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,10-07-2021 08:30,217.0,,,,,
21,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,10-08-2021 08:30,2889.0,,,,,
22,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,10-09-2021 08:30,380.0,,,,,
23,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,28-10-2021 08:30,356.0,,,,,
24,ANCHAR AT SINDH INFLOW,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.144838,74.779268,10-11-2021 08:30,476.0,,,,,
25,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,19-06-2021 08:30,506.0,,,,,
26,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,10-07-2021 08:30,358.0,,,,,
27,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,12-08-2021 08:30,274.0,,,,,
28,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,10-09-2021 08:30,468.0,,,,,
29,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,28-10-2021 08:30,485.0,,,,,
30,ANCHAR NEAR LKIMS,CPCB,1,Jammu & Kashmir,13,SRINAGAR,SRINAGAR,-,-,-,-,-,-,-,-,34.135421,74.796885,10-11-2021 08:30,676.0,,,,,
31,ANS RIVER AT KANDI,CPCB,1,Jammu & Kashmir,12,RAJAURI,BUDHAL,-,-,-,-,-,-,-,-,33.360103,74.536523,06-02-2021 08:30,,,,,,
32,BABA TALAB (ANCIENT POND) AT MISHRIWALA (WETLAND),CPCB,1,Jammu & Kashmir,5,JAMMU,JAMMU,-,-,-,-,-,-,-,-,32.744037,74.804602,08-10-2021 08:30,340.0,Light Green,,16.0,,
