SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-11-01 08:30:00,906.0,,,,,
2,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-02-18 08:30:00,1399.0,,,,,
3,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-08-03 08:30:00,688.0,,,,,
4,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-05-04 08:30:00,1328.0,,,,,
5,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-05-27 08:30:00,1045.0,,,,,
6,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-06-22 08:30:00,1230.0,,,,,
7,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-07-26 08:30:00,1256.0,,,,,
8,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-09-08 08:30:00,1297.0,,,,,
9,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-07-09 08:30:00,447.0,,,,,
10,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-10-26 08:30:00,301.0,,,,,
11,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-11-18 08:30:00,535.0,,,,,
12,ABBIGERE LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.079588,77.528603,2021-07-12 08:30:00,226.0,,,,,
13,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-01-27 08:30:00,735.0,,,,,
14,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-02-17 08:30:00,781.0,,,,,
15,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-03-03 08:30:00,1046.0,,,,,
16,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-05-04 08:30:00,1252.0,,,,,
17,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-05-19 08:30:00,1268.0,,,,,
18,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-03-06 08:30:00,1175.0,,,,,
19,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-12-07 08:30:00,1012.0,,,,,
20,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-05-08 08:30:00,777.0,,,,,
21,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-01-09 08:30:00,1238.0,,,,,
22,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-11-10 08:30:00,641.0,,,,,
23,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-08-11 08:30:00,888.0,,,,,
24,AGARAM LAKE,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,12.958847,77.621171,2021-06-12 08:30:00,324.0,,,,,
25,AGHANASHINI RIVER MARIGADDE (SIRSI),CPCB,29,Karnataka,542,Kolar,KOLAR,-,-,-,-,-,-,-,-,14.520647,74.369385,2021-01-28 08:30:00,,,,,,
26,AGHANASHINI RIVER MARIGADDE (SIRSI),CPCB,29,Karnataka,542,Kolar,KOLAR,-,-,-,-,-,-,-,-,14.520647,74.369385,2021-09-02 08:30:00,,,,,,
27,AGHANASHINI RIVER MARIGADDE (SIRSI),CPCB,29,Karnataka,542,Kolar,KOLAR,-,-,-,-,-,-,-,-,14.520647,74.369385,2021-09-03 08:30:00,,,,,,
28,AGHANASHINI RIVER NR BRIDGE KUMATA,CPCB,29,Karnataka,550,Uttara Kannada,KUMTA,-,-,-,-,-,-,-,-,14.523667,74.3675,2021-01-27 08:30:00,,,,,,
29,AGHANASHINI RIVER NR BRIDGE KUMATA,CPCB,29,Karnataka,550,Uttara Kannada,KUMTA,-,-,-,-,-,-,-,-,14.523667,74.3675,2021-08-02 08:30:00,,,,,,
30,AGHANASHINI RIVER NR BRIDGE KUMATA,CPCB,29,Karnataka,550,Uttara Kannada,KUMTA,-,-,-,-,-,-,-,-,14.523667,74.3675,2021-10-03 08:30:00,,,,,,
31,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-01-15 08:30:00,1210.0,,,,,
32,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-02-20 08:30:00,1940.0,,,,,
33,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-03-18 08:30:00,1980.0,,,,,
34,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-06-15 08:30:00,1220.0,,,,,
35,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-07-28 08:30:00,690.0,,,,,
36,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-08-19 08:30:00,654.0,,,,,
37,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-09-20 08:30:00,1270.0,,,,,
38,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-10-30 08:30:00,840.0,,,,,
39,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-11-17 08:30:00,1020.0,,,,,
40,AIANAKERE TANK,CPCB,29,Karnataka,535,Davanagere,DAVANAGERE,-,-,-,-,-,-,-,-,14.794456,75.972682,2021-12-30 08:30:00,1110.0,,,,,
41,AKRAVATHI RIVER BEFORE CONFLUENCE AT SANGAM,CPCB,29,Karnataka,526,Bangalore Rural,RAMANAGARAM,-,-,-,-,-,-,-,-,12.668617,77.333821,2021-06-01 08:30:00,,,,,,
42,AKRAVATHI RIVER BEFORE CONFLUENCE AT SANGAM,CPCB,29,Karnataka,526,Bangalore Rural,RAMANAGARAM,-,-,-,-,-,-,-,-,12.668617,77.333821,2021-09-02 08:30:00,,,,,,
43,AKRAVATHI RIVER BEFORE CONFLUENCE AT SANGAM,CPCB,29,Karnataka,526,Bangalore Rural,RAMANAGARAM,-,-,-,-,-,-,-,-,12.668617,77.333821,2021-02-03 08:30:00,,,,,,
44,ALLASANDRA TANK,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.090595,77.585206,2021-06-01 08:30:00,448.0,,,,,
45,ALLASANDRA TANK,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.090595,77.585206,2021-09-02 08:30:00,509.0,,,,,
46,ALLASANDRA TANK,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.090595,77.585206,2021-04-03 08:30:00,530.0,,,,,
47,ALLASANDRA TANK,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.090595,77.585206,2021-06-04 08:30:00,571.0,,,,,
48,ALLASANDRA TANK,CPCB,29,Karnataka,525,Bangalore Urban,BANGALORE NORTH,-,-,-,-,-,-,-,-,13.090595,77.585206,2021-05-17 08:30:00,1223.0,,,,,
