SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154,90.4027,2021-01-14 08:30:00,,,,,,
2,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154,90.4027,2021-02-25 08:30:00,,,,,,
3,BOLDAMGRE,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.65154,90.4027,2021-03-31 08:30:00,,,,,,
4,BOREWELL AT GOOD SHAPHARD PARISH IN LADRYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.373525,92.322493,2021-04-22 08:30:00,186.0,Clear,,1.5,,
5,BOREWELL AT GOOD SHAPHARD PARISH IN LADRYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.373525,92.322493,2021-10-28 08:30:00,202.0,Clear,,1.2,,
6,BOREWELL AT KHLIEHWAH SHASEM - A IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.357063,92.363498,2021-04-22 08:30:00,157.0,Clear,,2.5,,
7,BOREWELL AT KHLIEHWAH SHASEM - A IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.357063,92.363498,2021-10-28 08:30:00,105.0,Clear,,1.8,,
8,BOREWELL AT KHLIEHWAH SHASEM - B IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.357218,92.362297,2021-04-22 08:30:00,90.0,Clear,,9.5,,
9,BOREWELL AT KHLIEHWAH SHASEM - B IN KHLIEHRIAT,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.357218,92.362297,2021-10-28 08:30:00,85.0,Clear,,,,
10,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.208465,90.23069,2021-01-13 08:30:00,,,,,,
11,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.208465,90.23069,2021-02-19 08:30:00,,,,,,
12,BUGI RIVER AT DALU,CPCB,17,Meghalaya,278,west Garo Hills,DALU,-,-,-,-,-,-,-,-,25.208465,90.23069,2021-03-24 08:30:00,,,,,,
13,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.336148,90.339247,2021-01-13 08:30:00,,,,,,
14,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.336148,90.339247,2021-02-19 08:30:00,,,,,,
15,BUGI RIVER AT MIBANPARA,CPCB,17,Meghalaya,277,South Garo Hills,CHOKPOT,-,-,-,-,-,-,-,-,25.336148,90.339247,2021-03-24 08:30:00,,,,,,
16,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.904203,90.606251,2021-01-13 08:30:00,,,,,,
17,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.904203,90.606251,2021-02-19 08:30:00,,,,,,
18,DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA,CPCB,17,Meghalaya,273,East Garo Hills,RESUBELPARA,-,-,-,-,-,-,-,-,25.904203,90.606251,2021-03-24 08:30:00,,,,,,
19,DEEP TUBE WELL AT DONGKAMON NONGMENSONG SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.587183,91.908779,2021-05-04 08:30:00,97.0,Clear,,1.5,,
20,DEEP TUBE WELL AT DONGKAMON NONGMENSONG SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.587183,91.908779,2021-04-10 08:30:00,87.0,Clear,,,,
21,DEEP TUBE WELL AT LABAN LAST STOP SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.552846,91.860326,2021-05-04 08:30:00,63.0,Clear,,,,
22,DEEP TUBE WELL AT LABAN LAST STOP SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.552846,91.860326,2021-04-10 08:30:00,59.0,Clear,,,,
23,DUG WELL AT FOREST COLONY POLO SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.585759,91.889274,2021-05-04 08:30:00,155.0,Clear,,1.2,,
24,DUG WELL AT FOREST COLONY POLO SHILLONG,CPCB,17,Meghalaya,274,East Khasi Hills,MYLLIEM,-,-,-,-,-,-,-,-,25.585759,91.889274,2021-04-10 08:30:00,138.0,Clear,,,,
25,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.548467,90.171447,2021-01-13 08:30:00,,,,,,
26,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.548467,90.171447,2021-02-19 08:30:00,,,,,,
27,GANOL RIVER TURA,CPCB,17,Meghalaya,278,west Garo Hills,RONGRAM,-,-,-,-,-,-,-,-,25.548467,90.171447,2021-03-22 08:30:00,,,,,,
28,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.585793,90.022676,2021-01-14 08:30:00,,,,,,
29,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.585793,90.022676,2021-02-25 08:30:00,,,,,,
30,GAROBADHA,CPCB,17,Meghalaya,278,west Garo Hills,SELSELLA,-,-,-,-,-,-,-,-,25.585793,90.022676,2021-03-31 08:30:00,,,,,,
31,JAKREM HOT SPRING AT JAKREM,CPCB,17,Meghalaya,279,West Khasi Hills,MAWKYRWAT,-,-,-,-,-,-,-,-,25.407691,91.540701,2021-04-22 08:30:00,322.0,Clear,,2.2,,
32,JAKREM HOT SPRING AT JAKREM,CPCB,17,Meghalaya,279,West Khasi Hills,MAWKYRWAT,-,-,-,-,-,-,-,-,25.407691,91.540701,2021-10-28 08:30:00,305.0,Clear,,1.7,,
33,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.3252,92.31673,2021-12-01 08:30:00,,,,,,
34,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.3252,92.31673,2021-11-02 08:30:00,,,,,,
35,KALIPAI RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.3252,92.31673,2021-03-16 08:30:00,,,,,,
36,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435,92.31437,2021-12-01 08:30:00,,,,,,
37,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435,92.31437,2021-11-02 08:30:00,,,,,,
38,KMEUM RIVER AT RYMBAI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.33435,92.31437,2021-03-16 08:30:00,,,,,,
39,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665,92.62767,2021-12-01 08:30:00,,,,,,
40,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665,92.62767,2021-11-02 08:30:00,,,,,,
41,KUPLI RIVER AT KHANDONG,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.52665,92.62767,2021-03-16 08:30:00,,,,,,
42,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332,92.59048,2021-12-01 08:30:00,,,,,,
43,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332,92.59048,2021-11-02 08:30:00,,,,,,
44,KUPLI RIVER AT LOOSKI,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.50332,92.59048,2021-03-16 08:30:00,,,,,,
45,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251,92.45122,2021-12-01 08:30:00,,,,,,
46,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251,92.45122,2021-11-02 08:30:00,,,,,,
47,KWAI RIVER AT SUTNGA MAWPUN,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.38251,92.45122,2021-03-16 08:30:00,,,,,,
48,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.474742,91.263805,2021-07-01 08:30:00,,,,,,
49,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.474742,91.263805,2021-05-02 08:30:00,,,,,,
50,KYNSHI RIVER AT NANGKHNUM,CPCB,17,Meghalaya,279,West Khasi Hills,NONGSTOIN,-,-,-,-,-,-,-,-,25.474742,91.263805,2021-09-03 08:30:00,,,,,,
51,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.223748,91.240649,2021-07-01 08:30:00,,,,,,
52,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.223748,91.240649,2021-05-02 08:30:00,,,,,,
53,KYNSHI RIVER AT RANIKOR,CPCB,17,Meghalaya,279,West Khasi Hills,MAWSHYNRUT,-,-,-,-,-,-,-,-,25.223748,91.240649,2021-09-03 08:30:00,,,,,,
54,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.499935,91.708243,2021-07-01 08:30:00,,,,,,
55,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.499935,91.708243,2021-05-02 08:30:00,,,,,,
56,KYNSHI RIVER AT SOHIONG,CPCB,17,Meghalaya,274,East Khasi Hills,MAWPHLANG,-,-,-,-,-,-,-,-,25.499935,91.708243,2021-09-03 08:30:00,,,,,,
57,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.367394,92.450206,2021-11-01 08:30:00,,,,,,
58,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.367394,92.450206,2021-10-02 08:30:00,,,,,,
59,KYRHUKHLA NEAR SUTNGA KHLIERIAT JAINTIA HILLS,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.367394,92.450206,2021-11-03 08:30:00,,,,,,
60,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.324016,91.731814,2021-08-01 08:30:00,,,,,,
61,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.324016,91.731814,2021-09-02 08:30:00,,,,,,
62,LAITRYNGEW STREAM AT LAITRYNGEW,CPCB,17,Meghalaya,274,East Khasi Hills,SHELLA BHOLAGANJ,-,-,-,-,-,-,-,-,25.324016,91.731814,2021-10-03 08:30:00,,,,,,
63,LAMU RIVER AT LESHKA,CPCB,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,-,-,-,-,-,-,25.268424,92.198469,2021-01-13 08:30:00,,,,,,
