SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BARAK RIVER AT SENAPATI,CPCB,14,Manipur,257,SENAPATI,MAO-MARAM,-,-,-,-,-,-,-,-,25.311503,94.053232,23-02-2021 08:30,,,,,,
2,BARAK RIVER NEAR NONEY VILLAGE (N.H. 53) TAMENGLONG,CPCB,14,Manipur,258,TAMENGLONG,NUNGBA,-,-,-,-,-,-,-,-,24.854706,93.616713,22-02-2021 08:30,,,,,,
3,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,18-02-2021 08:30,390.0,,,,,
4,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,19-03-2021 08:30,410.0,,,,,
5,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,20-04-2021 08:30,395.0,,,,,
6,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,20-05-2021 08:30,430.0,,,,,
7,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,21-06-2021 08:30,350.0,,,,,
8,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,22-07-2021 08:30,150.0,,,,,
9,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,20-08-2021 08:30,160.0,,,,,
10,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,15-09-2021 08:30,110.0,,,,,
11,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,21-10-2021 08:30,120.0,,,,,
12,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,20-11-2021 08:30,250.0,,,,,
13,CHANAM PUKHURI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.774263,93.93373,21-12-2021 08:30,280.0,,,,,
14,ETHAI BARRAGE ON MANIPUR RIVER,CPCB,14,Manipur,252,BISHNUPUR,MOIRANG,-,-,-,-,-,-,-,-,24.42296,93.840024,25-02-2021 08:30,,,,,,
15,HAND PUMP AT SAITON,CPCB,14,Manipur,252,BISHNUPUR,MOIRANG,-,-,-,-,-,-,-,-,24.418537,93.753743,29-04-2021 08:30,121.0,Clear,,,,
16,HAND PUMP AT TAKHEL,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.821055,94.047051,20-04-2021 08:30,609.0,Clear,,,,
17,HEIROK,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.584647,94.077458,27-04-2021 08:30,742.0,Clear,,,,
18,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,24-02-2021 08:30,450.0,,,,,
19,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,26-05-2021 08:30,220.0,,,,,
20,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,26-06-2021 08:30,180.0,,,,,
21,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,28-07-2021 08:30,80.0,,,,,
22,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,26-08-2021 08:30,120.0,,,,,
23,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,22-09-2021 08:30,130.0,,,,,
24,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,27-10-2021 08:30,120.0,,,,,
25,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,26-11-2021 08:30,240.0,,,,,
26,HIRANMEI PUKHURI AT THOUBAL,CPCB,14,Manipur,259,THOUBAL,THOUBAL,-,-,-,-,-,-,-,-,24.645076,93.999604,28-12-2021 08:30,230.0,,,,,
27,IMPHAL AT KIYAMGI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.741681,93.944172,19-02-2021 08:30,,,,,,
28,IMPHAL AT KIYAMGI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.741681,93.944172,20-03-2021 08:30,,,,,,
29,IMPHAL AT KOIRENGEI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.879447,93.928932,19-02-2021 08:30,,,,,,
30,IMPHAL AT KOIRENGEI,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.879447,93.928932,20-03-2021 08:30,,,,,,
31,IMPHAL AT MAHABALI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.796093,93.943112,19-02-2021 08:30,,,,,,
32,IMPHAL AT MAHABALI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.796093,93.943112,20-03-2021 08:30,,,,,,
33,IMPHAL AT MINUTHONG,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.814134,93.94873,19-02-2021 08:30,,,,,,
34,IMPHAL AT MINUTHONG,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.814134,93.94873,20-03-2021 08:30,,,,,,
35,IMPHAL RIVER AT SAMUROU,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.690271,93.903442,02-02-2021 08:30,,,,,,
36,IMPHAL RIVER AT SAMUROU,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.690271,93.903442,19-03-2021 08:30,,,,,,
37,IMPHAL RIVER AT SEKMAI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.946163,93.879169,19-02-2021 08:30,,,,,,
38,IMPHAL RIVER AT SEKMAI,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.946163,93.879169,20-03-2021 08:30,,,,,,
39,IRIL AT LILONG,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.71985,93.933846,18-02-2021 08:30,,,,,,
40,IRIL AT LILONG,CPCB,14,Manipur,256,IMPHAL WEST,IMPHAL WEST,-,-,-,-,-,-,-,-,24.71985,93.933846,19-03-2021 08:30,,,,,,
41,IRIL AT PORAMPET,CPCB,14,Manipur,255,IMPHAL EAST,IMPHAL EAST,-,-,-,-,-,-,-,-,24.774294,93.976934,19-02-2021 08:30,,,,,,
