SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AJAB BOURALI DAM PETLAVAD JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,PETLAWAD,-,-,-,-,-,-,-,-,23.012867,74.795587,2021-01-01 08:30:00,,,,,,
2,AJAB BOURALI DAM PETLAVAD JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,PETLAWAD,-,-,-,-,-,-,-,-,23.012867,74.795587,2021-02-26 08:30:00,,,,,,
3,AJAB BOURALI DAM PETLAVAD JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,PETLAWAD,-,-,-,-,-,-,-,-,23.012867,74.795587,2021-03-15 08:30:00,,,,,,
4,ANAS RIVER NEAR ROAD BRIDGE JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,-,-,-,-,-,-,22.769157,74.605708,2021-01-30 08:30:00,,,,,,
5,ANAS RIVER NEAR ROAD BRIDGE JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,-,-,-,-,-,-,22.769157,74.605708,2021-02-26 08:30:00,,,,,,
6,ANAS RIVER NEAR ROAD BRIDGE JHABUA,CPCB,23,Madhya Pradesh,412,JHABUA,JHABUA,-,-,-,-,-,-,-,-,22.769157,74.605708,2021-03-15 08:30:00,,,,,,
7,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-01-21 08:30:00,327.0,,,,,
8,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-02-23 08:30:00,378.0,,,,,
9,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-10-03 08:30:00,340.0,,,,,
10,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-04-30 08:30:00,392.0,,,,,
11,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-05-20 08:30:00,408.0,,,,,
12,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-04-06 08:30:00,407.0,,,,,
13,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-07-22 08:30:00,424.0,,,,,
14,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-05-08 08:30:00,400.0,,,,,
15,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-09-09 08:30:00,364.0,,,,,
16,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-10-15 08:30:00,400.0,,,,,
17,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-11-11 08:30:00,408.0,,,,,
18,BAGDOON TALAB PITHAMPUR SANJAY JALASHAY PITHAMPUR,CPCB,23,Madhya Pradesh,403,DHAR,DHAR,-,-,-,-,-,-,-,-,22.640377,75.586749,2021-12-31 08:30:00,403.0,,,,,
19,BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT JABALPUR,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.049425,80.716076,2021-06-01 08:30:00,,,,,,
20,BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT JABALPUR,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.049425,80.716076,2021-04-02 08:30:00,,,,,,
21,BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT JABALPUR,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.049425,80.716076,2021-05-03 08:30:00,,,,,,
22,BANJAR RIVER NEAR ROAD BRIDGE VILL. KHARRADHAR MALANJKHAND.,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.021068,80.712809,2021-05-01 08:30:00,,,,,,
23,BANJAR RIVER NEAR ROAD BRIDGE VILL. KHARRADHAR MALANJKHAND.,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.021068,80.712809,2021-04-02 08:30:00,,,,,,
24,BANJAR RIVER NEAR ROAD BRIDGE VILL. KHARRADHAR MALANJKHAND.,CPCB,23,Madhya Pradesh,392,BALAGHAT,BAIHAR,-,-,-,-,-,-,-,-,22.021068,80.712809,2021-05-03 08:30:00,,,,,,
25,BANSAGAR CANAL WATER SAMPLE AT BAGHWAR VILLAGE NEAR TOL PLAZA DIST SIDHI,CPCB,23,Madhya Pradesh,433,SIDHI,RAMPUR NAIKIN,-,-,-,-,-,-,-,-,24.373062,81.601823,2021-01-01 08:30:00,,,,,,
26,BARMANGHAT 100 MDS OF MAINGHAT,CPCB,23,Madhya Pradesh,418,NARSIMHAPUR,Gadarwara,-,-,-,-,-,-,-,-,23.029888,79.019363,2021-01-14 08:30:00,,,,,,
