SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BETHEL VENG HAND PUMP CHAMPHAI,CPCB,15,Mizoram,262,CHAMPHAI,Khawzawl,-,-,-,-,-,-,-,-,23.482083,93.329833,2021-12-04 08:30:00,316.0,Clear,,2.4,,
2,BETHEL VENG HAND PUMP CHAMPHAI,CPCB,15,Mizoram,262,CHAMPHAI,Khawzawl,-,-,-,-,-,-,-,-,23.482083,93.329833,2021-10-30 08:30:00,557.0,Clear,,3.6,,
3,CHALLUI LENGPUI,CPCB,15,Mizoram,266,MAMIT,REIEK,-,-,-,-,-,-,-,-,23.827071,92.643257,2021-01-18 08:30:00,,,,,,
4,CHALLUI LENGPUI,CPCB,15,Mizoram,266,MAMIT,REIEK,-,-,-,-,-,-,-,-,23.827071,92.643257,2021-02-15 08:30:00,,,,,,
5,CHALLUI LENGPUI,CPCB,15,Mizoram,266,MAMIT,REIEK,-,-,-,-,-,-,-,-,23.827071,92.643257,2021-08-03 08:30:00,,,,,,
6,CHALTLANG HAND PUMP NEAR REMI TYRE WORKS,CPCB,15,Mizoram,261,AIZAWL,TLANGNUAM,-,-,-,-,-,-,-,-,23.752122,92.723645,2021-04-26 08:30:00,438.0,Other,,14.0,,
7,CHALTLANG HAND PUMP NEAR REMI TYRE WORKS,CPCB,15,Mizoram,261,AIZAWL,TLANGNUAM,-,-,-,-,-,-,-,-,23.752122,92.723645,2021-07-10 08:30:00,426.0,Other,,19.0,,
8,CHANMARI HAND PUMP LAWNGTLAI,CPCB,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,-,-,-,-,-,-,22.528111,92.893556,2021-04-19 08:30:00,141.0,Brown,,6.0,,
9,CHANMARI HAND PUMP LAWNGTLAI,CPCB,15,Mizoram,264,LAWNGTLAI,LAWNGTLAI,-,-,-,-,-,-,-,-,22.528111,92.893556,2021-10-27 08:30:00,194.0,Clear,,2.9,,
10,CHHIMTUIPUI RIVER KAWLCHAW,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.399498,92.960268,2021-11-01 08:30:00,,,,,,
11,CHHIMTUIPUI RIVER KAWLCHAW,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.399498,92.960268,2021-02-25 08:30:00,,,,,,
12,CHHIMTUIPUI RIVER KAWLCHAW,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.399498,92.960268,2021-08-03 08:30:00,,,,,,
13,CHHOCHHOPA TUIKHUR SAIHA,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.489389,92.979278,2021-11-01 08:30:00,203.0,Clear,,0.7,,
14,CHHOCHHOPA TUIKHUR SAIHA,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.489389,92.979278,2021-04-17 08:30:00,249.0,Clear,,4.0,,
15,CHHOCHHOPA TUIKHUR SAIHA,CPCB,15,Mizoram,267,SAIHA,SANGAU,-,-,-,-,-,-,-,-,22.489389,92.979278,2021-10-22 08:30:00,207.0,Clear,,2.8,,
16,CHITHE STREAM ARMED VENG NR MINI SPORTS COMPLEX,CPCB,15,Mizoram,263,KOLASIB,NORTH THINGDAWL,-,-,-,-,-,-,-,-,24.437574,92.770386,2021-01-25 08:30:00,,,,,,
17,CHITHE STREAM ARMED VENG NR MINI SPORTS COMPLEX,CPCB,15,Mizoram,263,KOLASIB,NORTH THINGDAWL,-,-,-,-,-,-,-,-,24.437574,92.770386,2021-01-02 08:30:00,,,,,,
18,CHITHE STREAM ARMED VENG NR MINI SPORTS COMPLEX,CPCB,15,Mizoram,263,KOLASIB,NORTH THINGDAWL,-,-,-,-,-,-,-,-,24.437574,92.770386,2021-01-03 08:30:00,,,,,,
19,CHITHE STREAM NR SIPMUI'S STP BETHELEM VENGTHLANG,CPCB,15,Mizoram,261,AIZAWL,TLANGNUAM,-,-,-,-,-,-,-,-,23.728736,92.726004,2021-01-25 08:30:00,,,,,,
20,CHITHE STREAM NR SIPMUI'S STP BETHELEM VENGTHLANG,CPCB,15,Mizoram,261,AIZAWL,TLANGNUAM,-,-,-,-,-,-,-,-,23.728736,92.726004,2021-01-02 08:30:00,,,,,,
