SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,13-01-2021 08:30,175.0,,,,,
2,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,13-02-2021 08:30,88.0,,,,,
3,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,13-03-2021 08:30,178.0,,,,,
4,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,09-04-2021 08:30,550.0,,,,,
5,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,25-05-2021 08:30,94.0,,,,,
6,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,07-06-2021 08:30,150.0,,,,,
7,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,20-07-2021 08:30,147.0,,,,,
8,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,05-08-2021 08:30,190.0,,,,,
9,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,02-09-2021 08:30,202.0,,,,,
10,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,12-10-2021 08:30,175.0,,,,,
11,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,01-11-2021 08:30,188.0,,,,,
12,BANGLA FISHERY DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,CHUMUKEDIMA,-,-,-,-,-,-,-,-,25.915052,93.750751,07-12-2021 08:30,208.0,,,,,
13,BOREWELL AT DHANSIRIPAR DHANSIRIPAR DIVISION DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,DHANSIRIPAR,-,-,-,-,-,-,-,-,25.781966,93.626144,10-04-2021 08:30,252.0,Clear,,3.0,,
14,BOREWELL AT DHANSIRIPAR DHANSIRIPAR DIVISION DIMAPUR,CPCB,13,Nagaland,244,DIMAPUR,DHANSIRIPAR,-,-,-,-,-,-,-,-,25.781966,93.626144,11-10-2021 08:30,239.0,Clear,,7.06,,
15,BOREWELL AT KAMDI BAZAR PEREN,CPCB,13,Nagaland,613,Peren,PEREN,-,-,-,-,-,-,-,-,25.512478,93.739067,10-04-2021 08:30,237.0,Clear,,145.0,,
16,BOREWELL AT KAMDI BAZAR PEREN,CPCB,13,Nagaland,613,Peren,PEREN,-,-,-,-,-,-,-,-,25.512478,93.739067,11-10-2021 08:30,243.0,Clear,,17.18,,
