SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ANGUL TOWNSHIP,CPCB,21,Odisha,344,ANUGUL,ANUGUL,-,-,-,-,-,-,-,-,20.838611,85.098333,2021-12-04 08:30:00,1178.0,Clear,,3.0,,
2,ANGUL TOWNSHIP,CPCB,21,Odisha,344,ANUGUL,ANUGUL,-,-,-,-,-,-,-,-,20.838611,85.098333,2021-05-10 08:30:00,731.0,Clear,,,,
3,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-05-01 08:30:00,184.0,,,,,
4,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-02-02 08:30:00,130.0,,,,,
5,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-02-03 08:30:00,180.0,,,,,
6,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-12-04 08:30:00,157.0,,,,,
7,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-05-17 08:30:00,179.0,,,,,
8,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-06-17 08:30:00,163.0,,,,,
9,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-07-07 08:30:00,165.0,,,,,
10,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-04-08 08:30:00,136.0,,,,,
11,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-01-09 08:30:00,159.0,,,,,
12,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-04-10 08:30:00,111.0,,,,,
13,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-01-11 08:30:00,113.0,,,,,
14,ANSHUPA AT BISHNUPUR,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.457192,85.607235,2021-01-12 08:30:00,126.0,,,,,
15,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-05-01 08:30:00,159.0,,,,,
16,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-02-02 08:30:00,141.0,,,,,
17,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-02-03 08:30:00,186.0,,,,,
18,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-12-04 08:30:00,198.0,,,,,
19,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-05-17 08:30:00,223.0,,,,,
20,ANSHUPA AT SARANDAGARH,CPCB,21,Odisha,350,CUTTACK,BANKI,-,-,-,-,-,-,-,-,20.459844,85.603929,2021-06-17 08:30:00,187.0,,,,,
