SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.374996,75.162691,12-01-2021 08:30,,,,,,
2,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.374996,75.162691,08-02-2021 08:30,,,,,,
3,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.374996,75.162691,08-03-2021 08:30,,,,,,
4,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN  PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.923867,75.541467,08-01-2021 08:30,,,,,,
5,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN  PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.923867,75.541467,16-02-2021 08:30,,,,,,
6,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN  PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.923867,75.541467,04-03-2021 08:30,,,,,,
7,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.51012,75.304936,08-01-2021 08:30,,,,,,
8,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.51012,75.304936,16-02-2021 08:30,,,,,,
9,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.51012,75.304936,08-03-2021 08:30,,,,,,
10,BEAS AT HARIKE PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.508844,75.307539,12-01-2021 08:30,,,,,,
11,BEAS AT HARIKE PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.508844,75.307539,08-02-2021 08:30,,,,,,
12,BEAS AT HARIKE PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,KAPURTHALA,-,-,-,-,-,-,-,-,31.508844,75.307539,08-03-2021 08:30,,,,,,
13,BEAS AT MIRTHAL BRIDGE GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.097933,75.611474,14-01-2021 08:30,,,,,,
14,BEAS AT MIRTHAL BRIDGE GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.097933,75.611474,04-02-2021 08:30,,,,,,
15,BEAS AT MIRTHAL BRIDGE GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.097933,75.611474,03-03-2021 08:30,,,,,,
16,BEAS D/S PATHANKOT PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.093633,75.609725,14-01-2021 08:30,,,,,,
17,BEAS D/S PATHANKOT PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.093633,75.609725,04-02-2021 08:30,,,,,,
18,BEAS D/S PATHANKOT PUNJAB,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,32.093633,75.609725,03-03-2021 08:30,,,,,,
19,BEAS RIVER NR VILL KIRI AFGHANA TEHSIL BATALA GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.910587,75.54461,08-01-2021 08:30,,,,,,
20,BEAS RIVER NR VILL KIRI AFGHANA TEHSIL BATALA GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.910587,75.54461,16-02-2021 08:30,,,,,,
21,BEAS RIVER NR VILL KIRI AFGHANA TEHSIL BATALA GURDASPUR,CPCB,3,Punjab,32,GURDASPUR,GURDASPUR,-,-,-,-,-,-,-,-,31.910587,75.54461,04-03-2021 08:30,,,,,,
22,BEAS U/S GOINDWAL PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.385361,75.176625,12-01-2021 08:30,,,,,,
23,BEAS U/S GOINDWAL PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.385361,75.176625,08-02-2021 08:30,,,,,,
24,BEAS U/S GOINDWAL PUNJAB,CPCB,3,Punjab,35,KAPURTHALA,SULTANPUR LODHI,-,-,-,-,-,-,-,-,31.385361,75.176625,08-03-2021 08:30,,,,,,
25,BRIDGE ON TUNG DHAB DRAIN FATENGARH CHURIAN ROAD AMRITSAR,CPCB,3,Punjab,34,JALANDHAR,JALANDHAR - I,-,-,-,-,-,-,-,-,31.35766,75.588563,21-01-2021 08:30,,,,,,
26,BRIDGE ON TUNG DHAB DRAIN FATENGARH CHURIAN ROAD AMRITSAR,CPCB,3,Punjab,34,JALANDHAR,JALANDHAR - I,-,-,-,-,-,-,-,-,31.35766,75.588563,02-02-2021 08:30,,,,,,
27,BRIDGE ON TUNG DHAB DRAIN FATENGARH CHURIAN ROAD AMRITSAR,CPCB,3,Punjab,34,JALANDHAR,JALANDHAR - I,-,-,-,-,-,-,-,-,31.35766,75.588563,22-03-2021 08:30,,,,,,
28,BUDHA NALLAH PUNJAB,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (EAST),-,-,-,-,-,-,-,-,30.922369,75.919469,08-01-2021 08:30,,,,,,
29,BUDHA NALLAH PUNJAB,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (EAST),-,-,-,-,-,-,-,-,30.922369,75.919469,11-02-2021 08:30,,,,,,
30,BUDHA NALLAH PUNJAB,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (EAST),-,-,-,-,-,-,-,-,30.922369,75.919469,15-03-2021 08:30,,,,,,
31,CONFLUENCE POINT OF SARSA NADI WITH WITH RIVER SATLUJ NR VILL ASPUR ROOPNAGAR,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,31.057309,76.540857,07-01-2021 08:30,,,,,,
32,CONFLUENCE POINT OF SARSA NADI WITH WITH RIVER SATLUJ NR VILL ASPUR ROOPNAGAR,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,31.057309,76.540857,08-02-2021 08:30,,,,,,
33,CONFLUENCE POINT OF SARSA NADI WITH WITH RIVER SATLUJ NR VILL ASPUR ROOPNAGAR,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,31.057309,76.540857,05-03-2021 08:30,,,,,,
34,CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR VILL MUBARKPUR,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.613715,76.836273,07-01-2021 08:30,,,,,,
35,CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR VILL MUBARKPUR,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.613715,76.836273,03-02-2021 08:30,,,,,,
36,CONFLUENCE POINT OF SUKHANA CHOE WITH RIVER GHAGGAR VILL MUBARKPUR,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.613715,76.836273,04-03-2021 08:30,,,,,,
37,DAIRY COMPLEX TAJPUR ROAD LUDHIANA OPP SATISH DAIRY MEAR AMRIT DHARAM KANTA,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (EAST),-,-,-,-,-,-,-,-,30.91735,75.88644,08-04-2021 08:30,1114.0,Other,,,,
38,DAIRY COMPLEX TAJPUR ROAD LUDHIANA OPP SATISH DAIRY MEAR AMRIT DHARAM KANTA,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (EAST),-,-,-,-,-,-,-,-,30.91735,75.88644,06-10-2021 08:30,1329.0,Other,,,,
39,DASHMESH NAGAR GALI NO 12 LUDHIANA,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (WEST),-,-,-,-,-,-,-,-,30.883711,75.856721,08-04-2021 08:30,783.0,Other,,,,
40,DASHMESH NAGAR GALI NO 12 LUDHIANA,CPCB,3,Punjab,36,LUDHIANA,LUDHIANA (WEST),-,-,-,-,-,-,-,-,30.883711,75.856721,06-10-2021 08:30,905.0,Other,,,,
41,DERA BASSI PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.588197,76.84608,08-04-2021 08:30,1221.0,Other,,,,
42,DERA BASSI PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.5872,76.8428,08-04-2021 08:30,2721.0,Other,,,,
43,DERA BASSI PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.5872,76.8428,15-10-2021 08:30,1560.0,Other,,,,
44,DERA BASSI PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.588197,76.84608,15-10-2021 08:30,1835.0,Other,,,,
45,DHANAULA DRAIN FALLING INTO LASSARA DRAIN NEAR VILL. DHUNAS PUNJAB,CPCB,3,Punjab,43,SANGRUR,SANGRUR,-,-,-,-,-,-,-,-,30.255835,75.627624,14-01-2021 08:30,,,,,,
46,DHANAULA DRAIN FALLING INTO LASSARA DRAIN NEAR VILL. DHUNAS PUNJAB,CPCB,3,Punjab,43,SANGRUR,SANGRUR,-,-,-,-,-,-,-,-,30.255835,75.627624,12-02-2021 08:30,,,,,,
47,D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI PATIALA,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,29.896603,76.169568,11-01-2021 08:30,,,,,,
48,D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI PATIALA,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,29.896603,76.169568,08-02-2021 08:30,,,,,,
49,D/S AFTER MIXING WITH SAGARPARA DRAIN AT VILL RASOULI PATIALA,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,29.896603,76.169568,08-03-2021 08:30,,,,,,
50,GHAGGAR AT D/S CHHATBIR PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.60228,76.802188,07-01-2021 08:30,,,,,,
51,GHAGGAR AT D/S CHHATBIR PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.60228,76.802188,03-02-2021 08:30,,,,,,
52,GHAGGAR AT D/S CHHATBIR PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.60228,76.802188,04-03-2021 08:30,,,,,,
53,GHAGGAR AT D/S JHARMAL NADI PUNJAB,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,30.65012,76.660536,07-01-2021 08:30,,,,,,
54,GHAGGAR AT D/S JHARMAL NADI PUNJAB,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,30.65012,76.660536,03-02-2021 08:30,,,,,,
55,GHAGGAR AT D/S JHARMAL NADI PUNJAB,CPCB,3,Punjab,608,MOHALI,,-,-,-,-,-,-,-,-,30.65012,76.660536,04-03-2021 08:30,,,,,,
56,GHAGGAR AT D/S SARDULGARH PUNJAB,CPCB,3,Punjab,37,MANSA,SARDULGARH,-,-,-,-,-,-,-,-,29.692715,75.210696,11-02-2021 08:30,,,,,,
57,GHAGGAR AT D/S SARDULGARH PUNJAB,CPCB,3,Punjab,37,MANSA,SARDULGARH,-,-,-,-,-,-,-,-,29.692715,75.210696,12-03-2021 08:30,,,,,,
58,GHAGGAR AT MOONAK PUNJAB,CPCB,3,Punjab,41,PATIALA,PATIALA,-,-,-,-,-,-,-,-,30.000058,76.187589,11-01-2021 08:30,,,,,,
