SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ARASALAR RIVER KARAIKAL REGION,CPCB,34,Puducherry,598,Karaikal,Karaikal,-,-,-,-,-,-,-,-,10.9098,79.818228,28-01-2021 08:30,,,,,,
2,ARASALAR RIVER KARAIKAL REGION,CPCB,34,Puducherry,598,Karaikal,Karaikal,-,-,-,-,-,-,-,-,10.9098,79.818228,25-02-2021 08:30,,,,,,
3,ARASALAR RIVER KARAIKAL REGION,CPCB,34,Puducherry,598,Karaikal,Karaikal,-,-,-,-,-,-,-,-,10.9098,79.818228,18-03-2021 08:30,,,,,,
4,CHUNNAMBAR RIVER,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.881819,79.806561,27-01-2021 08:30,,,,,,
5,KANAGAN LAKE,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.938568,79.797946,27-01-2021 08:30,1682.0,,,,,
6,KANAGAN LAKE,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.938568,79.797946,12-04-2021 08:30,927.0,,,,,
7,KANAGAN LAKE,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.938568,79.797946,02-12-2021 08:30,570.0,,,,,
8,OUSTERI LAKE,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.941356,79.7435,02-02-2021 08:30,283.0,,,,,
9,OUSTERI LAKE,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.941356,79.7435,12-04-2021 08:30,234.0,,,,,
10,OUSTERI LAKE,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.941356,79.7435,06-09-2021 08:30,262.0,,,,,
11,OUSTERI LAKE,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.941356,79.7435,02-12-2021 08:30,197.0,,,,,
12,PANITHITTU,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.829487,79.80307,27-01-2021 08:30,461.0,Clear,,,,
13,PANITHITTU,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.829487,79.80307,06-09-2021 08:30,711.0,Clear,,,,
14,WELL AT CHEVALIER SELLANE GOVERNMENT HIGH SECONDARY SCHOOL KALAPET,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,12.040936,79.867658,12-02-2021 08:30,1354.0,Clear,,,,
15,WELL AT CHEVALIER SELLANE GOVERNMENT HIGH SECONDARY SCHOOL KALAPET,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,12.040936,79.867658,13-09-2021 08:30,1055.0,Clear,,,,
16,WELL AT DHANDERAR KULAM SEDARAPET,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.990793,79.754432,02-02-2021 08:30,1294.0,Clear,,,,
17,WELL AT DHANDERAR KULAM SEDARAPET,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.990793,79.754432,13-09-2021 08:30,1564.0,Clear,,,,
18,WELL AT ECHANKADU KIRUMAMBAKKAM,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.821469,79.796228,27-01-2021 08:30,461.0,Clear,,2.0,,
19,WELL AT ECHANKADU KIRUMAMBAKKAM,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.821469,79.796228,06-09-2021 08:30,498.0,Clear,,,,
20,WELL AT KALAPET PONDI. UNIVERSITY ADMN. BLOCK,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,12.021863,79.857077,12-02-2021 08:30,354.0,Clear,,27.0,,
21,WELL AT KALAPET PONDI. UNIVERSITY ADMN. BLOCK,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,12.021863,79.857077,15-09-2021 08:30,770.0,Clear,,,,
22,WELL AT KURUMBAPET,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.93915,79.776433,27-01-2021 08:30,706.0,Clear,,,,
23,WELL AT KURUMBAPET,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.93915,79.776433,06-09-2021 08:30,649.0,Clear,,,,
24,WELL AT MARUTHI SCHOOL KARUVADIKUPPAM,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.968099,79.816952,02-02-2021 08:30,2500.0,Clear,,15.7,,
25,WELL AT MARUTHI SCHOOL KARUVADIKUPPAM,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.968099,79.816952,13-09-2021 08:30,2060.0,Clear,,,,
26,WELL AT METTUPALAYAM,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.943921,79.790978,09-02-2021 08:30,673.0,Clear,,7.0,,
27,WELL AT METTUPALAYAM,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.943921,79.790978,13-09-2021 08:30,837.0,Clear,,,,
28,WELL AT MUTHIALPET AREA(I) RAMAKRISHNA NAGAR/ KRISHNA NAGAR,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.913137,79.815859,02-02-2021 08:30,836.0,Clear,,,,
29,WELL AT MUTHIALPET AREA(I) RAMAKRISHNA NAGAR/ KRISHNA NAGAR,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.913137,79.815859,13-09-2021 08:30,1294.0,Clear,,,,
30,WELL AT MUTHIRAPPALAYAM (PWD),CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.94445,79.781892,27-01-2021 08:30,692.0,Clear,,,,
31,WELL AT MUTHIRAPPALAYAM (PWD),CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.94445,79.781892,13-09-2021 08:30,750.0,Clear,,,,
32,WELL AT NEHRU STATUE MISSION ST. - CHETTY KOIL,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.932642,79.83525,02-02-2021 08:30,1970.0,Clear,,,,
33,WELL AT NEHRU STATUE MISSION ST. - CHETTY KOIL,CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.932642,79.83525,13-09-2021 08:30,1686.0,Clear,,,,
34,WELL AT THENGAITHITTU AREA (II),CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.913858,79.815606,09-02-2021 08:30,1867.0,Clear,,2.0,,
35,WELL AT THENGAITHITTU AREA (II),CPCB,34,Puducherry,600,Puducherry,Puducherry,-,-,-,-,-,-,-,-,11.913858,79.815606,06-09-2021 08:30,1769.0,Clear,,5.0,,
36,WELL AT T.R.PATTINAM KARAIKAL,CPCB,34,Puducherry,598,Karaikal,Karaikal,-,-,-,-,-,-,-,-,10.867778,79.828333,28-01-2021 08:30,2030.0,Clear,,,,
37,WELL AT T.R.PATTINAM KARAIKAL,CPCB,34,Puducherry,598,Karaikal,Karaikal,-,-,-,-,-,-,-,-,10.867778,79.828333,15-09-2021 08:30,1926.0,Clear,,,,
38,WELL AT URUVAIYAR,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.893328,79.753917,27-01-2021 08:30,1863.0,Clear,,,,
39,WELL AT URUVAIYAR,CPCB,34,Puducherry,600,Puducherry,Villiyanur,-,-,-,-,-,-,-,-,11.893328,79.753917,06-09-2021 08:30,1830.0,Clear,,,,
40,WELL NEAR BY LAKE BAHOUR,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.811908,79.745769,27-01-2021 08:30,363.0,Clear,,,,
41,WELL NEAR BY LAKE BAHOUR,CPCB,34,Puducherry,600,Puducherry,Bahour,-,-,-,-,-,-,-,-,11.811908,79.745769,06-09-2021 08:30,336.0,Clear,,,,
