SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-12-02 08:30:00,420.0,,,,,
2,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-12-04 08:30:00,420.0,,,,,
3,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-06-16 08:30:00,390.0,,,,,
4,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-08-16 08:30:00,380.0,,,,,
5,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-10-14 08:30:00,429.0,,,,,
6,BADI KA TALAB UDAIPUR,CPCB,8,Rajasthan,117,UDAIPUR,GIRWA,-,-,-,-,-,-,-,-,24.617094,73.62271,2021-09-12 08:30:00,532.0,,,,,
7,BANAS AT TRIVENI SANGAM BHILWARA,CPCB,8,Rajasthan,92,BHILWARA,MANDALGARH,-,-,-,-,-,-,-,-,25.243263,75.033557,2021-12-01 08:30:00,,,,,,
8,BANAS AT TRIVENI SANGAM BHILWARA,CPCB,8,Rajasthan,92,BHILWARA,MANDALGARH,-,-,-,-,-,-,-,-,25.243263,75.033557,2021-04-02 08:30:00,,,,,,
9,BANAS AT TRIVENI SANGAM BHILWARA,CPCB,8,Rajasthan,92,BHILWARA,MANDALGARH,-,-,-,-,-,-,-,-,25.243263,75.033557,2021-04-03 08:30:00,,,,,,
10,BERACH RIVER NEAR VILLAGE-NAGARI CHITTORGARH,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,24.944671,74.665024,2021-01-18 08:30:00,,,,,,
11,BERACH RIVER NEAR VILLAGE-NAGARI CHITTORGARH,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,24.944671,74.665024,2021-11-02 08:30:00,,,,,,
12,BERACH RIVER NEAR VILLAGE-NAGARI CHITTORGARH,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,24.944671,74.665024,2021-03-03 08:30:00,,,,,,
13,BHANWAR SEMLA DAM NEAR VILLAGE- DHOPAL,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,23.990297,74.731093,2021-01-13 08:30:00,,,,,,
14,BHANWAR SEMLA DAM NEAR VILLAGE- DHOPAL,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,23.990297,74.731093,2021-10-02 08:30:00,,,,,,
15,BHANWAR SEMLA DAM NEAR VILLAGE- DHOPAL,CPCB,8,Rajasthan,95,CHITTORGARH,Chittorgarh,-,-,-,-,-,-,-,-,23.990297,74.731093,2021-04-03 08:30:00,,,,,,
16,BISULPUR DAM TONK RAJASTHAN,CPCB,8,Rajasthan,116,TONK,DEOLI,-,-,-,-,-,-,-,-,25.905847,75.463861,2021-01-14 08:30:00,,,,,,
17,BISULPUR DAM TONK RAJASTHAN,CPCB,8,Rajasthan,116,TONK,DEOLI,-,-,-,-,-,-,-,-,25.905847,75.463861,2021-12-02 08:30:00,,,,,,
18,BISULPUR DAM TONK RAJASTHAN,CPCB,8,Rajasthan,116,TONK,DEOLI,-,-,-,-,-,-,-,-,25.905847,75.463861,2021-03-19 08:30:00,,,,,,
19,BOREWELL AT RO OF RSPCB BHIWADI TIJARA ALWAR,CPCB,8,Rajasthan,87,ALWAR,TIJARA,-,-,-,-,-,-,-,-,28.205564,76.862693,2021-08-04 08:30:00,4800.0,Clear,,,,
20,BOREWELL AT STAR HOSPITAL INFRONT OF STP BHIWADI TIJARA ALWAR,CPCB,8,Rajasthan,87,ALWAR,TIJARA,-,-,-,-,-,-,-,-,28.207366,76.829899,2021-08-04 08:30:00,2000.0,Clear,,,,
