SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.292886,88.590303,10-01-2021 08:30,,,,,,
2,AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.292886,88.590303,10-02-2021 08:30,,,,,,
3,AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.292886,88.590303,11-03-2021 08:30,,,,,,
4,DIKCHU B/C WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.402553,88.519402,06-01-2021 08:30,,,,,,
5,DIKCHU B/C WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.402553,88.519402,04-02-2021 08:30,,,,,,
6,DIKCHU B/C WITH TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.402553,88.519402,04-03-2021 08:30,,,,,,
7,MANEY KHOLA A/C WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP GANGTOK,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.309928,88.583236,10-01-2021 08:30,,,,,,
8,MANEY KHOLA A/C WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP GANGTOK,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.309928,88.583236,10-02-2021 08:30,,,,,,
9,MANEY KHOLA A/C WITH RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP GANGTOK,CPCB,11,Sikkim,225,GANGTOK DISTRICT,GANGTOK,-,-,-,-,-,-,-,-,27.309928,88.583236,11-03-2021 08:30,,,,,,
10,MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP 4 KM U/S OF GANGTOK,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.38805,88.622663,08-01-2021 08:30,,,,,,
11,MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP 4 KM U/S OF GANGTOK,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.38805,88.622663,08-02-2021 08:30,,,,,,
12,MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP 4 KM U/S OF GANGTOK,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.38805,88.622663,06-03-2021 08:30,,,,,,
13,RANGIT RIVER AT DAM SITE (NHPC),CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.294106,88.291658,23-01-2021 08:30,,,,,,
14,RANGIT RIVER AT DAM SITE (NHPC),CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.294106,88.291658,19-02-2021 08:30,,,,,,
15,RANGIT RIVER AT DAM SITE (NHPC),CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.294106,88.291658,18-03-2021 08:30,,,,,,
16,RANGIT RIVER AT LEGSHIP,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.280047,88.2753,20-01-2021 08:30,,,,,,
17,RANGIT RIVER AT LEGSHIP,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.280047,88.2753,19-02-2021 08:30,,,,,,
18,RANGIT RIVER AT LEGSHIP,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.280047,88.2753,18-03-2021 08:30,,,,,,
19,RANGIT RIVER AT RESHI,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.221878,88.307144,22-01-2021 08:30,,,,,,
20,RANGIT RIVER AT RESHI,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.221878,88.307144,19-02-2021 08:30,,,,,,
21,RANGIT RIVER AT RESHI,CPCB,11,Sikkim,228,WEST DISTRICT,SORENG,-,-,-,-,-,-,-,-,27.221878,88.307144,18-03-2021 08:30,,,,,,
22,RANICHU BEFORE CONFLUENCE WITH RIVER TEESTA AT SINGTAM SIKKIM,CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.136739,88.396831,13-01-2021 08:30,,,,,,
23,RANICHU BEFORE CONFLUENCE WITH RIVER TEESTA AT SINGTAM SIKKIM,CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.136739,88.396831,15-02-2021 08:30,,,,,,
24,RANICHU BEFORE CONFLUENCE WITH RIVER TEESTA AT SINGTAM SIKKIM,CPCB,11,Sikkim,227,NAMCHI,RAVONG,-,-,-,-,-,-,-,-,27.136739,88.396831,13-03-2021 08:30,,,,,,
25,TEESTA A/C OF RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHAANG,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.601903,88.646449,03-01-2021 08:30,,,,,,
26,TEESTA A/C OF RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHAANG,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.601903,88.646449,02-02-2021 08:30,,,,,,
27,TEESTA A/C OF RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHAANG,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.601903,88.646449,02-03-2021 08:30,,,,,,
28,TEESTA A/C WITH RANGICHU AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM THE TOWN RANGPO,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.531575,88.515094,16-01-2021 08:30,,,,,,
29,TEESTA A/C WITH RANGICHU AFTER MEETING THE INDUSTRIAL EFFLUENTS FROM THE TOWN RANGPO,CPCB,11,Sikkim,226,MANGAN,CHUNGTHANG,-,-,-,-,-,-,-,-,27.531575,88.515094,17-02-2021 08:30,,,,,,
