SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.688576,78.017669,2021-04-01 08:30:00,,,,,,
2,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.688576,78.017669,2021-02-02 08:30:00,,,,,,
3,ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,CPCB,36,Telangana,516,NIZAMABAD,YEDPALLE,-,-,-,-,-,-,-,-,18.688576,78.017669,2021-02-03 08:30:00,,,,,,
4,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-02-01 08:30:00,998.0,,,,,
5,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-04-02 08:30:00,1150.0,,,,,
6,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-08-03 08:30:00,1297.0,,,,,
7,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-01-04 08:30:00,1347.0,,,,,
8,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-06-05 08:30:00,1459.0,,,,,
9,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-05-06 08:30:00,1314.0,,,,,
10,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-02-07 08:30:00,1297.0,,,,,
11,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-03-09 08:30:00,1261.0,,,,,
12,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-01-10 08:30:00,1227.0,,,,,
13,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-03-11 08:30:00,1195.0,,,,,
14,AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,CPCB,36,Telangana,513,MEDAK,MEDAK,-,-,-,-,-,-,-,-,17.52554,78.334692,2021-03-12 08:30:00,1236.0,,,,,
15,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-12-01 08:30:00,12310.0,,,,,
16,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-09-02 08:30:00,12840.0,,,,,
17,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-05-03 08:30:00,12210.0,,,,,
18,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-09-04 08:30:00,13500.0,,,,,
19,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-07-05 08:30:00,14800.0,,,,,
20,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-06-17 08:30:00,15300.0,,,,,
21,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-12-07 08:30:00,8870.0,,,,,
22,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-06-09 08:30:00,4985.0,,,,,
23,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-08-10 08:30:00,4930.0,,,,,
24,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-03-11 08:30:00,4750.0,,,,,
25,ASANI KUNTA KAJIPALLY MEDAK,CPCB,36,Telangana,513,MEDAK,JINNARAM,-,-,-,-,-,-,-,-,17.551992,78.346794,2021-10-12 08:30:00,4820.0,,,,,
26,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-01-28 08:30:00,814.0,,,,,
27,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-10-02 08:30:00,870.0,,,,,
28,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-03-16 08:30:00,985.0,,,,,
29,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-04-15 08:30:00,1451.0,,,,,
30,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-04-09 08:30:00,860.0,,,,,
31,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-12-10 08:30:00,659.0,,,,,
32,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-08-11 08:30:00,781.0,,,,,
33,"BAKSHI KUNTA, CHANDANAGAR(V), SHERILINGAMPALLY(M), RANGA REDDY(D)",CPCB,36,Telangana,518,RANGA REDDY,-,-,-,-,-,-,-,-,-,17.3031129,78.1917634,2021-06-12 08:30:00,908.0,,,,,
