SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.285854,78.978295,30-01-2021 08:30,,,,,,
2,ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.285854,78.978295,27-02-2021 08:30,,,,,,
3,ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.285854,78.978295,19-03-2021 08:30,,,,,,
4,ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,CPCB,5,Uttarakhand,52,PAURI GARHWAL,PAURI,-,-,-,-,-,-,-,-,30.140504,78.597358,30-01-2021 08:30,,,,,,
5,ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,CPCB,5,Uttarakhand,52,PAURI GARHWAL,PAURI,-,-,-,-,-,-,-,-,30.140504,78.597358,26-02-2021 08:30,,,,,,
6,ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,CPCB,5,Uttarakhand,52,PAURI GARHWAL,PAURI,-,-,-,-,-,-,-,-,30.140504,78.597358,19-03-2021 08:30,,,,,,
7,ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.287506,78.985451,30-01-2021 08:30,,,,,,
8,ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.287506,78.985451,27-02-2021 08:30,,,,,,
9,ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG,CPCB,5,Uttarakhand,54,Rudraprayag,RUDRAPRAYAG,-,-,-,-,-,-,-,-,30.287506,78.985451,19-03-2021 08:30,,,,,,
10,ALAKNANDA B/C TO BHAGIRATHI AT DEVPRAYAG,CPCB,5,Uttarakhand,52,PAURI GARHWAL,PAURI,-,-,-,-,-,-,-,-,30.144753,78.601484,30-01-2021 08:30,,,,,,
