SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.546369,77.312597,2021-06-01 08:30:00,1015.0,,,,,
2,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.546369,77.312597,2021-01-02 08:30:00,1348.0,,,,,
3,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.546369,77.312597,2021-03-03 08:30:00,1202.0,,,,,
4,AGRA CANAL MADANPUR KHADAR DELHI,CPCB,9,Uttar Pradesh,144,G.B. Nagar,DADRI,-,-,-,-,-,-,-,-,28.546369,77.312597,2021-05-04 08:30:00,1731.0,,,,,
5,AT INDUSTRIAL AREA FATEHPUR,CPCB,9,Uttar Pradesh,142,FATEHPUR,HATHGAON,-,-,-,-,-,-,-,-,25.920075,80.809994,2021-04-29 08:30:00,1920.0,Clear,,4.0,,
6,AT INDUSTRIAL AREA FATEHPUR,CPCB,9,Uttar Pradesh,142,FATEHPUR,HATHGAON,-,-,-,-,-,-,-,-,25.920075,80.809994,2021-10-21 08:30:00,1983.0,Clear,,3.0,,
7,AT INDUSTRIAL AREA. NAINI ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.379194,81.877067,2021-04-29 08:30:00,1193.0,Clear,,5.0,,
8,AT INDUSTRIAL AREA. NAINI ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.379194,81.877067,2021-10-28 08:30:00,1222.0,Clear,,4.0,,
9,BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),CPCB,9,Uttar Pradesh,172,MUZAFFARNAGAR,JANSATH,-,-,-,-,-,-,-,-,29.491551,77.990514,2021-01-27 08:30:00,,,,,,
10,BANGANGA AT U/S IDRISHPUR (U.K.),CPCB,9,Uttar Pradesh,124,BAGHPAT,BAGHPAT,-,-,-,-,-,-,-,-,29.184058,77.32613,2021-01-27 08:30:00,,,,,,
11,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865,76.505144,2021-06-01 08:30:00,,,,,,
12,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865,76.505144,2021-06-02 08:30:00,,,,,,
13,BEAS AT D/S ALAMPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.83865,76.505144,2021-06-03 08:30:00,,,,,,
14,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.880753,76.614514,2021-06-01 08:30:00,,,,,,
15,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.880753,76.614514,2021-06-02 08:30:00,,,,,,
16,BEAS AT D/S JAISINGHPUR,CPCB,9,Uttar Pradesh,149,HAMIRPUR,HAMIRPUR,-,-,-,-,-,-,-,-,31.880753,76.614514,2021-06-03 08:30:00,,,,,,
17,BETWA AT SUKMA DUKMA DAM JHANSI (U.P.),CPCB,9,Uttar Pradesh,153,JHANSI,Jhansi,-,-,-,-,-,-,-,-,25.193044,78.539141,2021-03-03 08:30:00,,,,,,
18,BHADOHI INDUSTRIAL AREA DEVELOPMENT AUTHORITY SANT RAVIDAS NAGAR,CPCB,9,Uttar Pradesh,152,JAUNPUR,MACHHALISHAHR,-,-,-,-,-,-,-,-,25.698625,82.237508,2021-04-22 08:30:00,492.0,Clear,,12.0,,
19,BHADOHI INDUSTRIAL AREA DEVELOPMENT AUTHORITY SANT RAVIDAS NAGAR,CPCB,9,Uttar Pradesh,152,JAUNPUR,MACHHALISHAHR,-,-,-,-,-,-,-,-,25.698625,82.237508,2021-10-27 08:30:00,540.0,Clear,,20.0,,
