SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
1,AMTOLA ON DIAMOND HARBOUR ROAD 24 PARGANAS (S),CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.369025,88.271836,08-04-2021 08:30,7356.0,Clear,,24.0,,
2,AMTOLA ON DIAMOND HARBOUR ROAD 24 PARGANAS (S),CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.369025,88.271836,04-10-2021 08:30,1050.0,Clear,,3.72,,
3,BARRAKPORE MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.695703,88.420875,01-04-2021 08:30,470.0,Clear,,1.45,,
4,BARRAKPORE MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.695703,88.420875,01-10-2021 08:30,381.0,Clear,,1.12,,
5,BARSAT MUNICIPALITY NORTH 24-P WEST BENGAL,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.764606,88.374953,16-04-2021 08:30,408.0,Clear,,2.02,,
6,BARSAT MUNICIPALITY NORTH 24-P WEST BENGAL,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.764606,88.374953,22-10-2021 08:30,856.0,Clear,,3.42,,
7,BEHALA CALCUTTA WEST BENGAL,CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.497806,88.309361,08-04-2021 08:30,916.0,Clear,,13.0,,
8,BEHALA CALCUTTA WEST BENGAL,CPCB,19,West Bengal,304,SOUTH 24 PARGANAS,SAGAR,-,-,-,-,-,-,-,-,22.497806,88.309361,04-10-2021 08:30,1769.0,Clear,,27.5,,
9,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,15-01-2021 08:30,179.0,,,,,
10,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,05-02-2021 08:30,184.0,,,,,
11,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,08-03-2021 08:30,190.0,,,,,
12,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,06-04-2021 08:30,195.0,,,,,
13,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,21-06-2021 08:30,187.0,,,,,
14,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,19-07-2021 08:30,169.0,,,,,
15,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,10-08-2021 08:30,153.0,,,,,
16,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,16-09-2021 08:30,148.0,,,,,
17,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,01-10-2021 08:30,141.0,,,,,
18,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,29-11-2021 08:30,146.0,,,,,
19,BELBONI LAKE NEAR BARJORA BANKURA,CPCB,19,West Bengal,305,BANKURA,GANGAJALGHATI,-,-,-,-,-,-,-,-,23.451233,87.195111,13-12-2021 08:30,143.0,,,,,
20,BOLPUR NEAR RAILWAY STATION,CPCB,19,West Bengal,307,BIRBHUM,BOLPUR-SRINIKETAN,-,-,-,-,-,-,-,-,23.668756,87.683064,12-04-2021 08:30,244.0,Clear,,3.57,,
21,BOLPUR NEAR RAILWAY STATION,CPCB,19,West Bengal,307,BIRBHUM,BOLPUR-SRINIKETAN,-,-,-,-,-,-,-,-,23.668756,87.683064,27-10-2021 08:30,614.0,Clear,,20.4,,
22,BSIRHAT MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.662767,88.871314,16-04-2021 08:30,1881.0,Clear,,2.05,,
23,BSIRHAT MUNICIPALITY,CPCB,19,West Bengal,303,NORTH 24 PARGANAS,BARASAT-I,-,-,-,-,-,-,-,-,22.662767,88.871314,22-10-2021 08:30,1580.0,Clear,,2.56,,
24,CENTRAL HOWRAH-RESIDENTAIL AREA,CPCB,19,West Bengal,313,HOWRAH,ULUBERIYA-I,-,-,-,-,-,-,-,-,22.594558,88.25695,12-04-2021 08:30,1958.0,Clear,,2.0,,
25,CENTRAL HOWRAH-RESIDENTAIL AREA,CPCB,19,West Bengal,313,HOWRAH,ULUBERIYA-I,-,-,-,-,-,-,-,-,22.594558,88.25695,26-10-2021 08:30,3009.0,Clear,,91.2,,
26,CENTRAL KOLKATA,CPCB,19,West Bengal,9999,KOLKATA,kolkata,-,-,-,-,-,-,-,-,22.569728,88.360556,06-04-2021 08:30,482.0,Clear,,15.0,,
