id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
46,46,1202,,No,High,Inland,Man-made,Tank/Pond,,1.756452016381558,,20.1721555576,73.0000907339,Dadra & Nagar Haveli,538.2049367982099,17564.520163815585,Hydrological Layer,SAC N
45,45,1203,,Yes,Moderate,Inland,Man-made,Waterlogged,,25.26240494999561,,20.1609389117,73.0379835999,Dadra & Nagar Haveli,2174.278184328877,252624.0494999561,Hydrological Layer,SAC N
47,47,1201,Damanganga,Yes,Low,Inland,Man-made,Reservoir/Barrage,,1165.3542661748254,,20.1742245434,73.1398359275,Dadra & Nagar Haveli,94238.48695922358,11653542.661748255,Hydrological Layer,SAC N
48,48,1201,,Yes,Low,Inland,Man-made,Reservoir/Barrage,,1.863494548082229,,20.7696408265,71.1470832156,Daman & Diu,1052.144412307885,18634.945480822294,Hydrological Layer,SAC N
107,107,1202,,No,High,Inland,Man-made,Tank/Pond,,3.523658579373329,,20.4319340066,72.8625918102,Daman & Diu,996.4295528618368,35236.58579373329,Hydrological Layer,SAC N
108,108,1202,,No,High,Inland,Man-made,Tank/Pond,,1.238293548320223,,20.4331938243,72.8639077201,Daman & Diu,421.1370509669981,12382.935483202225,Hydrological Layer,SAC N
1,1,1202,,No,Low,Inland,Man-made,Tank/Pond,Check Dam,0.265117654336028,,20.0773824421,73.113909563,Dadra & Nagar Haveli,194.47880174302034,2651.1765433602823,Hydrological Layer,SAC N
2,2,9999,,NA,NA,NA,NA,NA,,0.181140013153431,,20.2019327621,72.9966293685,Dadra & Nagar Haveli,162.274139374889,1811.4001315343105,Hydrological Layer,SAC N
3,3,9999,,NA,NA,NA,NA,NA,,7.032151425963362,,20.1764682833,73.0247934379,Dadra & Nagar Haveli,1303.3893910905142,70321.51425963362,Hydrological Layer,SAC N
4,4,9999,,NA,NA,NA,NA,NA,,1.967012215360316,,20.1871574787,73.0070974698,Dadra & Nagar Haveli,651.0699221906484,19670.12215360316,Hydrological Layer,SAC N
79,79,1202,,No,High,Inland,Man-made,Tank/Pond,,0.868307982409192,,20.3738773295,72.8353829214,Daman & Diu,389.42054318816463,8683.079824091916,Hydrological Layer,SAC N
93,93,1202,,No,High,Inland,Man-made,Tank/Pond,,6.81727203654127,,20.4317649619,72.8569993636,Daman & Diu,1047.7352801739091,68172.7203654127,Hydrological Layer,SAC N
