id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
734,734,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.49639109490993,,31.6514904509,76.0898015585,Himachal Pradesh,315.41690335784153,4963.910949099301,Hydrological Layer,SAC N
901,901,1205,,No,High,Inland,Man-made,Aquaculture Pond,Aquaculture Pond,0.733522166560065,,31.0315185768,76.6688081334,Himachal Pradesh,346.08383099640906,7335.221665600648,Hydrological Layer,SAC N
2044,2044,1201,Ranjit Sagar Dam,No,Low,Inland,Man-made,Reservoir/Barrage,,431.8481585729602,,32.5313687838,75.8563863693,Himachal Pradesh,46083.465012756555,4318481.585729602,Hydrological Layer,SAC N
11,11,1103,Meme Kundru S,No,Low,Inland,Natural,High altitude lake,Pro Glacial Lake,4.634636735088193,,32.7620105132,77.1949594773,Himachal Pradesh,1031.6356668933029,46346.367350881934,Hydrological Layer,SAC N
36,36,1201,Chamera Reservoir,Yes,Low,Inland,Man-made,Reservoir/Barrage,Dam,955.9448362275839,,32.6297047496,76.0381232115,Himachal Pradesh,59257.840823519306,9559448.362275839,Hydrological Layer,SAC N
84,84,1201,Pandoh Reservoir,Yes,Low,Inland,Man-made,Reservoir/Barrage,Reservoir,104.89769360751811,,31.6737792633,77.0843849181,Himachal Pradesh,12458.171254066832,1048976.936075181,Hydrological Layer,SAC N
106,106,1201,Larji Reservoir,Yes,Low,Inland,Man-made,Reservoir/Barrage,Reservoir,35.5582652976104,,31.7291467179,77.2133064015,Himachal Pradesh,7046.883936210237,355582.65297610394,Hydrological Layer,SAC N
496,496,9999,,NA,NA,NA,NA,NA,,0.329104598756124,,31.093675127,76.6965690347,Himachal Pradesh,326.7307754523133,3291.0459875612387,Hydrological Layer,SAC N
1103,1103,9999,,NA,NA,NA,NA,NA,,0.177322209703881,,30.9256309305,77.6722132949,Himachal Pradesh,187.1696898186164,1773.222097038811,Hydrological Layer,SAC N
1366,1366,9999,,NA,NA,NA,NA,NA,,0.108456343996885,,31.671841786,78.1460104781,Himachal Pradesh,130.9190816357661,1084.5634399688472,Hydrological Layer,SAC N
