id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
137,137,1104,Nambal Shalbug,Yes,High,Inland,Natural,Riverine Wetlands,,973.9802368731599,,34.1571687474,74.7298525193,Jammu & Kashmir,22297.089082443028,9739802.3687316,Hydrological Layer,SAC N
283,283,9999,,NA,NA,NA,NA,NA,,930.1426528168394,,33.8416023795,75.2545346003,Jammu & Kashmir,23744.955093472847,9301426.528168393,Hydrological Layer,SAC N
397,397,9999,,NA,NA,NA,NA,NA,,585.8689782210259,,33.7258235052,75.3046658695,Jammu & Kashmir,19734.036210031692,5858689.78221026,Hydrological Layer,SAC N
1220,1220,1206,,NA,NA,NA,NA,NA,,5.358088302599517,,32.8696717193,74.6640705106,Jammu & Kashmir,9709.392169374303,53580.883025995165,Hydrological Layer,SAC N
18,18,1103,,No,Low,Inland,Natural,High altitude lake,,1.349416675362942,,35.0621282378,74.2223718561,Jammu & Kashmir,519.1306780219419,13494.166753629424,Hydrological Layer,SAC N
24,24,1103,,No,Low,Inland,Natural,High altitude lake,,2.554049154414986,,34.9591036032,74.1172698727,Jammu & Kashmir,599.7631271780881,25540.49154414986,Hydrological Layer,SAC N
575,575,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.226454175411519,,33.3810464022,73.5906594248,Jammu & Kashmir,176.79555206549705,2264.5417541151915,Hydrological Layer,SAC N
750,750,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.184796440330435,,33.02739403,73.9327719565,Jammu & Kashmir,160.5769790830878,1847.964403304345,Hydrological Layer,SAC N
803,803,1101,,Yes,Moderate,Inland,Natural,Lake/Pond,,0.172905223934974,,33.2866749818,73.9599503116,Jammu & Kashmir,154.48478870716846,1729.0522393497417,Hydrological Layer,SAC N
1073,1073,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.551376837596444,,34.3695086118,74.1740281971,Jammu & Kashmir,274.7236894979949,5513.768375964439,Hydrological Layer,SAC N
1107,1107,9999,,NA,NA,NA,NA,NA,,0.311284034537489,,34.6834618414,74.2024636589,Jammu & Kashmir,256.8348652090811,3112.8403453748897,Hydrological Layer,SAC N
1781,1781,1202,,No,Moderate,Inland,Man-made,Tank/Pond,,0.359371299750641,,33.1207036889,74.8236458298,Jammu & Kashmir,223.83327811869256,3593.712997506412,Hydrological Layer,SAC N
1797,1797,1203,,No,Low,Inland,Man-made,Waterlogged,,0.12968687512285,,32.9357737104,75.0518334493,Jammu & Kashmir,140.72306143681743,1296.8687512285,Hydrological Layer,SAC N
1879,1879,1201,Baglihar Dam,No,Low,Inland,Man-made,Reservoir/Barrage,,761.0996199071267,,33.1422100494,75.4499951717,Jammu & Kashmir,72362.51190730417,7610996.199071267,Hydrological Layer,SAC N
2036,2036,1202,,NA,NA,Inland,Man-made,Tank/Pond,,0.715639250505386,,32.3052324571,75.5199781348,Jammu & Kashmir,336.2270765759984,7156.392505053865,Hydrological Layer,SAC N
2026,2026,1103,,No,Low,Inland,Natural,High altitude lake,,0.269904704665177,,34.4057189543,74.929442276,Jammu & Kashmir,223.34974678072732,2699.047046651769,Hydrological Layer,SAC N
1221,1221,1206,,NA,NA,NA,NA,NA,,7.979427871602109,,32.8529462903,74.6097771797,Jammu & Kashmir,14523.100110870446,79794.27871602109,Hydrological Layer,SAC N
1710,1710,1202,,Yes,Moderate,Inland,Man-made,Tank/Pond,,0.154950347551828,,32.9344148323,74.8010698788,Jammu & Kashmir,144.77531827445785,1549.5034755182817,Hydrological Layer,SAC N
1739,1739,1206,,NA,NA,NA,NA,NA,,30.642051464413353,,32.4863648656,75.0970904183,Jammu & Kashmir,27959.36191840216,306420.5146441335,Hydrological Layer,SAC N
558,558,1203,,No,Moderate,Inland,Man-made,Waterlogged,,0.34216169089899,,33.3114318005,73.6930888386,Jammu & Kashmir,233.82218938916103,3421.616908989901,Hydrological Layer,SAC N
157,157,1104,Hokersar,Yes,High,Inland,Natural,Riverine Wetlands,Marshy,1684.5692024708908,Ramsar Site,34.0913341706,74.7118143333,Jammu & Kashmir,31077.9268990678,16845692.024708908,Hydrological Layer,SAC N
576,576,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.154668282570866,,33.3873189765,73.5889820565,Jammu & Kashmir,143.52724645363685,1546.6828257086615,Hydrological Layer,SAC N
686,686,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.124359142202836,,33.442282221,74.0127992539,Jammu & Kashmir,129.84140064140982,1243.5914220283566,Hydrological Layer,SAC N
1043,1043,9999,,NA,NA,NA,NA,NA,,0.423361759370098,,34.4157806805,73.994071108,Jammu & Kashmir,252.79177621905063,4233.617593700978,Hydrological Layer,SAC N
1461,1461,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.238706532410475,,32.8887306791,74.7665841574,Jammu & Kashmir,182.30708176875854,2387.065324104752,Hydrological Layer,SAC N
2043,2043,1201,Mangla Dam,Yes,Moderate,Inland,Man-made,Reservoir/Barrage,,22432.658827515435,,33.2297305817,73.7270037304,Jammu & Kashmir,518524.79813241516,224326588.27515435,Hydrological Layer,SAC N
559,559,1203,,No,Moderate,Inland,Man-made,Waterlogged,,0.767298534871221,,33.3131727431,73.6931061508,Jammu & Kashmir,422.653727965234,7672.98534871221,Hydrological Layer,SAC N
560,560,1203,,No,Moderate,Inland,Man-made,Waterlogged,,0.502913189949284,,33.3180978045,73.6928774831,Jammu & Kashmir,287.1758683719192,5029.131899492839,Hydrological Layer,SAC N
