id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
5353,5353,2202,,No,Low,Costal,Man-made,Aquaculture Pond,,233.87585810207784,,9.76675821393,76.3302358091,Kerala,21164.8933460635,2338758.5810207785,Hydrological Layer,SAC N
9005,9005,1201,Kanhirapuzha Reservoir,Yes,Low,Inland,Man-made,Reservoir/Barrage,,477.9893216171785,,10.9892904364,76.5482278225,Kerala,20761.353911938797,4779893.216171785,Hydrological Layer,SAC N
9079,9079,1105,,Yes,Low,Inland,Natural,Waterlogged,,468.22043488946707,,9.20388167771,76.6510978117,Kerala,33360.3941710171,4682204.348894671,Hydrological Layer,SAC N
3,3,9999,,NA,NA,NA,NA,NA,,1.669735584666497,,11.7357264907,76.4227316211,Kerala,787.9715912015663,16697.355846664967,Hydrological Layer,SAC N
4,4,9999,,NA,NA,NA,NA,NA,,0.404089208995933,,11.7421961608,76.4182249648,Kerala,277.75069527093126,4040.8920899593295,Hydrological Layer,SAC N
5,5,1202,,NA,NA,Inland,Man-made,Tank/Pond,,0.114881594152426,,11.4408306224,76.4161034286,Kerala,142.09876318540591,1148.8159415242621,Hydrological Layer,SAC N
79,79,1201,Thunakkadavu Reservoir,No,Low,Inland,Man-made,Reservoir/Barrage,,177.79034566548003,,10.4407595714,76.7889425483,Kerala,21194.206760433583,1777903.4566548003,Hydrological Layer,SAC N
457,457,1101,Sasthankotta Kayal,Yes,Low,Inland,Natural,Lake/Pond,,354.87741987874983,,9.03966569825,76.6320867872,Kerala,22212.21249440741,3548774.1987874983,Hydrological Layer,SAC N
651,651,2101,,No,Low,Costal,Natural,Lagoon,,590.6150620598797,,9.85394358641,76.2946892684,Kerala,46269.81784587136,5906150.620598798,Hydrological Layer,SAC N
9006,9006,1201,Seruvani Reservoir,No,Low,Inland,Man-made,Reservoir/Barrage,,175.62045748229258,,10.9682493828,76.6472316903,Kerala,18836.161951368653,1756204.5748229257,Hydrological Layer,SAC N
9095,9095,2202,,Yes,Moderate,Costal,Man-made,Aquaculture Pond,,528.2435619363067,,10.1209955345,76.2174622321,Kerala,20308.77025092424,5282435.619363067,Hydrological Layer,SAC N
9082,9082,2202,,Yes,Moderate,Costal,Man-made,Aquaculture Pond,,1973.9263427468263,,9.83014093068,76.2827741465,Kerala,46933.00007116832,19739263.427468263,Hydrological Layer,SAC N
9129,9129,2101,Paravur Kayal,Yes,Low,Costal,Natural,Lagoon,,674.8116420050288,,8.83297610421,76.6663138135,Kerala,49381.91914807159,6748116.420050289,Hydrological Layer,SAC N
9137,9137,2202,,No,Low,Costal,Man-made,Aquaculture Pond,,547.0945265247066,,10.0831690012,76.2186489096,Kerala,42348.5252953821,5470945.265247066,Hydrological Layer,SAC N
9154,9154,2101,Kumbalangi kayal,No,Low,Costal,Natural,Lagoon,,0.175932905458167,,9.91710174966,76.258799868,Kerala,155.09240678805037,1759.3290545816724,Hydrological Layer,SAC N
9183,9183,2202,,No,High,Costal,Man-made,Aquaculture Pond,,0.780835037893163,,12.0668023923,75.2233587079,Kerala,424.25441466629246,7808.350378931626,Hydrological Layer,SAC N
9081,9081,2202,,Yes,Moderate,Costal,Man-made,Aquaculture Pond,,764.2061700278471,,9.76592980559,76.2956540123,Kerala,19224.41281330389,7642061.70027847,Hydrological Layer,SAC N
9107,9107,2101,Vembanadu Lake,No,Low,Costal,Natural,Lagoon,,17525.722153556897,,9.72039011486,76.3686296833,Kerala,275508.6135651967,175257221.53556898,Hydrological Layer,SAC N
486,486,2101,Paravur Tekke Kayal,Yes,Low,Costal,Natural,Lagoon,,133.26643577859414,,8.79365959013,76.6739152408,Kerala,8856.642969240611,1332664.3577859413,Hydrological Layer,SAC N
1109,1109,1202,,No,High,Inland,Man-made,Tank/Pond,,0.352334388683822,,11.0416504745,75.9355440291,Kerala,239.14866615617663,3523.343886838221,Hydrological Layer,SAC N
2416,2416,1202,,No,High,Inland,Man-made,Tank/Pond,,0.511525062296309,,9.28973861459,76.5242016685,Kerala,289.8369836095979,5115.250622963093,Hydrological Layer,SAC N
2338,2338,1202,,No,High,Inland,Man-made,Tank/Pond,,0.691419780550339,,9.2025594102,76.6018358894,Kerala,345.4473745063337,6914.19780550339,Hydrological Layer,SAC N
2988,2988,1202,,No,High,Inland,Man-made,Tank/Pond,,0.236063583540567,,10.867448227,76.1517058188,Kerala,194.82246595812344,2360.6358354056674,Hydrological Layer,SAC N
3123,3123,1202,,No,High,Inland,Man-made,Tank/Pond,,0.107719840052621,,10.2077755601,76.1857508258,Kerala,140.00477040874537,1077.1984005262095,Hydrological Layer,SAC N
4532,4532,1202,,No,High,Inland,Man-made,Tank/Pond,,0.682054973519804,,10.7797402827,76.7170466015,Kerala,360.35735282062046,6820.549735198043,Hydrological Layer,SAC N
4543,4543,1202,,No,High,Inland,Man-made,Tank/Pond,,0.820193833488711,,10.7307794098,76.7576270736,Kerala,404.3933681808427,8201.938334887107,Hydrological Layer,SAC N
4601,4601,1202,,No,High,Inland,Man-made,Tank/Pond,,0.61427400190003,,10.6276951334,76.7331934082,Kerala,323.08125738157383,6142.740019000298,Hydrological Layer,SAC N
5485,5485,1202,,No,High,Inland,Man-made,Tank/Pond,,0.111338426648813,,11.5911827805,76.3084576018,Kerala,133.84933266017595,1113.384266488134,Hydrological Layer,SAC N
5709,5709,1202,,No,High,Inland,Man-made,Tank/Pond,,0.11098123117123,,10.5686465837,76.0950368237,Kerala,142.06120813781646,1109.8123117123016,Hydrological Layer,SAC N
6268,6268,1202,,No,High,Inland,Man-made,Tank/Pond,,0.297169716361817,,9.51760311007,76.7642226872,Kerala,218.59575257974058,2971.6971636181697,Hydrological Layer,SAC N
6279,6279,1202,,No,High,Inland,Man-made,Tank/Pond,,0.115866289922967,,9.26839256259,77.0064904005,Kerala,137.97135821586505,1158.662899229673,Hydrological Layer,SAC N
7200,7200,1202,,No,High,Inland,Man-made,Tank/Pond,,0.176977787762452,,11.4360890444,75.9509533798,Kerala,176.03779472832082,1769.77787762452,Hydrological Layer,SAC N
7125,7125,1202,,No,High,Inland,Man-made,Tank/Pond,,0.233608574522746,,11.1394339996,75.8929136119,Kerala,220.3562876461017,2336.085745227462,Hydrological Layer,SAC N
7265,7265,1202,,No,High,Inland,Man-made,Tank/Pond,,0.108569262458153,,10.4867063606,76.2873891085,Kerala,129.45907664267105,1085.692624581527,Hydrological Layer,SAC N
874,874,1202,,No,High,Inland,Man-made,Tank/Pond,,0.581084345306148,,12.1594306864,75.1767930659,Kerala,315.6400179166988,5810.843453061479,Hydrological Layer,SAC N
3038,3038,1202,,No,High,Inland,Man-made,Tank/Pond,,0.932421954429123,,10.5607894874,76.23788619,Kerala,399.03182604120536,9324.21954429123,Hydrological Layer,SAC N
8534,8534,1202,,No,High,Inland,Man-made,Tank/Pond,,0.392173509917356,,9.30424153914,76.4064064055,Kerala,257.9042952641921,3921.7350991735548,Hydrological Layer,SAC N
8481,8481,1202,,No,High,Inland,Man-made,Tank/Pond,,0.373076329003589,,9.37377204855,76.5636804915,Kerala,250.8445810050312,3730.763290035885,Hydrological Layer,SAC N
2385,2385,1202,,No,High,Inland,Man-made,Tank/Pond,,0.548330290713146,,9.21189282464,76.5009446279,Kerala,300.94238041084617,5483.302907131463,Hydrological Layer,SAC N
8978,8978,1201,Kuttyadi Reservoir,Yes,Low,Inland,Man-made,Reservoir/Barrage,,854.6470350867894,,11.5692616782,75.8535528584,Kerala,116916.6894237565,8546470.350867894,Hydrological Layer,SAC N
8983,8983,1104,,Yes,Moderate,Inland,Natural,Riverine Wetlands,,186.62371136889143,,11.9179091144,75.4198048629,Kerala,14008.4555832212,1866237.1136889143,Hydrological Layer,SAC N
934,934,1202,,No,High,Inland,Man-made,Tank/Pond,,0.134154033583836,,11.7562601516,75.969254747,Kerala,170.8434583383091,1341.5403358383583,Hydrological Layer,SAC N
1856,1856,1202,,No,High,Inland,Man-made,Tank/Pond,,0.198574941048473,,8.51614703132,76.930802056,Kerala,188.86010792345476,1985.74941048473,Hydrological Layer,SAC N
1359,1359,1202,,No,High,Inland,Man-made,Tank/Pond,,0.241231649809669,,8.36527088398,77.1020561282,Kerala,186.4490346688135,2412.31649809669,Hydrological Layer,SAC N
2413,2413,1202,,No,High,Inland,Man-made,Tank/Pond,,0.342046737307415,,9.29935852249,76.4608386835,Kerala,234.21214914383316,3420.467373074149,Hydrological Layer,SAC N
2089,2089,1202,,No,High,Inland,Man-made,Tank/Pond,,0.202451013170434,,9.05587402758,76.5362407342,Kerala,188.61305944978315,2024.5101317043418,Hydrological Layer,SAC N
2090,2090,1202,,No,High,Inland,Man-made,Tank/Pond,,0.302260631655394,,9.06864877226,76.5454516336,Kerala,228.761349207248,3022.60631655394,Hydrological Layer,SAC N
9184,9184,2202,,No,High,Costal,Man-made,Aquaculture Pond,,0.170788195005065,,12.0661891206,75.2227444307,Kerala,163.30699202926803,1707.881950050648,Hydrological Layer,SAC N
12,12,1105,,Yes,Moderate,Inland,Natural,Waterlogged,,4.945168461594526,,11.533655969,75.6517891519,Kerala,1120.5825541378633,49451.68461594526,Hydrological Layer,SAC N
11,11,1105,,No,Low,Inland,Natural,Waterlogged,,7.470793546189232,,11.5390732513,75.6461768162,Kerala,2021.5334145874633,74707.93546189232,Hydrological Layer,SAC N
