id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
12,12,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,1257.2734464537443,Kadmat Island,11.2143973507,72.7653000116,Lakshadweep,28397.3574796114,12572734.464537444,Hydrological Layer,SAC N
10,10,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,3106.719534440818,Perumal Par,11.1564898595,72.0606981045,Lakshadweep,28006.54295680226,31067195.344408177,Hydrological Layer,SAC N
4,4,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,2778.625227217581,Bitra Island,11.5547792922,72.1655330516,Lakshadweep,25370.279901478774,27786252.27217581,Hydrological Layer,SAC N
21,21,9999,,NA,NA,NA,NA,NA,Kavaratti Island,364.4488881617189,Kavaratti Island,10.5632636087,72.6382684076,Lakshadweep,11887.614721144291,3644488.881617189,Hydrological Layer,SAC N
24,24,9999,,NA,NA,NA,NA,NA,S-Kalpeni & N-Cheriyam Island,238.4212851274718,Southern Kalpeni and Northern Cheriyam Island,10.0702726349,73.6443135238,Lakshadweep,12298.633817518783,2384212.851274718,Hydrological Layer,SAC N
29,29,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,2507.964272996226,Southern Kalpeni and Northern Cheriyam Island,10.1073329098,73.6412217564,Lakshadweep,51616.129117844015,25079642.729962263,Hydrological Layer,SAC N
32,32,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,3302.0414277159907,Minicoy Island,8.30043742112,73.0429688578,Lakshadweep,50222.537807948014,33020414.277159907,Hydrological Layer,SAC N
15,15,9999,,NA,NA,NA,NA,NA,Bangaram Island,4.431875792830152,Bangaram Island,10.9566406839,72.3331269856,Lakshadweep,1071.5880539846355,44318.75792830152,Hydrological Layer,SAC N
16,16,9999,,NA,NA,NA,NA,NA,Bangaram Island,47.77705286544725,Bangaram Island,10.946775458,72.3176546566,Lakshadweep,3573.4716863580697,477770.52865447255,Hydrological Layer,SAC N
17,17,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,2572.8187622493224,Bangaram Island,10.9425983574,72.2878169633,Lakshadweep,55390.03445711135,25728187.622493226,Hydrological Layer,SAC N
25,25,9999,,NA,NA,NA,NA,NA,S-Kalpeni & N-Cheriyam Island,44.36392101572214,Southern Kalpeni and Northern Cheriyam Island,10.1437296598,73.6622149489,Lakshadweep,6946.989152547042,443639.2101572214,Hydrological Layer,SAC N
36,36,9999,,NA,NA,NA,NA,NA,Bangaram Island,1.218162529758172,Bangaram Island,10.9529287652,72.3325871501,Lakshadweep,469.6588681966241,12181.625297581715,Hydrological Layer,SAC N
38,38,2101,,NA,NA,Costal,Natural,Lagoon,Submerged Coral,0.587509448836675,Minicoy Island,8.27276523851,73.0197647766,Lakshadweep,399.1114202518992,5875.094488366749,Hydrological Layer,SAC N
3,3,9999,,NA,NA,NA,NA,NA,,31.759672687542917,Suheli par Island,10.1297831288,72.3284663464,Lakshadweep,3078.53885070488,317596.72687542916,Hydrological Layer,SAC N
30,30,9999,,NA,NA,NA,NA,NA,Minicoy Island,463.25082336265956,Minicoy Island,8.27732005175,73.046921366,Lakshadweep,24125.34120285413,4632508.233626596,Hydrological Layer,SAC N
5,5,9999,,NA,NA,NA,NA,NA,Bitra Island,10.95123473094089,Bitra Island,11.5983291596,72.1866637676,Lakshadweep,1379.949762797464,109512.3473094089,Hydrological Layer,SAC N
6,6,9999,,NA,NA,NA,NA,NA,Chetlat Island,106.92867612467532,Chetlat Island,11.691400107,72.7118818946,Lakshadweep,5901.593818803375,1069286.7612467532,Hydrological Layer,SAC N
