id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency,Waterbody_Name
4321,4321,1202,,No,High,Inland,Man-made,,0.112589706575079,,25.7571513642,91.9032313889,Meghalaya,132.57611949368,1125.89706575079,Hydrological Layer,SAC N,Tank/Pond
4709,4709,1202,,No,High,Inland,Man-made,,0.137220666680485,,25.4359709067,91.7070403109,Meghalaya,156.066837093653,1372.20666680485,Hydrological Layer,SAC N,Tank/Pond
1148,1148,1202,,No,High,Inland,Man-made,,1.13187608666599,,25.877432833,91.64140619,Meghalaya,663.183626683028,11318.7608666599,Hydrological Layer,SAC N,Tank/Pond
1222,1222,1202,,No,High,Inland,Man-made,,0.70714853160893,,25.8103028997,92.1484314805,Meghalaya,985.901649616205,7071.4853160893,Hydrological Layer,SAC N,Tank/Pond
1263,1263,1202,,No,High,Inland,Man-made,,0.637804784000399,,25.8240504001,92.0388330536,Meghalaya,796.263615941307,6378.04784000399,Hydrological Layer,SAC N,Tank/Pond
1300,1300,1202,,No,High,Inland,Man-made,,0.424423888786408,,26.0029805488,92.0012924416,Meghalaya,534.012471750757,4244.23888786408,Hydrological Layer,SAC N,Tank/Pond
1499,1499,1202,,No,High,Inland,Man-made,,1.60289488866568,,25.7808613821,91.8265137361,Meghalaya,798.211453491072,16028.9488866568,Hydrological Layer,SAC N,Tank/Pond
1899,1899,1202,,No,High,Inland,Man-made,,0.757002517710179,,25.32409619,92.6714528119,Meghalaya,646.843618383904,7570.02517710179,Hydrological Layer,SAC N,Tank/Pond
2026,2026,1202,,No,High,Inland,Man-made,,0.585151780434275,,25.4722316457,91.8083974092,Meghalaya,492.885780783904,5851.51780434275,Hydrological Layer,SAC N,Tank/Pond
3969,3969,1202,,Yes,Low,Inland,Man-made,,5.95522404184757,,25.8826230826,90.0543088447,Meghalaya,4172.87965953177,59552.2404184757,Hydrological Layer,SAC N,Tank/Pond
458,458,1202,,No,High,Inland,Man-made,,0.118374956113384,,25.5301111722,91.3034109758,Meghalaya,130.021115674385,1183.74956113384,Hydrological Layer,SAC N,Tank/Pond
583,583,1202,,No,High,Inland,Man-made,,0.180680720207401,,25.7961916135,91.3100129973,Meghalaya,163.279282966764,1806.80720207401,Hydrological Layer,SAC N,Tank/Pond
614,614,1202,,No,High,Inland,Man-made,,0.162781544784104,,25.7988182264,91.1645932433,Meghalaya,193.306840288105,1627.81544784104,Hydrological Layer,SAC N,Tank/Pond
2750,2750,1202,,No,High,Inland,Man-made,,0.772073244189558,,25.856383668,90.6141788108,Meghalaya,924.559834471902,7720.73244189558,Hydrological Layer,SAC N,Tank/Pond
615,615,1202,,No,High,Inland,Man-made,,0.150555509214007,,25.7927741215,91.1615689413,Meghalaya,166.075361652883,1505.55509214007,Hydrological Layer,SAC N,Tank/Pond
616,616,1202,,No,High,Inland,Man-made,,0.113227897728983,,25.7932683037,91.1621612554,Meghalaya,152.846563673058,1132.27897728983,Hydrological Layer,SAC N,Tank/Pond
617,617,1202,,No,High,Inland,Man-made,,0.368582682414762,,25.8019305548,91.1665413737,Meghalaya,245.555812274163,3685.82682414762,Hydrological Layer,SAC N,Tank/Pond
671,671,1202,,No,High,Inland,Man-made,,0.170132625580729,,25.1889735236,91.315176209,Meghalaya,169.286447823921,1701.32625580729,Hydrological Layer,SAC N,Tank/Pond
4224,4224,1202,,No,High,Inland,Man-made,,0.110406151712253,,25.7682306668,90.6187018008,Meghalaya,245.902954001374,1104.06151712253,Hydrological Layer,SAC N,Tank/Pond
3342,3342,1202,,No,High,Inland,Man-made,,0.136881415201286,,25.5601409322,89.9317399769,Meghalaya,176.334064169589,1368.81415201286,Hydrological Layer,SAC N,Tank/Pond
4738,4738,1202,,No,High,Inland,Man-made,,0.122053570532277,,25.7575734818,89.9661074752,Meghalaya,146.542568376534,1220.53570532277,Hydrological Layer,SAC N,Tank/Pond
4739,4739,1202,,No,High,Inland,Man-made,,0.119705320584659,,25.7559160069,89.9651054042,Meghalaya,142.746258764707,1197.05320584659,Hydrological Layer,SAC N,Tank/Pond
3548,3548,1104,Namabilla Beel,Yes,Low,Inland,Natural,,35.0028268249776,,25.7394812987,89.9654137728,Meghalaya,11462.1915764718,350028.268249776,Hydrological Layer,SAC N,Riverine Wetlands
3554,3554,1101,Chapragudi,Yes,Moderate,Inland,Natural,,11.9196813512026,,25.857879358,90.0463112271,Meghalaya,2562.09112294669,119196.813512026,Hydrological Layer,SAC N,Lake/Pond
4291,4291,1202,,No,High,Inland,Man-made,,0.196482584650131,,25.346029404,92.0234330471,Meghalaya,194.950529997914,1964.82584650131,Hydrological Layer,SAC N,Tank/Pond
4395,4395,1202,,No,High,Inland,Man-made,,0.137349721504733,,25.8016625877,89.9777935888,Meghalaya,154.162112018711,1373.49721504733,Hydrological Layer,SAC N,Tank/Pond
642,642,1202,,No,High,Inland,Man-made,,0.113087810649067,,25.5943257758,91.6167859928,Meghalaya,131.749100433289,1130.87810649067,Hydrological Layer,SAC N,Tank/Pond
