id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
34,34,1202,,No,High,Inland,Man-made,Tank/Pond,,0.913818361779129,,10.8660029803,79.8264761283,Puducherry,391.9348321496423,9138.183617791288,Hydrological Layer,SAC N
8,8,1202,,No,Moderate,Inland,Man-made,Tank/Pond,,6.315177048315228,,10.872298464,79.845727446,Puducherry,1475.1317961177172,63151.77048315228,Hydrological Layer,SAC N
9,9,1202,,No,Moderate,Inland,Man-made,Tank/Pond,,7.951888346676719,,10.8725130816,79.8422174155,Puducherry,1205.9329774577222,79518.88346676719,Hydrological Layer,SAC N
36,36,1202,,No,High,Inland,Man-made,Tank/Pond,,0.454522718418989,,10.8635411661,79.8268675287,Puducherry,276.8272843779522,4545.227184189886,Hydrological Layer,SAC N
53,53,1202,,No,High,Inland,Man-made,Tank/Pond,,0.213562149638028,,10.8862976886,79.8409773249,Puducherry,188.76284376963733,2135.6214963802804,Hydrological Layer,SAC N
32,32,1202,,No,High,Inland,Man-made,Tank/Pond,,0.475295689143185,,10.8669423669,79.826217121,Puducherry,276.6513016802318,4752.956891431852,Hydrological Layer,SAC N
483,483,2102,,No,Moderate,Costal,Natural,Creek,,20.69972093480148,,11.7876621917,79.7874838759,Puducherry,6791.600953268096,206997.2093480148,Hydrological Layer,SAC N
1,1,1202,,No,High,Inland,Man-made,Tank/Pond,,0.355877168185115,,10.8285393466,79.8313529726,Puducherry,239.24225527853056,3558.7716818511544,Hydrological Layer,SAC N
2,2,1202,,No,High,Inland,Man-made,Tank/Pond,,0.462950245027981,,10.8294223984,79.8346353612,Puducherry,274.7798218242649,4629.502450279813,Hydrological Layer,SAC N
3,3,1202,,No,High,Inland,Man-made,Tank/Pond,,0.819005236196732,,10.8380710263,79.8383066409,Puducherry,363.80902210798945,8190.052361967319,Hydrological Layer,SAC N
