id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
1,1,1103,Gyam Choona,No,Moderate,Inland,Natural,High altitude lake,,34.26969948864513,,28.0587996834,88.6290943859,Sikkim,2793.7801881703235,342696.99488645134,Hydrological Layer,SAC N
2,2,1103,,No,Moderate,Inland,Natural,High altitude lake,,4.839214211558259,,28.0388255571,88.5738957854,Sikkim,884.22653308453,48392.14211558259,Hydrological Layer,SAC N
3,3,1103,Latok Chhu,No,Moderate,Inland,Natural,High altitude lake,,4.917221570127236,,28.0313649472,88.4861911374,Sikkim,1028.40217455426,49172.215701272355,Hydrological Layer,SAC N
255,255,1103,,No,Moderate,Inland,Natural,High altitude lake,,1.031566779295933,,27.683487989,88.5026749208,Sikkim,389.01676557726887,10315.667792959326,Hydrological Layer,SAC N
233,233,1103,,No,Low,Inland,Natural,High altitude lake,,0.555860654358561,,27.6143964426,88.1882101213,Sikkim,278.36616051282715,5558.606543585608,Hydrological Layer,SAC N
682,682,1103,,No,Low,Inland,Natural,High altitude lake,,0.631330361587289,,27.1494718664,88.7541804968,Sikkim,351.97278784608034,6313.303615872885,Hydrological Layer,SAC N
683,683,1103,,No,Low,Inland,Natural,High altitude lake,,0.151759579277171,,27.3037196525,88.8565887425,Sikkim,145.62467544126176,1517.5957927717059,Hydrological Layer,SAC N
538,538,1103,,No,Low,Inland,Natural,High altitude lake,,0.187661086495128,,27.7443315241,88.8476568435,Sikkim,167.56629051945097,1876.6108649512769,Hydrological Layer,SAC N
564,564,1103,,No,Low,Inland,Natural,High altitude lake,,0.228941596631905,,27.976245787,88.6080622383,Sikkim,179.80876597284194,2289.4159663190476,Hydrological Layer,SAC N
679,679,1103,,No,Low,Inland,Natural,High altitude lake,,0.106039076778856,,27.3751569104,88.7945113423,Sikkim,125.83457364453702,1060.3907677885643,Hydrological Layer,SAC N
691,691,1103,,No,Low,Inland,Natural,High altitude lake,,0.285682905923004,,27.9629815991,88.6446130867,Sikkim,210.7920478294813,2856.8290592300414,Hydrological Layer,SAC N
708,708,1103,,No,Low,Inland,Natural,High altitude lake,,0.666111851116016,,27.4911225063,88.2346871271,Sikkim,303.4548573267874,6661.1185111601635,Hydrological Layer,SAC N
750,750,1103,,No,Low,Inland,Natural,High altitude lake,,0.847351196821316,,27.928977908,88.4752279902,Sikkim,337.244218597212,8473.511968213159,Hydrological Layer,SAC N
12,12,1103,,No,Moderate,Inland,Natural,High altitude lake,,3.145850835179189,,28.0075740685,88.7384511473,Sikkim,944.4468878178383,31458.508351791887,Hydrological Layer,SAC N
4,4,1103,Gurudogmar Lake,No,Low,Inland,Natural,High altitude lake,,111.91169833762012,,28.0266230135,88.7102842932,Sikkim,5383.531281551692,1119116.9833762012,Hydrological Layer,SAC N
16,16,1103,,No,Low,Inland,Natural,High altitude lake,,8.246725219119034,,28.0004407594,88.5481107336,Sikkim,1387.469119851389,82467.25219119033,Hydrological Layer,SAC N
107,107,1103,,No,Low,Inland,Natural,High altitude lake,,9.876193658750502,,27.7972251011,88.8006783583,Sikkim,1227.2440131500725,98761.93658750501,Hydrological Layer,SAC N
30,30,1103,Thang Chho,No,Moderate,Inland,Natural,High altitude lake,,11.627104058944742,,27.9730258035,88.4386211047,Sikkim,1625.4130577666722,116271.04058944742,Hydrological Layer,SAC N
5,5,1103,Chho Lhamo,No,Low,Inland,Natural,High altitude lake,,106.63590397970017,,28.0122318846,88.7560759539,Sikkim,6674.453767171269,1066359.0397970018,Hydrological Layer,SAC N
76,76,1103,,No,Moderate,Inland,Natural,High altitude lake,,8.78457918691947,,27.8856462823,88.26530219,Sikkim,1124.520634566871,87845.7918691947,Hydrological Layer,SAC N
6,6,1103,,No,Low,Inland,Natural,High altitude lake,,12.66184829587786,,28.0146853484,88.652165216,Sikkim,1857.550298858933,126618.48295877861,Hydrological Layer,SAC N
38,38,1103,,No,Low,Inland,Natural,High altitude lake,,2.760458317410315,,27.9669597455,88.632949224,Sikkim,755.3482087535806,27604.583174103154,Hydrological Layer,SAC N
7,7,1103,,No,Low,Inland,Natural,High altitude lake,,26.88026123371301,,28.014639674,88.5617412371,Sikkim,2626.0231501246108,268802.6123371301,Hydrological Layer,SAC N
314,314,1103,,No,Low,Inland,Natural,High altitude lake,,1.735617826813127,,27.9552557507,88.7955668765,Sikkim,530.3433192217863,17356.178268131272,Hydrological Layer,SAC N
8,8,1103,Gurudongmar b,No,Low,Inland,Natural,High altitude lake,,119.94110545165387,,28.0049560379,88.7131786811,Sikkim,5495.019515169846,1199411.0545165387,Hydrological Layer,SAC N
9,9,1103,Gurudongmar a,No,Low,Inland,Natural,High altitude lake,,98.50891404712199,,28.006529446,88.6976548594,Sikkim,6098.814660273381,985089.1404712199,Hydrological Layer,SAC N
272,272,1103,,No,Moderate,Inland,Natural,High altitude lake,,1.533310686307638,,27.8354317109,88.2563835924,Sikkim,493.0659874436026,15333.10686307638,Hydrological Layer,SAC N
10,10,1103,La Chhu,No,Low,Inland,Natural,High altitude lake,,25.4921643050911,,28.0074446315,88.5716558721,Sikkim,2337.613388588418,254921.64305091102,Hydrological Layer,SAC N
37,37,1103,,No,Moderate,Inland,Natural,High altitude lake,,6.676603080827392,,27.969308896,88.7285192422,Sikkim,1334.0396760960803,66766.03080827392,Hydrological Layer,SAC N
11,11,1103,Tasha Khang,No,Moderate,Inland,Natural,High altitude lake,,43.04618980727023,,28.0061193493,88.4930307994,Sikkim,3794.7847500750327,430461.89807270234,Hydrological Layer,SAC N
219,219,1103,,No,Low,Inland,Natural,High altitude lake,,0.682630507375362,,27.5157676417,88.1133921874,Sikkim,305.263569537163,6826.305073753619,Hydrological Layer,SAC N
13,13,1103,,No,Low,Inland,Natural,High altitude lake,,4.472753386101658,,28.0059066574,88.6548192754,Sikkim,1017.3325602931006,44727.533861016585,Hydrological Layer,SAC N
14,14,1103,,No,Low,Inland,Natural,High altitude lake,,29.841779681185155,,28.0018176911,88.6392730675,Sikkim,2062.944796575914,298417.79681185156,Hydrological Layer,SAC N
15,15,1103,,No,Moderate,Inland,Natural,High altitude lake,,2.605206269878023,,28.0028021378,88.7875005123,Sikkim,1273.3254179895278,26052.062698780228,Hydrological Layer,SAC N
66,66,1103,,No,Moderate,Inland,Natural,High altitude lake,,3.091168935997138,,27.9176318644,88.4891255665,Sikkim,736.6184751703378,30911.68935997138,Hydrological Layer,SAC N
315,315,1103,,No,Low,Inland,Natural,High altitude lake,,1.292321592691723,,27.9688417097,88.7612226751,Sikkim,470.5589548473329,12923.215926917228,Hydrological Layer,SAC N
20,20,1103,Lachen Khangse,No,Moderate,Inland,Natural,High altitude lake,,64.46358484505,,27.9927425786,88.5457883501,Sikkim,4292.752613258547,644635.8484504999,Hydrological Layer,SAC N
21,21,1103,,No,Moderate,Inland,Natural,High altitude lake,,2.993049904419829,,27.995691339,88.4983061406,Sikkim,692.7410824607574,29930.49904419829,Hydrological Layer,SAC N
22,22,1103,,No,Low,Inland,Natural,High altitude lake,,3.051204594242865,,27.992467476,88.7960265814,Sikkim,693.2899976887496,30512.04594242865,Hydrological Layer,SAC N
271,271,1103,,No,Low,Inland,Natural,High altitude lake,,1.494812661811133,,27.8445383568,88.2624009802,Sikkim,487.41150291782066,14948.12661811133,Hydrological Layer,SAC N
17,17,1103,Khangchung Chho,No,Moderate,Inland,Natural,High altitude lake,,173.24575178314032,,27.9895343438,88.8155643687,Sikkim,9048.480271132545,1732457.5178314033,Hydrological Layer,SAC N
34,34,1103,Gyapji Chho,No,Low,Inland,Natural,High altitude lake,,9.78222241265569,,27.9709814005,88.5933508051,Sikkim,1284.2172450993642,97822.2241265569,Hydrological Layer,SAC N
18,18,1103,,No,Moderate,Inland,Natural,High altitude lake,,3.292972144610217,,27.9976052951,88.8005165775,Sikkim,884.9198931379351,32929.72144610217,Hydrological Layer,SAC N
19,19,1103,,No,Low,Inland,Natural,High altitude lake,,2.346959337607371,,27.9960809691,88.5567655713,Sikkim,687.0154945994484,23469.59337607371,Hydrological Layer,SAC N
23,23,1103,Sugu Chho,No,Low,Inland,Natural,High altitude lake,,9.867241457405312,,27.9907360761,88.6024703092,Sikkim,1222.9810370621647,98672.41457405312,Hydrological Layer,SAC N
24,24,1103,,No,Moderate,Inland,Natural,High altitude lake,,10.69095161700071,,27.9881446095,88.7362607794,Sikkim,1406.3172835077155,106909.5161700071,Hydrological Layer,SAC N
25,25,1103,Tasha Khangse,No,Moderate,Inland,Natural,High altitude lake,,35.731627238467574,,27.9821711813,88.5087805306,Sikkim,2660.876746733173,357316.27238467574,Hydrological Layer,SAC N
439,439,1103,,No,Low,Inland,Natural,High altitude lake,,0.144707444403084,,27.4901309771,88.196388057,Sikkim,147.96094355127576,1447.0744440308354,Hydrological Layer,SAC N
26,26,1103,,No,Low,Inland,Natural,High altitude lake,,57.941964804237905,,27.9752155375,88.616132203,Sikkim,3579.3345653918077,579419.6480423791,Hydrological Layer,SAC N
433,433,1103,,No,Low,Inland,Natural,High altitude lake,,0.385575795157528,,27.4826808972,88.0678976389,Sikkim,254.6848520465515,3855.75795157528,Hydrological Layer,SAC N
65,65,1103,,No,Low,Inland,Natural,High altitude lake,,9.957006480514957,,27.9202063376,88.313641788,Sikkim,1404.3283622402155,99570.06480514957,Hydrological Layer,SAC N
27,27,1103,,No,Low,Inland,Natural,High altitude lake,,7.02620525466165,,27.9763118055,88.7930693804,Sikkim,1244.9882712869926,70262.0525466165,Hydrological Layer,SAC N
28,28,1103,,No,Moderate,Inland,Natural,High altitude lake,,16.29477922680566,,27.9758799373,88.4179951767,Sikkim,1840.7098169790088,162947.7922680566,Hydrological Layer,SAC N
29,29,1103,,No,Moderate,Inland,Natural,High altitude lake,,12.033119700969056,,27.9737051396,88.4225397721,Sikkim,1382.9386114896172,120331.19700969056,Hydrological Layer,SAC N
57,57,1103,,No,Moderate,Inland,Natural,High altitude lake,,4.00994551250148,,27.9391671396,88.4642436714,Sikkim,742.8841496837958,40099.45512501481,Hydrological Layer,SAC N
