Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Adilabad,,,,,,,,,,14.340837653964073,1.209758847,0.22104424,0.988714607,174.0,0.0,802880.0,8.0,Telangana
Agar Malwa,,,,,,,,,,9.189893645189708,0.53688887,0.338892414,0.197996456,2.0,0.0,702666.0,6.0,Madhya Pradesh
Agra,168.0,168.0,168.0,2.3574489795918367,59.9,24.92532332081769,1.2,46.0,1008.4175636211932,17.46347311350804,4.133356464,0.10192976,4.031426704,133.0,32.0,5296620.0,20.0,Uttar Pradesh
Ahmadabad,,,,,,,,,,18.117122356772818,4.222292965,0.122458085,4.09983488,177.0,23.0,8738876.0,12.0,Gujarat
Ahmadnagar,,,,,,,,,,13.744180643719863,0.691347983,0.697616588,0.006268605,50.0,18.0,5113145.0,4.0,Maharashtra
Ahmedabad,55.0,55.0,55.0,4.826963048498845,261.9,27.903768980477224,7.0,50.0,1008.417812599936,,,,,,,,,Gujarat
Ahmednagar,655.0,655.0,655.0,2.645668233713902,210.8,24.634049697783748,7.2,41.0,1010.4666218938886,,,,,,,,,Maharashtra
Aizawl,227.03724928366762,0.0,426.0,4.614219197707737,99.5,24.1131446991404,6.7,40.2,1010.3799426934097,15.373862352432583,2.162077627,0.096288881,2.065788746,154.0,42.0,483635.0,2.0,Mizoram
Ajmer,485.0,485.0,485.0,3.109398907103825,136.9,25.474759903961584,3.0,46.3,1009.0537944929483,15.626895014531897,0.260510002,0.05695381,0.203556192,135.0,23.0,2985855.0,4.0,Rajasthan
Akola,292.5,280.0,305.0,4.4784079601990054,202.9,27.36021165475536,5.8,47.1,1008.6054063129617,15.578364230579806,0.880057177,0.274621796,0.605435381,106.0,14.0,2032614.0,4.0,Maharashtra
Alappuzha,2.0,2.0,2.0,7.707330195023537,84.2,26.800067249495626,18.9,39.9,1009.8658372562206,17.725461969849633,21.06652893,8.660110439,12.40641849,170.0,70.0,2167462.0,5.0,Kerala
Aligarh,186.0,186.0,186.0,2.320147750167898,110.8,24.21645399597045,2.5,46.1,1008.5337139019476,16.49352826124584,1.93292949,0.006094499,1.926834991,97.0,22.0,4376425.0,24.0,Uttar Pradesh
Alipurduar,,,,,,,,,,12.287153516516195,4.056971682,0.017650059,4.039321623,19.0,0.0,1381430.0,5.0,West Bengal
Alirajpur,,,,,,,,,,10.19595043322708,0.872416618,0.738663983,0.133752635,7.0,0.0,917115.0,5.0,Madhya Pradesh
Almora,,,,,,,,,,7.102979287602845,0.649027255,0.000454012,0.648573243,0.0,0.0,618943.0,7.0,Uttarakhand
Alwar,270.0,270.0,270.0,2.104096709200806,73.2,24.6252518468771,2.4,47.3,1008.8799194089993,16.035513548288417,0.348076896,0.005601607,0.342475289,102.0,15.0,4491235.0,14.0,Rajasthan
Ambala,468.59378018157236,271.0,958.0,3.116203078584931,224.0,22.550859571180222,-0.1,45.7,1008.9333109469442,14.403936732301004,4.251029067,0.0,4.251029067,36.0,11.0,1296203.0,5.0,Haryana
Ambedkar Nagar,,,,,,,,,,14.34664676935026,3.80490503,0.342207082,3.462697948,44.0,0.0,2918048.0,22.0,Uttar Pradesh
Amethi,,,,,,,,,,15.387214003222002,2.870234132,0.0,2.870234132,49.0,6.0,3139220.0,21.0,Uttar Pradesh
Amravati,367.0,367.0,367.0,3.8582568807339452,137.9,28.039204545454545,8.6,46.4,1008.7179986568167,17.907707348841942,1.132570579,0.452234552,0.680336027,430.0,34.0,3195039.0,5.0,Maharashtra
