SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
1,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,01-01-2026 00:00,-16.522
2,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,01-01-2026 06:00,-16.478
3,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,01-01-2026 12:00,-16.876
4,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,01-01-2026 18:00,-17.071
5,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,02-01-2026 00:00,-16.516
6,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,02-01-2026 06:00,-16.478
7,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,02-01-2026 12:00,-16.958
8,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,02-01-2026 18:00,-17.122
9,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,03-01-2026 00:00,-16.561
10,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,03-01-2026 06:00,-16.527
11,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,03-01-2026 12:00,-17.073
12,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,03-01-2026 18:00,-17.204
13,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,07-01-2026 00:00,-16.611
14,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,07-01-2026 06:00,-16.562
15,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,07-01-2026 12:00,-16.594
16,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,07-01-2026 18:00,-16.559
17,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,13-01-2026 00:00,-16.287
18,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,13-01-2026 06:00,-15.884
19,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,13-01-2026 12:00,-16.48
20,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,13-01-2026 18:00,-16.51
21,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,14-01-2026 00:00,-16.234
22,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,14-01-2026 06:00,-15.888
23,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,14-01-2026 12:00,-16.524
24,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,14-01-2026 18:00,-16.549
25,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,15-01-2026 00:00,-16.476
26,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,15-01-2026 06:00,-16.39
