SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,02-06-2021 08:30,7
2,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,09-06-2021 08:30,21.6
3,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,10-06-2021 08:30,3.6
4,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,11-06-2021 08:30,10.2
5,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,12-06-2021 08:30,6.2
6,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,13-06-2021 08:30,3.2
7,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,14-06-2021 08:30,6.4
8,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,15-06-2021 08:30,1.8
9,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,16-06-2021 08:30,57.8
10,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,17-06-2021 08:30,65.4
11,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,18-06-2021 08:30,107.6
12,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,19-06-2021 08:30,21.4
13,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,20-06-2021 08:30,56.4
14,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,21-06-2021 08:30,21.8
15,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,22-06-2021 08:30,15.8
16,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,23-06-2021 08:30,15.2
17,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,25-06-2021 08:30,13.6
18,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,26-06-2021 08:30,0.6
19,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,27-06-2021 08:30,6
