SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,18-06-2021 08:30,3
2,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,19-06-2021 08:30,26
3,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,12-07-2021 08:30,17
4,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,13-07-2021 08:30,32
5,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,14-07-2021 08:30,5
6,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,16-07-2021 08:30,5
7,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,18-07-2021 08:30,5
8,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,25-07-2021 08:30,26
9,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,26-07-2021 08:30,30
10,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,02-09-2021 08:30,135
11,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,03-09-2021 08:30,4
12,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,06-09-2021 08:30,13
13,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,07-09-2021 08:30,8
14,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,10-09-2021 08:30,49
15,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,11-09-2021 08:30,24
16,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,13-09-2021 08:30,285
17,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,14-09-2021 08:30,250
18,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,15-09-2021 08:30,16
19,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,18-09-2021 08:30,30
20,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,19-09-2021 08:30,43
21,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,26-09-2021 08:30,65
22,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,28-09-2021 08:30,75
23,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,29-09-2021 08:30,22
24,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,30-09-2021 08:30,70
25,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,09-10-2021 08:30,6
26,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,17-06-2021 08:30,7
27,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,18-06-2021 08:30,12
28,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,19-06-2021 08:30,65
29,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,21-06-2021 08:30,5
30,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,22-06-2021 08:30,22
31,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,12-07-2021 08:30,5
32,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,14-07-2021 08:30,3
33,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,25-07-2021 08:30,16
34,Ambaliyasan,Gujarat SW GW,24,Gujarat,451,Mahesana,MAHESANA,-,-,Rupen,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Rupen,23.45174722,72.41769444,26-07-2021 08:30,74
35,Amirgadh,Gujarat SW GW,24,Gujarat,441,Banaskantha,AMIRGADH,-,-,-,Indus,Siang,-,-,Banas,24.40910556,72.63988611,18-06-2021 08:30,12
36,Amirgadh,Gujarat SW GW,24,Gujarat,441,Banaskantha,AMIRGADH,-,-,-,Indus,Siang,-,-,Banas,24.40910556,72.63988611,19-06-2021 08:30,40
