SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
1,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,30-03-2021 09:00,26.4
2,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,31-03-2021 09:00,65.4
3,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,01-04-2021 09:00,366
4,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,02-04-2021 09:00,69.2
5,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-04-2021 09:00,14.4
6,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,15-04-2021 09:00,9.2
7,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-04-2021 09:00,7.8
8,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,17-04-2021 09:00,26
9,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-04-2021 09:00,21.6
10,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-04-2021 09:00,3
11,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,03-05-2021 09:00,12
12,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-05-2021 09:00,34.8
13,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-05-2021 09:00,29.6
14,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,13-05-2021 09:00,10.4
15,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-05-2021 09:00,6.2
16,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,17-05-2021 09:00,1.4
17,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-05-2021 09:00,30.4
18,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-05-2021 09:00,1
19,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-05-2021 09:00,32
20,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,22-05-2021 09:00,14.2
21,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,24-05-2021 09:00,32.2
22,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,25-05-2021 09:00,1.2
23,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,27-05-2021 09:00,19.4
24,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,28-05-2021 09:00,35.6
25,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,31-05-2021 09:00,41.2
26,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,01-06-2021 09:00,55.6
27,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,02-06-2021 09:00,163.3
28,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,03-06-2021 09:00,12.6
29,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,04-06-2021 09:00,13.4
30,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,05-06-2021 09:00,4.6
31,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-06-2021 09:00,1.6
32,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-06-2021 09:00,16
33,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-06-2021 09:00,73.2
34,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,09-06-2021 09:00,0.8
35,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,11-06-2021 09:00,16.6
36,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,12-06-2021 09:00,8.2
37,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,13-06-2021 09:00,49.4
38,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-06-2021 09:00,22.2
39,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,15-06-2021 09:00,8.2
40,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-06-2021 09:00,11
41,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,18-06-2021 09:00,13.6
42,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-06-2021 09:00,20.6
43,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-06-2021 09:00,7.2
44,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-06-2021 09:00,23.4
45,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,22-06-2021 09:00,10.2
46,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,23-06-2021 09:00,3.2
