SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,08-07-2014 13:00,0.4
2,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,09-07-2014 21:00,4.2
3,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,09-07-2014 22:00,0.2
4,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 01:00,0.6
5,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 02:00,2.4
6,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 03:00,0.4
7,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 04:00,0.2
8,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 08:00,1.2
9,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,10-07-2014 16:00,0.6
10,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 03:00,0.6
11,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 04:00,1.2
12,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 05:00,0.4
13,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 15:00,0.6
14,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 16:00,2.4
15,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 17:00,9.2
16,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 18:00,2.6
17,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,11-07-2014 19:00,2.2
18,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,12-07-2014 18:00,2.2
19,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,12-07-2014 19:00,1.2
20,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,12-07-2014 20:00,0.2
21,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,12-07-2014 21:00,0.4
22,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,13-07-2014 18:00,0.4
23,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,14-07-2014 11:00,0.6
24,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,14-07-2014 20:00,0.2
25,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,16-07-2014 17:00,2.2
26,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,18-07-2014 12:00,0.2
27,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,19-07-2014 11:00,0.6
28,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,19-07-2014 15:00,1
29,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,19-07-2014 16:00,0.6
30,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,20-07-2014 14:00,0.2
31,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,22-07-2014 10:00,4.8
32,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,22-07-2014 12:00,1
33,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,22-07-2014 15:00,0.4
34,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,22-07-2014 17:00,2.4
35,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,23-07-2014 12:00,0.4
36,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,23-07-2014 16:00,0.2
37,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,23-07-2014 18:00,7
38,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,24-07-2014 11:00,0.2
39,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,24-07-2014 18:00,0.2
40,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,26-07-2014 17:00,5
41,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,26-07-2014 19:00,6.4
42,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,26-07-2014 20:00,0.6
43,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 18:00,0.2
44,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 19:00,7.4
45,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 20:00,15.2
46,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 21:00,4.8
47,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 22:00,3.4
48,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,27-07-2014 23:00,0.2
49,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 00:00,0.4
50,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 01:00,0.2
51,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 02:00,1
52,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 03:00,0.8
53,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 04:00,1.4
54,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 05:00,0.6
55,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 06:00,1.8
56,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 07:00,1.4
57,Bawapuram,CWC,28,Andhra Pradesh,511,KURNOOL,KURNOOL,-,-,Krishna,Krishna,Tungabhadra,-,-,Tungabhadra,15.88250000,77.95722222,28-07-2014 08:00,1.6
