SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-02-2026 13:00,111
2,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-04-2026 05:00,15.5
3,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,02-04-2026 06:00,17
4,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-04-2026 06:00,1
5,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-04-2026 07:00,0.5
6,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,04-04-2026 11:00,1
7,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-04-2026 09:00,1.5
8,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,05-04-2026 16:00,15.5
9,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,08-04-2026 07:00,10
10,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,08-04-2026 13:00,10
11,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,10-04-2026 04:00,1.5
12,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,10-04-2026 05:00,260
13,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,11-04-2026 11:00,33
14,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-04-2026 06:00,3
15,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-04-2026 07:00,5
16,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,12-04-2026 11:00,3.5
17,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-04-2026 06:00,253
18,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-04-2026 07:00,9
19,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-04-2026 13:00,21
20,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-04-2026 17:00,133
21,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,13-04-2026 18:00,130
22,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,14-04-2026 06:00,3.5
23,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-04-2026 06:00,4.5
24,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-04-2026 08:00,4.5
25,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,15-04-2026 13:00,4.5
26,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,18-04-2026 23:00,64
27,AP Ghat,CWC,18,Assam,282,CACHAR,SONAI,-,-,-,Barak and Others,-,-,-,-,24.83194444,92.79611111,19-04-2026 00:00,364.5
