SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,23-05-2019 16:30,1
2,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,24-05-2019 11:30,0.5
3,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,24-05-2019 12:30,1
4,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,24-05-2019 13:30,1.5
5,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,24-05-2019 14:30,0.5
6,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,24-05-2019 15:30,1
7,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,06-06-2019 13:30,2
8,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,06-06-2019 14:30,3
9,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,08-06-2019 17:30,0.5
10,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,08-06-2019 18:30,3
11,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,08-06-2019 19:30,0.5
12,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,12-06-2019 08:30,0.5
13,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,12-06-2019 09:30,0.5
14,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,12-06-2019 13:30,1.5
15,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,12-06-2019 14:30,0.5
16,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,16-06-2019 21:30,0.5
17,Moorang_1,CWC,2,Himachal Pradesh,19,KINNAUR,KALPA(T),-,-,-,Indus,-,-,-,-,31.53330000,78.28330000,25-06-2019 16:30,2.5
