SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 15:30,0.5
2,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 16:30,1
3,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 17:30,0.5
4,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 18:30,0.5
5,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 20:30,0.5
6,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,04-01-2021 23:30,0.5
7,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 12:30,0.5
8,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 13:30,1
9,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 14:30,1.5
10,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 15:30,0.5
11,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 17:30,0.5
12,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,05-01-2021 19:30,0.5
13,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,06-01-2021 00:30,0.5
14,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,06-01-2021 03:30,0.5
15,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,06-01-2021 04:30,1
