SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,17-02-2019 09:30,2.5
2, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,17-02-2019 11:30,0.5
3, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,17-02-2019 12:30,1
4, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,24-02-2019 03:30,3
5, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,25-02-2019 11:30,0.5
6, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,26-02-2019 05:30,21.5
7, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,26-02-2019 06:30,5.5
8, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,26-02-2019 07:30,2
9, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,26-02-2019 08:30,0.5
10, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,27-02-2019 11:30,0.5
11, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,27-02-2019 12:30,3.5
12, Amraghat,CWC,14,Manipur,259,THOUBAL,KAKCHING,-,-,-,Indus,Siang,-,-,Sonai,24.58333333,93.96666667,27-02-2019 13:30,1.5
