SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,07-11-2020 14:30,0.5
2,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,07-11-2020 18:30,0.5
3,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,08-11-2020 01:30,0.5
4,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,08-11-2020 12:30,0.5
5,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,08-11-2020 15:30,0.5
6,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,08-11-2020 18:30,0.5
7,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,08-11-2020 22:30,0.5
8,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,09-11-2020 06:30,0.5
9,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,09-11-2020 11:30,0.5
10,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,09-11-2020 17:30,0.5
11,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 01:30,0.5
12,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 10:30,0.5
13,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 13:30,0.5
14,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 14:30,0.5
15,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 15:30,0.5
16,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 17:30,0.5
17,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,10-11-2020 21:30,0.5
18,Doyang Hep Reservoir,CWC,13,Nagaland,250,WOKHA,WOKHA,-,-,Dhansiri,Brahmaputra,BRAHMAPUTRA,BRAHMAPUTRA,BRAMAPUTRA,Dhansiri,26.23000000,94.26083333,11-11-2020 02:30,0.5
