SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,13-02-2019 18:30,5.5
2,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,13-02-2019 20:30,0.5
3,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,13-02-2019 23:30,0.5
4,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,26-02-2019 20:30,0.5
5,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,13-05-2019 17:30,1
6,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,18-06-2019 21:30,2
7,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,18-06-2019 22:30,1
8,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,18-06-2019 23:30,0.5
9,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 00:30,1.5
10,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 01:30,7
11,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 02:30,4.5
12,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 03:30,3.5
13,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 04:30,4
14,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 05:30,3
15,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 06:30,1
16,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,19-06-2019 07:30,0.5
17,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,25-06-2019 02:30,0.5
18,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,25-06-2019 20:30,1.5
19,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,25-06-2019 22:30,1
20,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,29-06-2019 14:30,1.5
21,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,30-06-2019 14:30,10
22,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,30-06-2019 15:30,1
23,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,30-06-2019 16:30,1.5
24,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,30-06-2019 17:30,0.5
25,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 00:30,2
26,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 05:30,0.5
27,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 06:30,7.5
28,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 18:30,10.5
29,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 20:30,1.5
30,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 21:30,4.5
31,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 22:30,2
32,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,03-07-2019 23:30,2.5
33,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 02:30,1
34,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 03:30,1.5
35,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 04:30,0.5
36,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 08:30,1
37,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 09:30,1
38,RAMPURA_1,CWC,3,Punjab,28,BATHINDA,RAMPURA PHUL,-,-,Satluj,Indus,-,-,-,Satluj,30.26611111,75.22944444,04-07-2019 10:30,8
