SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,01-01-2026 17:00,68.9
2,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,02-01-2026 12:00,17.8
3,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,03-01-2026 20:00,7.4
4,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,04-01-2026 04:00,29.8
5,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,05-01-2026 02:00,63.5
6,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,07-01-2026 11:00,44.5
7,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,13-01-2026 19:00,0.2
8,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,13-01-2026 20:00,26.7
9,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,13-01-2026 23:00,38.5
10,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,14-01-2026 01:00,51.2
11,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,09-02-2026 05:00,64
12,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,22-02-2026 02:00,79.5
13,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,22-02-2026 07:00,89.7
14,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,24-02-2026 02:00,25.6
15,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,01-03-2026 21:00,2.8
16,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,31-03-2026 03:00,33.2
17,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,31-03-2026 20:00,4.9
18,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,04-04-2026 16:00,8
19,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,06-04-2026 08:00,66.7
20,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,06-04-2026 10:00,39.2
21,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,08-04-2026 13:00,25.7
22,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,14-04-2026 10:00,0.1
23,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,18-04-2026 10:00,2.7
24,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,21-04-2026 11:00,90.4
25,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,23-04-2026 09:00,5.4
26,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,23-04-2026 10:00,2.4
27,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,15-05-2026 12:00,6
28,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,23-05-2026 15:00,10.8
29,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,26-05-2026 03:00,38.4
30,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,29-05-2026 21:00,83.1
31,Amarpura,CWC,8,Rajasthan,117,UDAIPUR,SALUMBER,-,-,Mahi,Mahi,Som,-,-,Som,24.28750000,73.84638889,30-05-2026 11:00,10.3
32,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,21-02-2026 21:00,3
33,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,22-02-2026 15:00,1.5
34,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,23-02-2026 14:00,1.5
35,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,30-03-2026 13:00,1.5
36,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,02-04-2026 13:00,0.5
37,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,02-04-2026 14:00,0.5
38,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,03-04-2026 19:00,3
39,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,06-04-2026 19:00,3
40,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,07-04-2026 14:00,3.5
41,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,07-04-2026 15:00,0.5
42,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 12:00,4.5
43,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 14:00,4.5
44,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 15:00,4.5
45,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 16:00,4.5
46,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 18:00,4.5
47,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,08-04-2026 20:00,0.5
48,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,09-04-2026 12:00,5
49,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,09-04-2026 15:00,5
50,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,09-04-2026 17:00,5
51,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,09-04-2026 18:00,5
52,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,09-04-2026 19:00,5
53,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,10-04-2026 12:00,5
54,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,10-04-2026 14:00,5
55,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,10-04-2026 15:00,5
56,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,11-04-2026 01:00,5
57,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,11-04-2026 12:00,5
58,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,11-04-2026 14:00,5
59,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,11-04-2026 15:00,5
60,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,11-04-2026 16:00,5
61,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,12-04-2026 12:00,5
62,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,12-04-2026 14:00,5
63,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,12-04-2026 15:00,5
64,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,12-04-2026 16:00,5
65,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,12-04-2026 18:00,36
66,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,13-04-2026 12:00,5
67,Asind,CWC,8,Rajasthan,92,BHILWARA,Bhilwara,-,-,Ganga,Ganga,Yamuna,Chambal,Banas,Banas,25.73250000,74.33277778,13-04-2026 15:00,5
