SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,14-01-2026 23:00,0.5
2,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,15-01-2026 01:00,0.5
3,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,16-01-2026 12:00,0.5
4,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-02-2026 20:00,248
5,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,30-03-2026 23:00,1.5
6,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,02-04-2026 22:00,1
7,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,02-04-2026 23:00,0.5
8,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,07-04-2026 12:00,1.5
9,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,07-04-2026 15:00,1.5
10,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,07-04-2026 17:00,1.5
11,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 00:00,1.5
12,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 01:00,1.5
13,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 02:00,1.5
14,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 04:00,0.5
15,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 05:00,0.5
16,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 06:00,0.5
17,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 07:00,0.5
18,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 08:00,0.5
19,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 09:00,0.5
20,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,08-04-2026 10:00,0.5
