SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 19:45,0.4
2,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 19:50,0.6
3,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 19:55,0.8
4,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 20:00,0.8
5,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:05,0.8
6,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:10,0.8
7,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:15,0.8
8,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:20,0.8
9,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:25,0.8
10,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:30,0.8
11,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:35,0.8
12,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:40,0.8
13,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:45,0.8
14,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:50,0.8
15,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 21:55,0.8
16,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:00,0.8
17,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:05,0.8
18,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:10,0.8
19,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:15,0.8
20,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:20,0.8
21,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:25,0.8
22,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:30,0.8
23,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:35,0.8
24,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:40,0.8
25,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:45,0.8
26,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:50,0.8
27,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 22:55,0.8
28,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:00,0.8
29,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:05,0.8
30,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:10,0.8
31,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:15,0.8
32,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:20,0.8
33,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:25,0.8
34,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:30,0.8
35,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:35,0.8
36,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:40,0.8
37,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:45,0.8
38,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:50,0.8
39,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,11-05-2024 23:55,0.8
40,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:00,0.8
41,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:05,0.8
42,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:10,0.8
43,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:15,0.8
44,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:20,0.8
45,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:25,0.8
46,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:30,0.8
47,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:35,0.8
48,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:40,0.8
49,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:45,0.8
50,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:50,0.8
51,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 00:55,0.8
52,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:00,0.8
53,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:05,0.8
54,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:10,0.8
55,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:15,0.8
56,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:20,0.8
57,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:25,0.8
58,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:30,0.8
59,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:35,0.8
60,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:40,0.8
61,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:45,0.8
62,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:50,0.8
63,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 01:55,0.8
64,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:00,0.8
65,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:05,0.8
66,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:10,0.8
67,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:15,0.8
68,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:20,0.8
69,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:25,0.8
70,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:30,0.8
71,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:35,0.8
72,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:40,0.8
73,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:45,0.8
74,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:50,0.8
75,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 02:55,0.8
76,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 03:00,0.8
77,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 03:05,0.8
78,CWPRS campus,CWPRS,27,Maharashtra,490,Pune,HAVELI,HAVELI,Khadakvasla,-,-,-,-,-,-,18.44694444,73.78500000,12-05-2024 03:10,0.8
