SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,ANKLESHWAR,Gujarat SW GW,24,Gujarat,442,Bharuch,ANKLESVAR,-,-,Narmada,Narmada,-,-,-,-,21.61055556,72.99000000,25-12-2020 17:00,2
2,Bhadar dam,Gujarat SW GW,24,Gujarat,457,Rajkot,GONDAL,-,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Aji,21.81000000,70.76888889,23-12-2020 14:00,4
3,Fofal dam,Gujarat SW GW,24,Gujarat,457,Rajkot,JAMKANDORNA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.85111111,70.49805556,03-11-2008 00:00,0.2
4,Fofal dam,Gujarat SW GW,24,Gujarat,457,Rajkot,JAMKANDORNA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.85111111,70.49805556,16-08-2012 00:00,0.6
5,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2003 07:00,2.5
6,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-08-2003 22:00,1.5
7,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-08-2004 12:00,0.5
8,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2005 16:00,53
9,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2005 18:00,2.5
10,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2006 00:00,1
11,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2006 16:00,37
12,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-08-2007 09:00,4.5
13,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2010 16:00,22.5
14,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2010 20:00,0.5
15,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2011 00:00,1
16,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2012 06:00,2
17,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2012 16:00,1.5
18,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2013 21:00,3.5
19,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2015 15:00,14
20,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2015 21:00,25
21,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-05-2016 21:00,1
22,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-05-2017 01:00,0.5
23,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-05-2017 15:00,0.5
24,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-01-2018 11:00,20
25,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-05-2018 20:00,0.5
26,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-07-2019 13:00,2
27,GAMLA,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,-,-,-,-,22.81638889,74.30777778,21-06-2020 10:00,2
