SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
1,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 00:00,1.000000
2,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 01:00,2.000000
3,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 02:00,3.000000
4,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 03:00,4.000000
5,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 04:00,5.000000
6,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 05:00,5.000000
7,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 06:00,5.000000
8,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 07:00,5.000000
9,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 08:00,5.000000
10,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 09:00,5.000000
11,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 10:00,5.000000
12,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 11:00,5.000000
13,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 12:00,5.000000
14,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 13:00,-999.000000
15,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 14:00,5.000000
16,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 15:00,5.000000
17,Bhakra Dam RL1700_BBMB,"Bhakra Beas Management Board, Chandigarh",2,Himachal Pradesh,15,BILASPUR,BILASPUR SADAR(T),-,-,Satluj,Indus,-,-,-,Satluj,31.41555556,76.43472222,10-05-2019 16:00,5.000000
