SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
1,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 00:00,415.200012
2,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 01:00,415.200012
3,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 02:00,415.200012
4,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 03:00,415.200012
5,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 04:00,415.200012
6,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 05:00,415.200012
7,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 06:00,415.200012
8,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 07:00,415.200012
9,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 08:00,415.149994
10,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,01-06-2021 09:00,415.149994
